,PseKNC_3_Xc1.AAA,PseKNC_3_Xc1.AAC,PseKNC_3_Xc1.AAG,PseKNC_3_Xc1.AAT,PseKNC_3_Xc1.ACA,PseKNC_3_Xc1.ACC,PseKNC_3_Xc1.ACG,PseKNC_3_Xc1.ACT,PseKNC_3_Xc1.AGA,PseKNC_3_Xc1.AGC,PseKNC_3_Xc1.AGG,PseKNC_3_Xc1.AGT,PseKNC_3_Xc1.ATA,PseKNC_3_Xc1.ATC,PseKNC_3_Xc1.ATG,PseKNC_3_Xc1.ATT,PseKNC_3_Xc1.CAA,PseKNC_3_Xc1.CAC,PseKNC_3_Xc1.CAG,PseKNC_3_Xc1.CAT,PseKNC_3_Xc1.CCA,PseKNC_3_Xc1.CCC,PseKNC_3_Xc1.CCG,PseKNC_3_Xc1.CCT,PseKNC_3_Xc1.CGA,PseKNC_3_Xc1.CGC,PseKNC_3_Xc1.CGG,PseKNC_3_Xc1.CGT,PseKNC_3_Xc1.CTA,PseKNC_3_Xc1.CTC,PseKNC_3_Xc1.CTG,PseKNC_3_Xc1.CTT,PseKNC_3_Xc1.GAA,PseKNC_3_Xc1.GAC,PseKNC_3_Xc1.GAG,PseKNC_3_Xc1.GAT,PseKNC_3_Xc1.GCA,PseKNC_3_Xc1.GCC,PseKNC_3_Xc1.GCG,PseKNC_3_Xc1.GCT,PseKNC_3_Xc1.GGA,PseKNC_3_Xc1.GGC,PseKNC_3_Xc1.GGG,PseKNC_3_Xc1.GGT,PseKNC_3_Xc1.GTA,PseKNC_3_Xc1.GTC,PseKNC_3_Xc1.GTG,PseKNC_3_Xc1.GTT,PseKNC_3_Xc1.TAA,PseKNC_3_Xc1.TAC,PseKNC_3_Xc1.TAG,PseKNC_3_Xc1.TAT,PseKNC_3_Xc1.TCA,PseKNC_3_Xc1.TCC,PseKNC_3_Xc1.TCG,PseKNC_3_Xc1.TCT,PseKNC_3_Xc1.TGA,PseKNC_3_Xc1.TGC,PseKNC_3_Xc1.TGG,PseKNC_3_Xc1.TGT,PseKNC_3_Xc1.TTA,PseKNC_3_Xc1.TTC,PseKNC_3_Xc1.TTG,PseKNC_3_Xc1.TTT,PseKNC_3_Xc2.lambda.1,PseKNC_3_Xc2.lambda.2,PseKNC_3_Xc2.lambda.3
DVU2560,0,0.005,0.003,0,0.002,0.005,0.011,0.003,0.004,0.001,0.005,0,0.002,0.001,0.003,0,0.001,0.005,0.003,0.004,0.004,0.005,0.008,0.003,0.007,0.01,0.009,0.007,0,0.004,0.005,0.005,0.006,0.009,0.003,0.002,0.005,0.007,0.009,0.005,0.006,0.009,0.007,0.004,0.002,0.002,0.005,0.004,0.001,0.003,0,0.001,0.003,0.003,0.007,0.002,0.003,0.006,0.004,0.001,0,0.007,0.001,0.003,0.305,0.219,0.217
DVU2561,0,0.002,0.001,0.001,0.005,0.005,0.007,0.003,0.002,0.003,0.003,0.001,0.001,0.003,0.004,0,0.002,0.008,0.005,0.005,0.004,0.008,0.01,0.004,0.005,0.012,0.01,0.004,0.001,0.004,0.005,0.003,0.002,0.008,0.002,0.001,0.007,0.011,0.009,0.004,0.004,0.01,0.009,0.004,0.001,0.004,0.005,0.001,0,0.002,0,0.001,0.003,0.003,0.005,0.002,0.003,0.006,0.004,0.002,0,0.003,0.002,0,0.31,0.225,0.211
DVU2562,0.001,0.002,0.001,0.001,0.004,0.009,0.008,0.001,0.006,0.003,0.003,0.001,0,0.006,0.003,0.001,0.001,0.011,0.004,0.007,0.005,0.007,0.009,0.007,0.009,0.013,0.004,0.006,0.001,0.004,0.006,0.004,0.002,0.008,0.008,0.001,0.008,0.008,0.009,0.003,0.003,0.005,0.001,0.003,0.001,0.004,0.003,0.001,0,0.003,0,0,0.005,0.003,0.007,0.004,0.002,0.006,0.004,0.001,0,0.004,0.001,0.001,0.315,0.216,0.213
DVU2563,0,0.002,0.002,0.001,0.003,0.005,0.006,0.003,0.002,0.001,0.003,0.001,0,0.002,0.006,0.001,0.003,0.008,0.003,0.005,0.005,0.01,0.01,0.006,0.006,0.014,0.01,0.004,0.001,0.006,0.006,0.003,0.002,0.007,0.002,0.002,0.008,0.012,0.012,0.004,0.004,0.012,0.007,0.003,0.001,0.003,0.004,0.001,0,0.001,0,0,0.003,0.004,0.006,0.003,0.002,0.008,0.005,0.001,0,0.003,0.001,0,0.313,0.22,0.212
DVU2564,0,0.002,0.002,0,0.004,0.005,0.008,0.003,0.002,0.002,0.003,0.001,0.001,0.003,0.004,0.001,0.003,0.009,0.003,0.006,0.004,0.009,0.009,0.007,0.007,0.012,0.007,0.005,0.001,0.005,0.007,0.003,0.002,0.008,0.003,0.001,0.008,0.012,0.008,0.004,0.003,0.008,0.006,0.002,0.001,0.004,0.004,0.001,0,0.001,0,0.001,0.004,0.003,0.005,0.003,0.003,0.009,0.004,0.002,0,0.003,0.002,0,0.311,0.217,0.22
DVU2565,0.001,0.002,0.003,0.001,0.003,0.005,0.008,0.001,0.002,0.002,0.003,0,0.001,0.003,0.006,0.001,0.002,0.006,0.003,0.004,0.004,0.006,0.008,0.006,0.005,0.01,0.01,0.006,0.001,0.002,0.007,0.003,0.004,0.007,0.003,0.004,0.005,0.008,0.011,0.005,0.007,0.007,0.007,0.004,0.001,0.004,0.006,0.002,0,0.002,0,0.001,0.003,0.004,0.003,0.003,0.004,0.009,0.005,0.003,0,0.004,0.003,0.002,0.307,0.218,0.218
DVU2566,0,0.005,0.003,0.001,0.003,0.006,0.006,0.001,0.002,0.002,0.004,0.001,0,0.005,0.004,0.001,0.004,0.003,0.003,0.006,0.005,0.005,0.007,0.006,0.008,0.009,0.009,0.005,0.003,0.008,0.004,0.003,0.004,0.006,0.004,0.001,0.005,0.007,0.009,0.007,0.002,0.01,0.005,0.005,0.001,0.004,0.006,0.002,0,0.003,0,0.001,0.003,0.005,0.009,0.004,0.002,0.005,0.005,0.003,0,0.005,0.001,0,0.305,0.228,0.208
DVU2567,0,0.004,0.004,0.001,0.003,0.005,0.006,0.002,0.003,0.004,0.005,0.001,0,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.004,0.007,0.006,0.007,0.011,0.007,0.005,0.003,0.005,0.006,0.002,0.005,0.005,0.006,0.002,0.006,0.009,0.009,0.005,0.005,0.007,0.005,0.003,0.001,0.004,0.003,0.002,0,0.002,0,0.003,0.004,0.004,0.006,0.004,0.004,0.008,0.003,0.001,0,0.003,0.002,0.001,0.306,0.219,0.219
DVU2568,0,0.003,0.002,0,0.003,0.005,0.007,0.002,0.002,0.002,0.005,0.001,0.001,0.003,0.005,0.001,0.002,0.008,0.003,0.006,0.004,0.008,0.012,0.005,0.007,0.011,0.008,0.005,0.001,0.004,0.004,0.004,0.003,0.005,0.005,0.002,0.008,0.012,0.007,0.004,0.004,0.009,0.009,0.005,0,0.005,0.007,0.001,0,0.001,0,0.001,0.003,0.004,0.006,0.003,0.002,0.008,0.005,0.003,0,0.005,0.002,0,0.307,0.219,0.214
DVU2569,0,0.003,0.007,0.001,0.003,0.007,0.005,0.003,0.004,0.004,0.003,0.003,0.001,0.004,0.005,0.001,0.002,0.004,0.003,0.004,0.002,0.006,0.011,0.005,0.014,0.01,0.006,0.004,0.002,0.007,0.003,0.003,0.009,0.008,0.004,0.005,0.003,0.008,0.009,0.006,0.003,0.008,0.003,0.004,0.001,0.004,0.006,0.003,0,0.003,0.001,0,0.006,0.003,0.009,0.001,0.005,0.004,0.005,0.001,0.001,0.004,0.002,0,0.297,0.233,0.205
DVU2570,0,0.002,0.003,0.001,0.004,0.004,0.005,0.002,0.002,0.002,0.004,0.002,0.001,0.002,0.005,0.002,0.002,0.004,0.004,0.004,0.002,0.003,0.006,0.003,0.006,0.005,0.009,0.007,0.001,0.002,0.006,0.004,0.004,0.006,0.003,0.004,0.004,0.007,0.009,0.006,0.006,0.009,0.007,0.006,0.002,0.004,0.008,0.005,0,0.002,0.001,0.001,0.003,0.001,0.007,0.002,0.004,0.009,0.007,0.004,0,0.004,0.005,0.003,0.308,0.229,0.21
DVU2571,0,0.003,0.003,0.001,0.003,0.005,0.004,0.003,0.002,0.003,0.004,0.001,0,0.005,0.004,0.001,0.002,0.004,0.004,0.007,0.003,0.005,0.008,0.005,0.006,0.009,0.007,0.007,0.002,0.005,0.006,0.005,0.005,0.004,0.003,0.002,0.005,0.009,0.008,0.006,0.003,0.01,0.006,0.005,0.002,0.004,0.006,0.003,0,0.003,0.001,0.001,0.005,0.003,0.008,0.003,0.003,0.006,0.007,0.002,0,0.005,0.003,0.001,0.305,0.23,0.21
DVU2572,0,0.003,0.005,0,0.002,0.006,0.003,0.003,0.002,0.002,0.009,0.003,0.002,0.002,0.004,0,0.002,0.006,0.005,0.003,0.002,0.008,0.008,0.004,0.007,0.004,0.008,0.007,0,0.004,0.004,0.003,0.005,0.005,0.005,0.003,0.008,0.006,0.009,0.002,0.005,0.016,0.011,0.004,0.001,0.005,0.007,0.004,0.001,0,0.001,0.001,0.004,0.002,0.006,0.002,0.005,0.004,0.007,0.003,0,0.003,0.004,0,0.291,0.229,0.211
DVU2573,0,0,0.003,0.002,0.002,0,0.003,0.002,0,0.003,0,0.003,0.002,0.003,0.005,0,0.003,0.003,0.002,0.002,0.002,0,0.005,0,0,0.006,0.018,0.009,0.003,0.002,0.008,0,0.002,0.002,0,0.002,0.006,0.005,0.014,0.009,0.003,0.017,0.006,0.008,0.002,0.008,0.009,0.006,0,0.002,0.002,0.003,0,0.002,0.012,0.002,0.003,0.008,0.009,0.005,0,0.003,0.003,0,0.325,0.258,0.182
DVU2574,0,0.002,0.002,0.001,0.001,0.003,0.001,0.003,0.003,0.002,0.006,0.001,0.001,0.001,0.002,0,0.001,0.002,0.004,0,0,0.004,0.006,0.006,0.004,0.007,0.008,0.007,0,0.009,0.011,0.002,0.004,0.003,0.004,0.002,0.004,0.004,0.01,0.008,0.004,0.004,0.006,0.009,0.002,0.003,0.013,0.009,0.001,0.001,0.001,0,0.002,0.003,0.009,0.006,0.002,0.013,0.004,0.011,0,0.007,0.004,0.001,0.3,0.194,0.243
DVU2575,0,0.002,0.002,0.001,0.004,0.005,0.007,0.002,0.003,0.004,0.004,0,0.001,0.004,0.005,0.001,0.002,0.007,0.005,0.007,0.006,0.008,0.008,0.005,0.007,0.01,0.007,0.004,0.001,0.007,0.005,0.002,0.003,0.007,0.004,0.002,0.006,0.01,0.007,0.005,0.005,0.008,0.004,0.003,0,0.004,0.004,0.002,0,0.002,0,0.001,0.005,0.004,0.007,0.003,0.002,0.006,0.004,0.003,0,0.004,0.001,0.001,0.308,0.218,0.216
DVU2576,0.001,0.003,0.001,0.001,0.002,0.007,0.006,0.003,0.003,0.003,0.004,0.001,0.001,0.003,0.006,0.001,0.002,0.007,0.005,0.007,0.006,0.008,0.007,0.006,0.007,0.008,0.007,0.006,0.001,0.006,0.006,0.003,0.002,0.007,0.004,0.002,0.008,0.009,0.007,0.004,0.002,0.01,0.005,0.003,0.001,0.005,0.003,0.002,0,0.002,0.001,0,0.005,0.002,0.008,0.003,0.004,0.007,0.003,0.002,0,0.005,0.001,0.002,0.305,0.225,0.215
DVU2577,0.005,0.004,0.007,0.002,0.006,0.005,0.006,0.003,0.004,0.004,0.006,0.001,0.001,0.006,0.003,0.001,0.005,0.005,0.005,0.007,0.004,0.003,0.005,0.008,0.007,0.005,0.007,0.005,0.001,0.007,0.006,0.004,0.007,0.008,0.003,0.001,0.004,0.009,0.006,0.005,0.005,0.01,0.003,0.003,0.002,0.004,0.004,0,0,0.003,0,0.002,0.007,0.003,0.008,0.002,0.005,0.005,0.004,0.002,0,0.003,0.002,0,0.297,0.229,0.207
DVU2578,0.004,0.004,0.004,0.003,0.004,0.003,0.004,0.004,0.002,0.003,0.005,0.003,0.003,0.004,0.006,0.001,0.004,0.003,0.005,0.005,0.003,0.003,0.005,0.003,0.006,0.008,0.006,0.003,0.001,0.004,0.005,0.004,0.007,0.004,0.003,0.003,0.007,0.006,0.006,0.007,0.005,0.008,0.004,0.003,0.003,0.003,0.004,0.004,0,0.004,0.001,0.002,0.003,0.001,0.007,0.002,0.003,0.007,0.005,0.005,0.001,0.003,0.006,0.001,0.31,0.226,0.213
DVU2579,0.003,0.005,0.009,0.001,0.003,0.008,0.004,0.003,0.002,0.006,0.006,0.001,0,0.005,0.004,0,0.008,0.006,0.005,0.005,0.007,0.01,0.01,0.006,0.007,0.008,0.005,0.005,0.002,0.004,0.003,0.005,0.006,0.005,0.001,0.002,0.007,0.011,0.004,0.003,0.003,0.008,0.001,0.002,0.003,0.005,0.002,0.001,0.001,0.002,0,0.001,0.006,0.004,0.006,0.002,0.003,0.004,0.003,0.003,0,0.005,0.002,0.002,0.289,0.233,0.215
DVU2580,0.001,0.002,0.003,0.001,0.005,0.006,0.007,0.002,0.003,0.004,0.003,0.001,0.001,0.003,0.003,0,0.002,0.007,0.005,0.005,0.005,0.011,0.012,0.006,0.007,0.012,0.008,0.005,0.001,0.006,0.006,0.003,0.004,0.009,0.003,0.001,0.007,0.013,0.008,0.004,0.004,0.009,0.004,0.002,0.001,0.004,0.003,0.002,0,0.001,0,0.001,0.003,0.004,0.006,0.003,0.002,0.007,0.004,0.002,0,0.003,0.002,0.001,0.302,0.226,0.213
DVU2581,0.001,0.002,0.004,0.001,0.002,0.003,0.01,0.002,0.003,0.002,0.003,0.001,0.001,0.003,0.006,0.003,0.003,0.006,0.004,0.006,0.007,0.007,0.009,0.005,0.006,0.011,0.006,0.004,0,0.003,0.006,0.005,0.003,0.008,0.002,0.005,0.007,0.014,0.004,0.005,0.004,0.007,0.003,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001,0.003,0.003,0.005,0.002,0.004,0.01,0.003,0.003,0.001,0.004,0.003,0.001,0.305,0.226,0.217
DVU2582,0.001,0.004,0.007,0.001,0.006,0.006,0.004,0.002,0.003,0.006,0.003,0.002,0.001,0.007,0.004,0,0.007,0.005,0.004,0.007,0.007,0.004,0.006,0.005,0.008,0.01,0.003,0.004,0.003,0.004,0.005,0.004,0.006,0.006,0.003,0.002,0.004,0.006,0.009,0.004,0.003,0.003,0.001,0.003,0.001,0.004,0.004,0.002,0,0.003,0,0.003,0.007,0.005,0.006,0.005,0.003,0.004,0.003,0.003,0,0.007,0,0.002,0.305,0.224,0.213
DVU2583,0,0.003,0.004,0,0.004,0.004,0.006,0.004,0.003,0.004,0.002,0.001,0.001,0.003,0.003,0.001,0.003,0.005,0.003,0.005,0.003,0.01,0.009,0.006,0.007,0.012,0.007,0.009,0,0.005,0.009,0.005,0.004,0.007,0.002,0.001,0.006,0.008,0.013,0.007,0.003,0.007,0.003,0.003,0.002,0.005,0.005,0.003,0,0.002,0.001,0.001,0.003,0.006,0.007,0.002,0.002,0.011,0.004,0.003,0.001,0.005,0.003,0,0.315,0.21,0.222
DVU2584,0.001,0.005,0.005,0.001,0.004,0.007,0.006,0.002,0.004,0.003,0.004,0.001,0.001,0.009,0.005,0.002,0.005,0.004,0.004,0.012,0.006,0.005,0.005,0.006,0.008,0.008,0.005,0.002,0.001,0.007,0.006,0.002,0.006,0.007,0.002,0.003,0.006,0.007,0.006,0.005,0.003,0.004,0.001,0.004,0.001,0.004,0.004,0.001,0,0.002,0,0.001,0.009,0.002,0.008,0.003,0.003,0.008,0.003,0.003,0,0.004,0.001,0.001,0.304,0.233,0.205
DVU2585,0.001,0.004,0.004,0.001,0.004,0.004,0.006,0.002,0.004,0.005,0.006,0.002,0.001,0.004,0.004,0.001,0.005,0.004,0.006,0.005,0.006,0.004,0.006,0.003,0.006,0.009,0.007,0.005,0.001,0.004,0.005,0.003,0.005,0.006,0.005,0.003,0.008,0.008,0.008,0.004,0.005,0.009,0.007,0.004,0.001,0.004,0.005,0.002,0,0.002,0.001,0.001,0.003,0.003,0.007,0.002,0.003,0.006,0.006,0.002,0,0.004,0.002,0.001,0.302,0.223,0.217
DVU2586,0.001,0.005,0.007,0.001,0.002,0.006,0.007,0.003,0.005,0.003,0.005,0.001,0.001,0.004,0.003,0.001,0.006,0.003,0.003,0.004,0.004,0.005,0.008,0.004,0.009,0.009,0.005,0.007,0.001,0.006,0.004,0.002,0.007,0.007,0.004,0.003,0.006,0.007,0.005,0.005,0.004,0.007,0.005,0.005,0.002,0.005,0.006,0.002,0,0.003,0,0.001,0.004,0.003,0.009,0.002,0.004,0.005,0.005,0.001,0,0.003,0.001,0.001,0.298,0.227,0.214
DVU2587,0,0.002,0.002,0.002,0.004,0.003,0.006,0.002,0.001,0.003,0.005,0.001,0.001,0.005,0.005,0.001,0.002,0.005,0.004,0.006,0.004,0.004,0.005,0.004,0.007,0.01,0.008,0.005,0.001,0.005,0.005,0.004,0.003,0.006,0.004,0.002,0.007,0.007,0.009,0.005,0.005,0.008,0.006,0.006,0.001,0.005,0.006,0.003,0,0.002,0.001,0,0.003,0.003,0.009,0.004,0.003,0.007,0.006,0.003,0.001,0.005,0.003,0.001,0.31,0.219,0.217
DVU2588,0.001,0.002,0.003,0.001,0.002,0.004,0.006,0.001,0.004,0.004,0.003,0.001,0.002,0.004,0.006,0.001,0.002,0.003,0.004,0.007,0.004,0.003,0.005,0.003,0.007,0.009,0.008,0.006,0.001,0.006,0.004,0.002,0.004,0.007,0.005,0.003,0.005,0.007,0.012,0.006,0.004,0.008,0.007,0.004,0.001,0.003,0.007,0.003,0,0.001,0.001,0.002,0.005,0.001,0.007,0.002,0.003,0.008,0.006,0.002,0,0.004,0.002,0,0.312,0.225,0.213
DVU2589,0,0,0.002,0,0.002,0.004,0.004,0,0.002,0,0.006,0.006,0,0.002,0.012,0.002,0,0.006,0.004,0.006,0,0,0.008,0.004,0.008,0.002,0.01,0.006,0,0.002,0.004,0.004,0.002,0.002,0.006,0.002,0.01,0,0.012,0.004,0.002,0.017,0.004,0.002,0.008,0.006,0.004,0.002,0,0.002,0.002,0.006,0.004,0.008,0.002,0.002,0.002,0.006,0.006,0.006,0.002,0.006,0,0.004,0.321,0.201,0.24
DVU2590,0.002,0.003,0.004,0.001,0.005,0.006,0.006,0.003,0.004,0.003,0.005,0.001,0.001,0.004,0.003,0,0.002,0.006,0.004,0.005,0.003,0.007,0.01,0.005,0.006,0.011,0.007,0.005,0.002,0.004,0.005,0.004,0.005,0.008,0.005,0.002,0.007,0.009,0.007,0.005,0.007,0.008,0.004,0.003,0.001,0.003,0.006,0.001,0,0.002,0.001,0.001,0.003,0.003,0.006,0.002,0.002,0.007,0.006,0.001,0,0.003,0.002,0,0.306,0.216,0.219
DVU2591,0,0.002,0.002,0,0.003,0.007,0.005,0.001,0.001,0.004,0.001,0.003,0,0.003,0.004,0,0.001,0.008,0.003,0.002,0.005,0.009,0.015,0.004,0.006,0.009,0.007,0.006,0,0.003,0.006,0.001,0.003,0.006,0.004,0.003,0.005,0.015,0.004,0.005,0.005,0.006,0.006,0.005,0.002,0.003,0.009,0.001,0,0.001,0.001,0.001,0.001,0.002,0.006,0,0.003,0.01,0.008,0,0,0,0.002,0,0.305,0.238,0.204
DVU2592,0,0.004,0.001,0.001,0.004,0.005,0.005,0.001,0.005,0.001,0.004,0.001,0,0.004,0.004,0,0.004,0.005,0.008,0.004,0.002,0.008,0.006,0.004,0.004,0.016,0.008,0.003,0.002,0.004,0.006,0.001,0.003,0.005,0.004,0.002,0.011,0.006,0.014,0.007,0.004,0.01,0.005,0.002,0,0.001,0.006,0.001,0,0.001,0.001,0,0.003,0.001,0.006,0,0.001,0.011,0.004,0.001,0,0.001,0.001,0,0.315,0.213,0.23
DVU2593,0.002,0.005,0.001,0.002,0.003,0.006,0.006,0.004,0.003,0.005,0.001,0.002,0.001,0.003,0.006,0.001,0.003,0.008,0.003,0.005,0.006,0.009,0.008,0.006,0.006,0.01,0.009,0.003,0,0.007,0.006,0.003,0.004,0.006,0.005,0.002,0.008,0.011,0.003,0.004,0.004,0.004,0.001,0.003,0.002,0.006,0.003,0.002,0.001,0.001,0.001,0.001,0.003,0.004,0.01,0.001,0.005,0.007,0.002,0.004,0,0.003,0.003,0,0.3,0.227,0.217
DVU2594,0.001,0.001,0.002,0,0.001,0.007,0.004,0.001,0.002,0.005,0.001,0.003,0.001,0.004,0.004,0.001,0,0.005,0.005,0.008,0.009,0.011,0.016,0.007,0.006,0.015,0.009,0.007,0.002,0.004,0.004,0.001,0.002,0.004,0.005,0,0.006,0.013,0.01,0.002,0.002,0.008,0.002,0.001,0.001,0.011,0.002,0.002,0,0.002,0,0.001,0.002,0.012,0.006,0.002,0.002,0.002,0.001,0.005,0,0.003,0.001,0,0.304,0.228,0.213
DVU2595,0,0.001,0.001,0,0.001,0.003,0.004,0.001,0.002,0.001,0.003,0.001,0.001,0.001,0.007,0,0.001,0.004,0.003,0.004,0.002,0.005,0.01,0.003,0.003,0.012,0.011,0.006,0.001,0.003,0.005,0.003,0.001,0.002,0.003,0.003,0.008,0.009,0.012,0.007,0.003,0.013,0.013,0.004,0.003,0.004,0.008,0.001,0,0.003,0,0.002,0.002,0.003,0.005,0.001,0.002,0.009,0.007,0.004,0,0.003,0.003,0.002,0.318,0.203,0.239
DVU2596,0,0.002,0.002,0.001,0.002,0.004,0.006,0.002,0.001,0.003,0.004,0.001,0.001,0.003,0.005,0,0.001,0.004,0.003,0.006,0.002,0.006,0.009,0.004,0.008,0.008,0.012,0.006,0.001,0.003,0.003,0.005,0.004,0.007,0.004,0.001,0.006,0.008,0.013,0.004,0.004,0.011,0.01,0.007,0,0.005,0.009,0.003,0,0.001,0,0.001,0.003,0.003,0.007,0.002,0.004,0.009,0.005,0.002,0,0.004,0.004,0.001,0.307,0.226,0.21
DVU2597,0,0.004,0.003,0,0.004,0.001,0.011,0.003,0.004,0.005,0.008,0,0.001,0.003,0.003,0,0.003,0.005,0.004,0.004,0.003,0.016,0.008,0.003,0.013,0.008,0.008,0.007,0,0.004,0.007,0,0.004,0.008,0.008,0.001,0.007,0.007,0.009,0.005,0.004,0.011,0.003,0.004,0.003,0.005,0,0.005,0,0.001,0.003,0,0.003,0.005,0.008,0,0.001,0.004,0.003,0.003,0,0.004,0.001,0,0.297,0.216,0.225
DVU2598,0,0.002,0.001,0,0.003,0.007,0.005,0.002,0.003,0.002,0.004,0.001,0,0,0.005,0.001,0.002,0.005,0.003,0.003,0.003,0.007,0.008,0.006,0.007,0.011,0.007,0.007,0.003,0.005,0.007,0.002,0.002,0.007,0.005,0.001,0.005,0.009,0.013,0.006,0.004,0.01,0.005,0.003,0,0.002,0.009,0.002,0,0.002,0,0.001,0.003,0.001,0.006,0.003,0.002,0.01,0.006,0.002,0,0.005,0,0.001,0.312,0.207,0.231
DVU2599,0,0.002,0.003,0.001,0.003,0.003,0.008,0,0.006,0.003,0.009,0.001,0.001,0.001,0.008,0,0.002,0.003,0.007,0.002,0.006,0.003,0.008,0.002,0.009,0.015,0.008,0.006,0,0.001,0.003,0.001,0.004,0.008,0.008,0.005,0.005,0.008,0.019,0.002,0.009,0.009,0.012,0.002,0.001,0.006,0.005,0.001,0,0.001,0,0.001,0.001,0.003,0.003,0.001,0.003,0.007,0.003,0.002,0,0.001,0,0.001,0.312,0.209,0.221
DVU2600,0.001,0.003,0.001,0.001,0.001,0.005,0.009,0.001,0.002,0.004,0.004,0.001,0.001,0.003,0.005,0,0.002,0.006,0.006,0.002,0.004,0.009,0.01,0.005,0.005,0.008,0.008,0.008,0,0.001,0.006,0.002,0.002,0.007,0.004,0.003,0.008,0.011,0.005,0.003,0.008,0.008,0.006,0.004,0.003,0.003,0.008,0.004,0,0.002,0.001,0.002,0.002,0.003,0.005,0,0.002,0.008,0.007,0.004,0.001,0.004,0.001,0.001,0.313,0.223,0.21
DVU4020,0,0.003,0.004,0,0.004,0.006,0.005,0.002,0.003,0.005,0.005,0.001,0,0.005,0.003,0.001,0.004,0.004,0.006,0.006,0.006,0.006,0.008,0.005,0.007,0.009,0.008,0.004,0.002,0.004,0.005,0.002,0.004,0.006,0.003,0.001,0.007,0.01,0.01,0.003,0.003,0.011,0.006,0.004,0.001,0.002,0.006,0.002,0,0.003,0,0.001,0.004,0.003,0.005,0.003,0.002,0.006,0.004,0.002,0,0.004,0,0,0.303,0.223,0.218
DVU2602,0.001,0.005,0.002,0.001,0.003,0.004,0.006,0.001,0.002,0.003,0.006,0.002,0,0.001,0.003,0.001,0.003,0.003,0.007,0.003,0.001,0.006,0.01,0.003,0.005,0.013,0.013,0.004,0.001,0.003,0.005,0.002,0.004,0.005,0.005,0.002,0.008,0.008,0.013,0.004,0.005,0.013,0.01,0.006,0,0.005,0.005,0.004,0,0.002,0,0,0.003,0.002,0.006,0.003,0.003,0.004,0.005,0.002,0,0.005,0.002,0.001,0.298,0.222,0.218
DVU2603,0,0.003,0.004,0.001,0.002,0.006,0.005,0.005,0.005,0.001,0.009,0.002,0,0.001,0.005,0,0.003,0.005,0.006,0.002,0.003,0.003,0.006,0.003,0.006,0.009,0.009,0.003,0.002,0.003,0.008,0.002,0.005,0.008,0.006,0.003,0.01,0.006,0.012,0.005,0.005,0.015,0.015,0.007,0,0.002,0.008,0.002,0,0.002,0,0,0.001,0.001,0.003,0.002,0.007,0.008,0.008,0.001,0,0.001,0.003,0.001,0.295,0.226,0.216
DVU2604,0,0.004,0.001,0,0.003,0.003,0.006,0.002,0.002,0.002,0.006,0.001,0,0.003,0.005,0,0.002,0.004,0.005,0.004,0.003,0.006,0.009,0.004,0.006,0.011,0.01,0.006,0.001,0.004,0.006,0.002,0.003,0.004,0.005,0.003,0.006,0.01,0.012,0.005,0.006,0.012,0.008,0.005,0.001,0.005,0.007,0.002,0,0.001,0,0.001,0.003,0.003,0.006,0.002,0.002,0.007,0.006,0.003,0,0.003,0.001,0,0.308,0.219,0.218
DVU2605,0,0.002,0.004,0,0.003,0.006,0.004,0.001,0.003,0.001,0.01,0.002,0.001,0.001,0.004,0.001,0.002,0.005,0.004,0.005,0.004,0.01,0.013,0.004,0.005,0.01,0.009,0.006,0,0.004,0.004,0.001,0.003,0.006,0.008,0.001,0.008,0.012,0.008,0.001,0.005,0.013,0.01,0.005,0.001,0.005,0.007,0.002,0,0.001,0.001,0.001,0.001,0.004,0.005,0.002,0.005,0.004,0.005,0.004,0,0.002,0.002,0.001,0.294,0.223,0.218
DVU2606,0.007,0.004,0.005,0.001,0.003,0.007,0.008,0.002,0.004,0.003,0.006,0.001,0.001,0.001,0.009,0.002,0.006,0.006,0.004,0.004,0.003,0.006,0.009,0.003,0.004,0.006,0.011,0.004,0.001,0.003,0.003,0,0.004,0.005,0.004,0.005,0.009,0.008,0.005,0.002,0.008,0.008,0.01,0.003,0.003,0.005,0.002,0.001,0,0.004,0.001,0.001,0.005,0.001,0.003,0,0.003,0.007,0.002,0.003,0.001,0.001,0.001,0.002,0.304,0.216,0.226
DVU2607,0.002,0.005,0.002,0.002,0.004,0.004,0.008,0.002,0.002,0.001,0.002,0.002,0.001,0.004,0.005,0.002,0.004,0.005,0.003,0.006,0.002,0.005,0.007,0.004,0.006,0.012,0.007,0.004,0.002,0.004,0.005,0.003,0.005,0.006,0.002,0.002,0.009,0.006,0.008,0.005,0.005,0.007,0.007,0.004,0,0.004,0.006,0.002,0,0.002,0,0.002,0.003,0.003,0.007,0.003,0.002,0.008,0.006,0.002,0.001,0.004,0.001,0.004,0.309,0.203,0.238
