TACC_Dnase I.lag1,TACC_Dnase I.lag2,TACC_Nucleosome.lag1,TACC_Nucleosome.lag2,TACC_Dnase I.Nucleosome.lag.1,TACC_Dnase I.Nucleosome.lag.2,TACC_Nucleosome.Dnase I.lag.1,TACC_Nucleosome.Dnase I.lag.2
DVU2638,0.009,0.005,0.256,0.005,-0.086,0.019,-0.088,-0.014
DVU2639,0.052,-0.007,0.312,-0.024,-0.158,-0.01,-0.157,0.007
DVU2640,-0.006,-0.046,0.191,-0.056,-0.083,0.044,-0.064,0.046
DVU2641,-0.004,-0.004,0.214,-0.01,-0.089,0.01,-0.08,0.017
DVU2642,0.004,-0.026,0.195,0.005,-0.09,0.017,-0.083,0.012
DVU2643,0.02,-0.02,0.202,0.035,-0.099,-0.003,-0.094,-0.006
DVU2644,0.031,0.021,0.352,0.054,-0.145,-0.042,-0.158,-0.017
DVU2645,0.005,0.013,0.235,0.017,-0.1,-0.012,-0.076,-0.016
DVU2646,0.019,-0.036,0.244,-0.035,-0.063,0.07,-0.054,0.014
DVU2647,0.064,0.073,0.335,0.103,-0.128,-0.103,-0.137,-0.077
DVU2648,0.011,0.041,0.337,0.09,-0.118,-0.043,-0.086,-0.072
DVU2649,-0.002,0.197,0.385,0.067,-0.26,-0.053,-0.093,-0.181
DVU2650,0.036,0.029,0.342,0.094,-0.094,-0.059,-0.078,0.024
DVU2651,0.287,0.059,0.582,0.207,-0.132,0.049,-0.231,0.046
DVU2652,-0.029,0.058,0.335,0.117,-0.149,-0.071,-0.091,-0.099
DVU2653,0.299,0.165,0.664,0.268,-0.084,-0.023,-0.053,0.062
DVU2654,0.294,0.17,0.514,0.126,-0.355,-0.193,-0.453,-0.243
DVU2655,0.065,0.029,0.268,-0.027,-0.12,0.004,-0.183,-0.019
DVU2656,-0.018,-0.06,0.178,-0.07,-0.127,0.023,-0.105,0.051
DVU2657,0.014,0.108,0.274,0.026,-0.092,-0.05,-0.108,-0.136
DVU2658,-0.012,0.048,0.281,0.026,-0.113,-0.049,-0.064,-0.005
DVU2659,-0.03,0.03,0.241,0.054,-0.095,-0.027,-0.077,-0.054
DVU2660,-0.055,-0.049,0.387,0.096,-0.04,0.022,-0.007,-0.143
DVU2661,0.03,-0.009,0.247,-0.01,-0.1,0.018,-0.103,0.013
DVU2662,0.024,0.018,0.31,0.036,-0.107,-0.014,-0.128,0.009
DVU2663,0.063,0.078,0.206,0.002,-0.158,-0.059,-0.144,-0.03
DVU2664,0.013,-0.014,0.192,-0.001,-0.119,0.008,-0.079,-0.011
DVU2665,0.008,-0.019,0.205,-0.033,-0.114,0.004,-0.074,0.001
DVU2666,0.024,0.017,0.254,0.018,-0.122,-0.024,-0.083,-0.005
DVU2667,-0.022,-0.006,0.227,-0.003,-0.118,-0.006,-0.027,0.014
DVU2668,0.018,0.027,0.228,0.008,-0.112,-0.062,-0.082,0
DVU2669,0.163,0.062,0.394,0.065,-0.202,-0.005,-0.35,-0.116
DVU2670,0.055,0.081,0.387,0.076,-0.204,-0.061,-0.247,-0.036
DVU2671,0.028,-0.028,0.276,0.022,-0.113,-0.016,-0.123,0.018
DVU2672,-0.036,-0.03,0.199,0.018,-0.073,0.035,-0.063,-0.003
DVU2673,-0.011,-0.016,0.182,-0.008,-0.074,0.013,-0.057,0.012
DVU2674,0.032,0.035,0.24,0.025,-0.122,-0.031,-0.098,-0.029
DVU2675,0.06,0.045,0.305,0.096,-0.145,-0.032,-0.076,-0.029
DVU2676,0.043,-0.053,0.339,0.086,-0.173,-0.004,-0.2,-0.021
DVU2677,0.017,-0.016,0.227,0.007,-0.11,0.009,-0.121,0.002
DVU2678,0.007,0.007,0.152,-0.014,-0.078,-0.024,-0.065,0.018
DVU2679,0.016,0.001,0.237,-0.007,-0.123,-0.014,-0.089,0.006
DVU2680,0.028,0.012,0.259,0.022,-0.092,-0.04,-0.081,0
DVU2681,0.039,-0.045,0.267,0.039,-0.046,0.029,-0.055,-0.008
DVU2682,-0.021,0.012,0.308,0.062,-0.113,-0.094,-0.037,0.007
DVU2683,-0.004,-0.04,0.234,0,-0.109,0.029,-0.082,0.011
DVU2684,-0.003,0.003,0.179,-0.009,-0.09,-0.015,-0.055,0.022
DVU2685,0.189,0.059,0.705,0.225,-0.051,0.006,-0.097,-0.029
DVU2686,0.094,0.177,0.479,0.124,-0.248,-0.112,-0.284,-0.2
DVU2687,0.041,0.028,0.271,-0.028,-0.202,-0.042,-0.192,-0.011
DVU2688,0.018,0.007,0.257,0.003,-0.14,-0.005,-0.126,-0.007
DVU2689,0.028,-0.02,0.269,0.043,-0.113,0.006,-0.158,-0.016
DVU2690,0.007,0.018,0.28,-0.049,-0.138,0.013,-0.178,-0.003
DVU2691,0.001,0.041,0.244,0.006,-0.17,-0.02,-0.1,-0.011
DVU2692,-0.011,0.001,0.196,-0.038,-0.053,0.072,-0.124,-0.105
DVU2693,0.052,0.181,0.394,0.067,-0.091,-0.015,-0.031,-0.089
DVU2694,0.054,0.034,0.351,0.032,-0.111,-0.022,-0.156,-0.018
DVU2695,0.02,-0.006,0.282,-0.045,-0.196,0.003,-0.11,0.03
DVU2696,0.041,-0.015,0.257,0.02,-0.129,-0.038,-0.105,-0.001
DVU2697,0.084,0.092,0.451,0.107,-0.155,-0.037,-0.219,-0.061
DVU2698,-0.012,-0.007,0.273,-0.008,-0.106,0.034,-0.078,0.018
DVU2699,0.011,-0.059,0.245,-0.087,-0.106,0.091,-0.108,0.052
DVU2700,-0.021,-0.006,0.228,-0.015,-0.084,-0.015,-0.114,0.022
DVU2701,0.098,-0.035,0.231,-0.137,-0.184,0.068,-0.169,0.1
DVU2702,-0.02,0.012,0.252,0.02,-0.138,-0.015,-0.204,-0.088
DVU2703,0.037,-0.023,0.318,-0.028,-0.227,0.105,-0.189,-0.026
DVU2704,0.004,-0.07,0.218,-0.066,-0.117,0.051,-0.104,0.065
DVU2705,0.008,-0.007,0.263,0.001,-0.112,0.015,-0.134,0.014
DVU2706,0.002,-0.013,0.238,-0.005,-0.113,-0.005,-0.132,0.036
DVU2707,0.035,0.001,0.259,-0.01,-0.135,0.001,-0.157,0.013
DVU2708,0.042,-0.01,0.327,0.094,-0.091,0.05,-0.07,0.008
DVU4026,0.214,-0.015,0.572,0.19,-0.257,-0.046,-0.268,-0.067
DVU2710,0,-0.04,0.238,-0.024,-0.117,0.025,-0.122,0.062
DVU2711,0.009,-0.048,0.221,-0.019,-0.113,0.046,-0.128,0.043
DVU2712,-0.012,-0.013,0.174,-0.074,-0.047,0.025,-0.12,0.031
DVU2713,-0.014,-0.059,0.165,-0.118,-0.07,0.023,-0.066,0.101
DVU2714,-0.014,-0.003,0.2,-0.035,-0.06,0.02,-0.088,0.005
DVU2715,0.029,-0.113,0.319,0.042,-0.105,-0.004,-0.136,-0.058
DVU2716,0.013,-0.025,0.218,-0.06,-0.125,0.034,-0.113,0.053
DVU2717,0.259,0.142,0.657,0.262,-0.258,-0.164,-0.26,-0.156
DVU2718,0.001,0.049,0.479,0.149,-0.051,0.007,-0.161,0.016
DVU2719,0.014,-0.008,0.329,0.026,-0.209,-0.02,-0.204,0.025
DVU2720,0.029,0.039,0.261,-0.036,-0.127,-0.019,-0.135,-0.022
DVU2721,0.005,-0.055,0.236,-0.09,-0.14,0.059,-0.121,0.087
DVU2722,0.031,-0.049,0.211,-0.061,-0.102,0.036,-0.121,0.069
DVU2723,-0.024,-0.059,0.186,-0.052,-0.062,0.057,-0.079,0.031
DVU2724,0.023,-0.001,0.271,0.008,-0.124,0.02,-0.135,0.022
DVU2725,0.104,0.126,0.526,0.136,-0.286,-0.162,-0.21,-0.108
DVU2727,0.02,-0.021,0.282,0.028,-0.129,-0.02,-0.091,0.04
DVU2728,0.004,-0.048,0.228,-0.043,-0.078,0.064,-0.077,0.036
DVU2729,-0.022,-0.058,0.239,-0.066,-0.074,0.061,-0.092,0.055
DVU2730,-0.001,0.036,0.282,0.035,-0.114,-0.035,-0.132,-0.037
DVU2731,0.012,-0.02,0.218,-0.046,-0.165,0.035,-0.114,0.02
DVU2732,-0.073,0.092,0.226,0.076,-0.155,-0.074,-0.109,-0.094
DVU2733,0.083,0.045,0.328,0.049,-0.179,-0.049,-0.192,-0.04
DVU4022,0.023,0.005,0.199,-0.027,-0.085,-0.004,-0.105,0.014
DVU2735,0.042,-0.014,0.222,-0.002,-0.112,0.003,-0.111,-0.001
DVU2736,0.019,-0.048,0.218,-0.015,-0.095,0.048,-0.113,0.004
DVU2737,0.021,-0.043,0.29,0.03,-0.141,0.022,-0.137,0.02
DVU2738,0.006,-0.005,0.214,0.003,-0.09,-0.008,-0.101,0.002
DVU2739,0.012,0.006,0.222,0.003,-0.102,-0.001,-0.096,-0.014
DVU2740,0.014,0.013,0.2,0.014,-0.098,-0.023,-0.109,-0.018
DVU2741,0.031,0.044,0.219,0.036,-0.14,-0.059,-0.112,-0.038
DVU2742,0.035,-0.029,0.237,0.017,-0.128,0.019,-0.082,-0.019
DVU2743,0.002,-0.028,0.254,0.051,-0.095,-0.023,-0.06,0.01
DVU2744,0.016,0.002,0.202,0.015,-0.128,-0.021,-0.117,-0.014
DVU2745,0.408,0.112,0.668,0.318,-0.407,-0.23,-0.412,-0.182
DVU2746,0.002,0.044,0.213,-0.007,-0.138,-0.043,-0.089,-0.024
DVU2747,0.022,-0.014,0.2,0,-0.089,-0.003,-0.1,0
DVU2748,-0.002,0.015,0.226,0.018,-0.126,-0.022,-0.084,-0.002
DVU2749,-0.008,0.001,0.158,-0.006,-0.09,-0.021,-0.028,0.017
DVU2750,-0.007,-0.009,0.192,0.01,-0.067,0.019,-0.033,0.037
DVU2751,0.009,0.033,0.272,0.056,-0.121,-0.069,-0.12,-0.045
DVU2752,0.055,0.035,0.282,0.044,-0.224,-0.02,-0.147,-0.041
DVU2753,-0.02,0.03,0.223,-0.011,-0.11,-0.02,-0.091,-0.002
DVU2754,0.016,0,0.183,-0.022,-0.113,-0.001,-0.055,0.018
DVU2755,0.004,-0.021,0.248,-0.009,-0.136,0,-0.08,0.041
DVU2756,-0.007,-0.015,0.231,-0.015,-0.097,0.003,-0.089,0.013
DVU2757,-0.02,-0.05,0.221,0.022,-0.082,-0.004,-0.073,0.025
DVU2758,-0.028,-0.005,0.216,0.072,-0.064,-0.035,-0.054,-0.019
DVU2759,0.109,0.05,0.405,0.094,-0.173,-0.082,-0.101,0.024
DVU2760,0.042,0.049,0.25,0.024,-0.137,-0.052,-0.098,-0.021
DVU2761,0.005,-0.087,0.306,0.015,-0.049,0.008,-0.022,0.014
DVU2762,-0.011,-0.008,0.251,-0.01,-0.1,-0.003,-0.054,0.042
DVU2763,0.023,0.002,0.25,-0.002,-0.121,-0.015,-0.113,0.005
DVU2764,-0.02,0,0.254,0.006,-0.094,0.003,-0.112,-0.009
DVU2765,0.022,0.018,0.289,0.072,-0.11,-0.014,-0.124,-0.035
DVU2766,-0.037,-0.021,0.161,-0.012,-0.062,-0.061,-0.07,0.008
DVU2767,0.002,-0.013,0.192,-0.017,-0.087,0.014,-0.078,-0.006
DVU2768,-0.018,0.035,0.246,0.053,-0.081,-0.064,-0.074,-0.026
DVU2769,0.022,-0.013,0.239,0.003,-0.097,-0.011,-0.116,0.005
DVU2770,0.092,-0.001,0.318,0.061,-0.121,-0.027,-0.084,0.029
DVU2771,0.01,0.001,0.207,0.033,-0.096,-0.024,-0.067,-0.002
DVU2772,-0.005,-0.008,0.206,-0.02,-0.089,0,-0.039,0.025
DVU2773,0.035,-0.009,0.242,0.071,-0.124,-0.028,-0.06,0.008
DVU2774,-0.001,0.034,0.207,0.033,-0.13,-0.007,-0.108,-0.035
DVU2775,0.063,0.065,0.379,0.018,-0.072,-0.019,-0.04,0.043
DVU2776,0.041,-0.066,0.231,-0.02,-0.134,0.026,-0.167,-0.01
DVU2777,-0.025,0.051,0.292,-0.013,-0.138,-0.017,-0.083,0.008
DVU2778,0.046,-0.001,0.335,0.002,-0.24,0.006,-0.157,0.035
DVU2779,-0.003,0.051,0.296,0.064,-0.122,-0.06,-0.115,-0.035
DVU2780,0.022,-0.021,0.286,0.09,-0.095,-0.048,-0.09,-0.059
DVU2781,0.024,-0.007,0.195,-0.053,-0.122,0.017,-0.077,0.037
DVU2782,0.037,0.05,0.225,0.117,-0.149,-0.103,-0.074,-0.053
DVU2783,0.005,0.026,0.18,0.007,-0.063,-0.001,-0.079,-0.024
DVU2784,-0.004,-0.002,0.198,0.032,-0.095,-0.036,-0.043,0.009
DVU2785,0.029,0.011,0.303,0.064,-0.121,-0.038,-0.099,0.007
DVU2786,0.101,0.298,0.574,0.255,-0.376,-0.32,-0.37,-0.257
DVU2787,-0.022,-0.028,0.248,-0.025,-0.078,-0.026,-0.036,0.037
DVU2788,0.017,0.002,0.267,0.067,-0.132,-0.032,-0.128,-0.021
DVU2789,0.01,0.015,0.213,0.058,-0.111,-0.028,-0.109,-0.055
DVU2790,0.042,0.033,0.61,0.241,-0.141,-0.03,-0.029,-0.062
DVU2791,0.035,0.028,0.261,0.038,-0.151,-0.07,-0.125,-0.032
DVU2792,0.018,0.011,0.202,0.01,-0.127,-0.008,-0.11,-0.01
DVU2793,-0.002,-0.036,0.213,0.003,-0.07,0.026,-0.076,0.002
DVU2794,-0.007,0.015,0.213,0.016,-0.119,0.005,-0.064,-0.032
DVU2795,0.04,-0.002,0.184,0.017,-0.116,0.006,-0.093,-0.052
DVU2796,-0.007,-0.041,0.252,0.079,-0.103,-0.033,-0.053,0
DVU2797,0.043,-0.011,0.217,-0.034,-0.123,0.036,-0.108,-0.014
DVU2798,0.006,-0.004,0.154,-0.028,-0.081,0.023,-0.073,0.017
DVU2799,0.014,0.054,0.242,0.02,-0.137,-0.063,-0.11,-0.032
DVU2800,-0.007,0.019,0.214,0.026,-0.096,-0.011,-0.072,-0.034
DVU2801,0.013,0.023,0.206,0,-0.092,-0.023,-0.115,-0.003
DVU2802,0.03,-0.032,0.244,0.034,-0.097,-0.019,-0.11,0.013
DVU2803,-0.005,0.031,0.243,0.074,-0.111,-0.046,-0.107,-0.041
DVU2804,0.04,0.009,0.19,-0.021,-0.128,0.01,-0.1,0
DVU2805,-0.01,0.031,0.188,0.008,-0.087,-0.029,-0.085,0.004
DVU2806,-0.002,0.007,0.169,-0.017,-0.098,-0.025,-0.071,0.011
DVU2807,0.009,-0.024,0.199,0.013,-0.073,0.019,-0.094,-0.02
DVU2808,-0.063,0.013,0.183,-0.044,-0.045,0.011,-0.021,0.021
DVU2809,-0.023,-0.022,0.247,0.048,-0.14,-0.032,-0.052,-0.008
DVU2810,0.009,-0.01,0.234,0.003,-0.09,0.005,-0.117,-0.011
DVU2811,0.054,0.027,0.244,0.036,-0.095,-0.012,-0.056,-0.027
DVU2813,-0.079,0.101,0.594,0.2,0.107,0.194,0.413,0.092
DVU2814,0.015,-0.114,0.203,0.007,-0.137,0.021,-0.078,0.089
DVU2815,-0.007,-0.019,0.211,-0.036,-0.076,0.031,-0.102,0.012
DVU2816,0,-0.009,0.221,0.015,-0.107,0.001,-0.084,-0.002
DVU2817,0.04,-0.001,0.237,0.002,-0.115,0.004,-0.096,-0.004
DVU2818,0.045,-0.04,0.232,0.011,-0.068,-0.009,-0.027,0.022
DVU2819,0.006,-0.03,0.317,0.027,-0.106,-0.001,-0.101,0.024
DVU2820,0.056,0.001,0.291,0.024,-0.164,-0.047,-0.074,0.041
DVU2821,0.115,0.088,0.299,0.031,-0.22,-0.1,-0.221,-0.013
DVU2822,0.022,0.004,0.211,0.01,-0.099,-0.013,-0.095,-0.014
DVU2823,-0.03,-0.009,0.205,0.051,-0.063,-0.032,-0.029,0.003
DVU2824,0.041,-0.005,0.212,0.032,-0.125,-0.021,-0.137,-0.002
DVU2825,0.017,0.001,0.268,0.067,-0.122,-0.041,-0.135,-0.027
DVU2826,0.058,0.085,0.5,0.304,-0.192,-0.119,-0.183,-0.133
DVU2827,0.067,0.049,0.29,0.045,-0.147,-0.042,-0.15,-0.031
DVU2828,0.019,0.011,0.188,-0.017,-0.092,0.007,-0.119,-0.016
DVU2829,0.049,-0.017,0.26,-0.002,-0.144,-0.017,-0.149,0.013
DVU2830,-0.037,0.051,0.261,0.054,-0.115,-0.002,-0.071,-0.051
DVU2831,-0.036,-0.049,0.151,-0.112,-0.054,0.128,-0.078,0.032
DVU2832,-0.002,0.005,0.218,0.009,-0.131,-0.014,-0.108,-0.021
DVU2833,0.026,0.01,0.336,0.061,-0.179,0.024,-0.176,-0.065
DVU2834,-0.003,0.021,0.261,0.036,-0.132,-0.04,-0.088,-0.024
DVU2835,0.073,0.006,0.371,0.074,-0.196,-0.023,-0.202,-0.034
DVU2836,0.115,0.149,0.43,0.093,-0.208,-0.121,-0.249,-0.097
DVU2837,0.013,0.006,0.299,0.02,-0.16,-0.022,-0.142,-0.051
DVU2838,0.169,0.055,0.587,0.188,-0.213,-0.073,-0.21,-0.11
DVU2839,0.143,0.109,0.488,0.083,-0.19,-0.01,-0.283,-0.076
DVU2840,0.115,0.09,0.539,0.199,-0.273,-0.137,-0.241,-0.127
DVU2841,0.022,-0.004,0.372,0.067,-0.14,-0.029,-0.085,0.006
DVU2842,0.052,0.064,0.378,0.036,-0.186,-0.056,-0.164,-0.064
DVU2843,0.067,0.066,0.374,0.048,-0.14,-0.062,-0.133,-0.039
DVU2844,0.052,0.104,0.363,0.049,-0.194,-0.129,-0.215,-0.073
DVU2845,0.043,0.115,0.347,0.132,-0.198,-0.125,-0.142,-0.069
DVU2846,0.189,0.19,0.68,0.242,-0.075,-0.059,-0.124,-0.066
DVU2847,0.016,-0.036,0.238,-0.066,-0.092,0.034,-0.076,0.045
DVU2848,0.007,-0.027,0.208,-0.046,-0.145,0.035,-0.111,0.018
DVU2849,0.027,0.074,0.277,0.013,-0.145,-0.047,-0.156,-0.022
DVU2850,0,-0.022,0.211,-0.031,-0.095,0.02,-0.087,0.034
DVU2851,-0.003,-0.034,0.211,-0.024,-0.081,0.015,-0.086,0.028
DVU2852,-0.017,0.011,0.144,-0.061,-0.045,0.019,-0.046,0.028
DVU2853,-0.032,-0.055,0.219,0.006,-0.059,0.018,-0.065,0.053
DVU2854,-0.007,-0.003,0.183,-0.029,-0.062,0.015,-0.065,0.003
DVU2855,-0.008,-0.04,0.211,-0.029,-0.074,0.025,-0.051,0.038
DVU2856,0,-0.027,0.191,-0.04,-0.081,0.051,-0.097,0.011
DVU2857,0.039,0.035,0.28,0.072,-0.054,0.045,0.013,0.068
DVU2858,0.009,-0.025,0.18,-0.029,-0.066,0.005,-0.078,0.044
DVU2859,-0.009,-0.013,0.204,-0.013,-0.091,0.011,-0.07,0.014
DVU2860,0.023,0.019,0.165,-0.033,-0.078,-0.012,-0.081,-0.001
DVU2861,-0.059,0.024,0.142,0.025,-0.058,-0.042,-0.028,0.016
DVU2862,-0.044,-0.016,0.164,-0.059,-0.074,0.029,-0.029,0.026
DVU2863,0.017,0.011,0.247,0.075,-0.131,-0.036,-0.103,-0.022
DVU2864,0.011,-0.033,0.155,-0.101,-0.108,0.066,-0.115,0.053
DVU2865,0.058,0.003,0.274,0.011,-0.185,-0.031,-0.127,0.003
DVU2866,-0.026,-0.035,0.197,-0.039,-0.109,0.054,-0.033,0.011
DVU2867,0.004,-0.021,0.268,0.01,-0.131,0.004,-0.103,0.028
DVU2868,0.031,0.071,0.196,-0.027,-0.178,-0.085,-0.154,0.007
DVU2869,0.037,-0.013,0.25,-0.006,-0.121,0.018,-0.121,-0.009
DVU2870,-0.019,0.001,0.19,0.004,-0.097,-0.007,-0.078,-0.021
DVU2871,-0.029,-0.024,0.239,-0.005,-0.067,0.047,-0.033,0.037
DVU2872,0.028,-0.006,0.245,-0.007,-0.125,-0.005,-0.1,0.014
DVU2873,0.109,0.01,0.295,-0.071,-0.208,-0.034,-0.212,0.028
DVU2874,0.06,0.061,0.369,0.048,-0.125,-0.025,-0.134,-0.054
DVU2875,0.096,0.202,0.453,0.154,-0.377,-0.19,-0.238,-0.174
DVU2876,0.007,0.016,0.279,0.031,-0.119,-0.035,-0.12,-0.008
DVU2877,0.023,0.014,0.273,-0.001,-0.16,-0.035,-0.131,-0.045
DVU2878,-0.013,0.019,0.225,-0.02,-0.102,-0.002,-0.077,-0.017
DVU2879,0.039,0.005,0.231,-0.032,-0.119,-0.007,-0.133,0.017
DVU2880,0.087,0.179,0.578,0.362,-0.113,-0.135,-0.087,-0.175
DVU2881,0.02,0.016,0.244,0.004,-0.142,-0.009,-0.122,-0.024
DVU2882,0,0.006,0.275,0.032,-0.112,-0.019,-0.125,0.007
DVU2883,-0.002,0.018,0.221,0.003,-0.098,-0.014,-0.086,-0.01
DVU2884,0.006,-0.011,0.231,-0.004,-0.099,0.003,-0.102,0.015
DVU2885,-0.002,0.008,0.195,-0.025,-0.08,0.015,-0.089,-0.002
DVU2886,0.003,-0.03,0.233,-0.026,-0.128,-0.018,-0.06,0.033
DVU2887,-0.005,-0.022,0.165,-0.006,-0.076,0.008,-0.074,0.018
DVU2888,-0.012,0.016,0.204,-0.016,-0.117,-0.019,-0.078,0.005
DVU2889,0.001,-0.054,0.182,-0.006,-0.1,0.044,-0.047,0.012
DVU2890,0.009,-0.012,0.209,0.018,-0.075,-0.014,-0.117,0.008
DVU2891,0.053,0.051,0.197,-0.028,-0.123,-0.009,-0.111,-0.023
DVU2892,0.016,0.019,0.237,0.005,-0.168,-0.031,-0.09,0.008
DVU2893,-0.005,-0.036,0.206,-0.067,-0.117,0.028,-0.117,0.031
DVU2894,0.038,-0.003,0.264,0.052,-0.132,-0.03,-0.122,0
DVU2895,0.038,0.017,0.206,0.02,-0.134,-0.03,-0.086,-0.001
DVU2896,0.023,-0.018,0.246,0.004,-0.101,0.003,-0.122,0.007
DVU2897,0,-0.034,0.195,-0.03,-0.071,0.035,-0.081,0.03
DVU2898,-0.013,-0.021,0.245,0,-0.09,-0.004,-0.105,-0.009
DVU2899,-0.022,-0.028,0.212,-0.022,-0.077,0.017,-0.077,0.024
DVU2900,-0.011,-0.047,0.188,-0.036,-0.055,0.032,-0.069,0.048
DVU2901,0.012,-0.009,0.203,-0.033,-0.101,0.008,-0.096,0.028
DVU2902,0,-0.042,0.19,-0.018,-0.095,0.024,-0.077,0.032
DVU2903,0.003,0.006,0.201,-0.027,-0.074,0.003,-0.077,0.011
DVU2904,0.056,0,0.233,0.026,-0.138,-0.018,-0.136,-0.019
DVU2905,-0.02,-0.014,0.238,0.016,-0.128,0.002,-0.043,0.007
DVU2906,0.01,-0.001,0.204,0.006,-0.088,0.007,-0.064,-0.017
DVU2907,0.008,0.031,0.211,0.03,-0.113,-0.058,-0.069,-0.042
DVU2908,-0.041,-0.015,0.203,-0.02,-0.048,0.027,-0.103,0.022
DVU2909,0.017,-0.009,0.231,-0.043,-0.135,0.002,-0.07,0.043
DVU2910,-0.05,-0.013,0.231,-0.072,-0.049,0.046,-0.096,0.046
DVU2911,-0.003,-0.04,0.194,-0.013,-0.128,-0.027,-0.075,0.049
DVU2912,0.044,0.009,0.431,0.113,-0.211,-0.112,-0.202,-0.07
DVU2913,0.017,0.042,0.228,0.032,-0.123,-0.049,-0.108,-0.022
DVU2914,0.077,0.013,0.256,0.043,-0.155,-0.024,-0.161,-0.043
DVU2915,-0.039,-0.066,0.126,-0.123,-0.014,0.079,-0.014,0.074
DVU2916,0.033,0.025,0.309,0.063,-0.145,-0.069,-0.109,0.005
DVU2917,0.066,0.016,0.282,0.017,-0.171,-0.013,-0.18,-0.024
DVU2918,-0.017,0.085,0.215,0.045,-0.048,-0.066,-0.047,-0.094
DVU2919,0.128,0.034,0.57,0.222,0.009,0.057,-0.016,0.068
DVU2920,0.045,0.026,0.264,0.055,-0.172,-0.057,-0.144,-0.061
DVU2921,0.041,-0.001,0.273,0.041,-0.174,-0.034,-0.188,-0.019
DVU2922,0.083,0.001,0.385,0.084,-0.247,-0.079,-0.243,0.015
DVU2923,0,0.001,0.27,0.045,-0.142,-0.005,-0.1,-0.061
DVU2924,0.071,0.071,0.27,0.041,-0.17,-0.037,-0.172,-0.072
DVU2925,0.081,0.036,0.337,0.032,-0.215,-0.049,-0.181,-0.025
DVU2926,0.041,0.106,0.294,-0.025,-0.229,-0.057,-0.137,-0.028
DVU2927,0.1,0.07,0.34,0.101,-0.251,-0.108,-0.24,-0.047
DVU2928,0.017,0.023,0.215,0.014,-0.123,-0.024,-0.105,-0.017
DVU2929,0.031,-0.003,0.214,0.025,-0.126,-0.011,-0.113,-0.012
DVU2930,0.085,0.059,0.288,0.052,-0.202,-0.099,-0.213,-0.061
DVU2931,0.023,0.027,0.232,0.019,-0.107,-0.03,-0.121,-0.017
DVU2932,-0.02,0.007,0.171,0.003,-0.047,-0.014,-0.044,0.048
DVU2933,0.025,0.011,0.285,0.025,-0.126,-0.019,-0.127,-0.013
DVU2934,0.051,-0.013,0.253,0.021,-0.119,-0.032,-0.139,-0.006
DVU2935,0.03,0.075,0.221,0.035,-0.102,-0.04,-0.17,-0.041
DVU2936,-0.048,0.03,0.221,0.029,-0.037,-0.06,-0.106,-0.082
DVU2937,0.028,0.016,0.288,0.034,-0.15,-0.02,-0.154,-0.006
DVU2938,0.037,0.002,0.226,0.015,-0.118,0.011,-0.124,-0.025
DVU2939,0.008,0.006,0.237,0.015,-0.099,-0.032,-0.092,0.005
DVU2940,0.156,0.06,0.568,0.221,0.032,0.075,0.015,0.119
DVU2941,-0.009,-0.026,0.134,-0.053,-0.054,0.034,-0.073,0.044
DVU2942,0.007,0.002,0.199,0.002,-0.066,0.024,-0.102,-0.023
DVU2943,0.059,-0.022,0.222,0.018,-0.125,-0.013,-0.119,-0.016
DVU2944,-0.01,0.023,0.242,0.062,-0.071,-0.027,-0.081,-0.039
DVU2945,0.046,0.047,0.269,0.057,-0.122,-0.071,-0.145,-0.049
DVU2946,0.071,0.04,0.307,0.021,-0.204,-0.023,-0.212,-0.067
DVU2947,0.035,-0.002,0.26,0.02,-0.137,-0.003,-0.125,-0.005
DVU2948,-0.009,0.009,0.2,0.001,-0.096,-0.01,-0.089,-0.003
DVU2949,0,-0.041,0.239,0.057,-0.109,-0.003,-0.085,0.017
DVU2951,0.049,0.012,0.265,0.018,-0.118,-0.026,-0.136,-0.009
DVU2952,-0.015,-0.018,0.254,-0.008,-0.114,0.013,-0.072,0.019
DVU2953,0.022,0.044,0.244,0.054,-0.125,-0.053,-0.1,-0.041
DVU2954,0.014,0.021,0.237,0.014,-0.101,-0.048,-0.088,0.015
DVU2955,0.026,0.012,0.392,0.156,-0.238,-0.109,-0.128,-0.006
DVU2956,0.018,0.076,0.378,0.101,-0.185,-0.089,-0.142,-0.076
DVU2957,0.004,0.157,0.399,0.04,0.034,0.1,0.092,0.027
DVU2958,0.029,0.011,0.28,0.059,-0.162,-0.055,-0.129,-0.015
DVU2959,0.009,0.018,0.178,-0.016,-0.077,0.003,-0.08,-0.019
DVU2960,0.008,0.012,0.215,-0.006,-0.1,-0.008,-0.076,-0.005
DVU2961,0.062,0.089,0.215,0.066,-0.135,-0.065,-0.135,-0.1
DVU2962,0.025,0,0.264,0.055,-0.106,-0.034,-0.103,-0.03
DVU2963,0.041,-0.035,0.184,-0.014,-0.115,0.023,-0.123,-0.004
DVU2964,0.046,-0.03,0.258,0.028,-0.101,0.022,-0.111,0.018
DVU2965,0.033,0.006,0.289,-0.033,-0.166,-0.094,-0.08,0.068
DVU2966,0.051,-0.033,0.22,-0.015,-0.127,0.002,-0.104,0.045
DVU2967,0.04,-0.024,0.222,-0.007,-0.119,0.004,-0.114,0.007
DVU2968,0.008,0.016,0.205,0.028,-0.077,-0.027,-0.064,-0.004
DVU2969,-0.019,0.019,0.201,0.028,-0.083,-0.028,-0.07,-0.019
