PseDNC_Xc1.AA,PseDNC_Xc1.AC,PseDNC_Xc1.AG,PseDNC_Xc1.AT,PseDNC_Xc1.CA,PseDNC_Xc1.CC,PseDNC_Xc1.CG,PseDNC_Xc1.CT,PseDNC_Xc1.GA,PseDNC_Xc1.GC,PseDNC_Xc1.GG,PseDNC_Xc1.GT,PseDNC_Xc1.TA,PseDNC_Xc1.TC,PseDNC_Xc1.TG,PseDNC_Xc1.TT,PseDNC_Xc2.lambda.1,PseDNC_Xc2.lambda.2,PseDNC_Xc2.lambda.3
DVU2876,0.028,0.05,0.041,0.034,0.058,0.074,0.086,0.044,0.051,0.095,0.073,0.034,0.017,0.043,0.052,0.026,0.079,0.059,0.059
DVU2877,0.053,0.045,0.065,0.029,0.055,0.06,0.07,0.044,0.076,0.087,0.065,0.035,0.009,0.037,0.062,0.021,0.073,0.054,0.058
DVU2878,0.026,0.051,0.037,0.034,0.05,0.058,0.079,0.053,0.059,0.085,0.084,0.04,0.012,0.046,0.069,0.024,0.078,0.059,0.057
DVU2879,0.025,0.041,0.04,0.02,0.053,0.085,0.086,0.048,0.039,0.105,0.085,0.045,0.009,0.042,0.063,0.022,0.076,0.058,0.057
DVU2880,0.055,0.055,0.018,0.079,0.073,0.037,0.055,0.031,0.055,0.061,0.049,0.031,0.024,0.043,0.073,0.043,0.091,0.056,0.07
DVU2881,0.032,0.046,0.048,0.029,0.048,0.067,0.088,0.052,0.063,0.09,0.062,0.041,0.012,0.052,0.059,0.023,0.076,0.058,0.056
DVU2882,0.017,0.057,0.024,0.032,0.062,0.101,0.095,0.054,0.044,0.094,0.065,0.027,0.008,0.06,0.046,0.025,0.076,0.057,0.055
DVU2883,0.024,0.058,0.029,0.016,0.048,0.093,0.108,0.051,0.05,0.1,0.066,0.04,0.006,0.048,0.052,0.021,0.076,0.059,0.053
DVU2884,0.03,0.058,0.044,0.022,0.055,0.093,0.096,0.047,0.055,0.093,0.06,0.036,0.015,0.046,0.044,0.015,0.077,0.057,0.057
DVU2885,0.019,0.047,0.032,0.027,0.058,0.093,0.096,0.052,0.042,0.105,0.07,0.037,0.005,0.054,0.056,0.02,0.076,0.06,0.052
DVU2886,0.021,0.057,0.031,0.022,0.061,0.086,0.096,0.043,0.037,0.093,0.074,0.048,0.011,0.051,0.052,0.022,0.08,0.056,0.059
DVU2887,0.013,0.049,0.022,0.025,0.053,0.076,0.095,0.064,0.038,0.103,0.089,0.04,0.006,0.06,0.064,0.018,0.077,0.059,0.051
DVU2888,0.015,0.043,0.028,0.027,0.042,0.066,0.094,0.048,0.047,0.098,0.093,0.052,0.01,0.043,0.074,0.025,0.079,0.058,0.058
DVU2889,0.007,0.027,0.016,0.031,0.035,0.075,0.099,0.056,0.029,0.106,0.097,0.058,0.009,0.058,0.078,0.027,0.08,0.06,0.052
DVU2890,0.024,0.067,0.018,0.021,0.046,0.088,0.11,0.05,0.05,0.094,0.082,0.038,0.01,0.045,0.053,0.011,0.079,0.058,0.057
DVU2891,0.035,0.084,0.04,0.033,0.086,0.071,0.081,0.056,0.054,0.073,0.036,0.025,0.015,0.065,0.033,0.017,0.08,0.058,0.058
DVU2892,0.03,0.053,0.052,0.024,0.063,0.083,0.088,0.04,0.056,0.082,0.055,0.049,0.01,0.056,0.047,0.024,0.076,0.056,0.057
DVU2893,0.026,0.068,0.036,0.04,0.068,0.058,0.104,0.026,0.07,0.092,0.079,0.028,0.006,0.038,0.049,0.015,0.082,0.057,0.057
DVU2894,0.036,0.057,0.042,0.029,0.06,0.085,0.094,0.043,0.062,0.087,0.068,0.032,0.006,0.053,0.045,0.016,0.074,0.057,0.055
DVU2895,0.035,0.084,0.052,0.016,0.068,0.065,0.095,0.035,0.084,0.076,0.084,0.024,0,0.038,0.038,0.024,0.071,0.052,0.055
DVU2896,0.034,0.062,0.043,0.022,0.066,0.101,0.091,0.045,0.049,0.096,0.063,0.027,0.012,0.044,0.038,0.016,0.075,0.059,0.055
DVU2897,0.019,0.051,0.026,0.024,0.057,0.1,0.103,0.046,0.036,0.111,0.068,0.039,0.009,0.044,0.057,0.015,0.081,0.057,0.057
DVU2898,0.028,0.061,0.047,0.017,0.059,0.09,0.096,0.052,0.053,0.093,0.07,0.029,0.013,0.052,0.033,0.025,0.074,0.057,0.051
DVU2899,0.021,0.052,0.027,0.031,0.052,0.089,0.08,0.06,0.044,0.095,0.073,0.034,0.014,0.045,0.066,0.023,0.078,0.06,0.056
DVU2900,0.018,0.06,0.024,0.018,0.055,0.105,0.111,0.05,0.041,0.106,0.065,0.036,0.007,0.049,0.048,0.016,0.078,0.055,0.057
DVU2901,0.028,0.06,0.036,0.018,0.057,0.088,0.103,0.058,0.05,0.101,0.061,0.032,0.006,0.058,0.044,0.013,0.075,0.055,0.058
DVU2902,0.022,0.063,0.027,0.024,0.058,0.102,0.107,0.04,0.049,0.095,0.07,0.038,0.006,0.049,0.047,0.014,0.078,0.057,0.055
DVU2903,0.026,0.066,0.036,0.032,0.067,0.077,0.095,0.047,0.052,0.092,0.046,0.034,0.014,0.051,0.048,0.017,0.082,0.059,0.058
DVU2904,0.035,0.053,0.039,0.03,0.065,0.084,0.091,0.051,0.05,0.092,0.059,0.033,0.007,0.062,0.045,0.017,0.075,0.056,0.057
DVU2905,0.013,0.036,0.023,0.027,0.036,0.073,0.11,0.036,0.04,0.098,0.108,0.059,0.011,0.047,0.065,0.022,0.08,0.057,0.058
DVU2906,0.019,0.056,0.029,0.023,0.053,0.07,0.104,0.039,0.046,0.097,0.093,0.046,0.01,0.042,0.056,0.021,0.08,0.055,0.06
DVU2907,0.018,0.046,0.028,0.034,0.041,0.085,0.09,0.046,0.056,0.077,0.082,0.056,0.011,0.054,0.07,0.015,0.077,0.059,0.056
DVU2908,0.009,0.051,0.02,0.031,0.062,0.09,0.078,0.061,0.03,0.116,0.083,0.029,0.011,0.034,0.076,0.024,0.08,0.057,0.058
DVU2909,0.025,0.072,0.035,0.029,0.064,0.109,0.076,0.047,0.051,0.066,0.06,0.039,0.019,0.049,0.047,0.016,0.079,0.057,0.06
DVU2910,0.015,0.05,0.023,0.031,0.052,0.07,0.097,0.062,0.043,0.098,0.082,0.035,0.009,0.063,0.055,0.028,0.077,0.059,0.053
DVU2911,0.026,0.043,0.041,0.022,0.05,0.058,0.092,0.038,0.05,0.097,0.09,0.058,0.007,0.039,0.072,0.02,0.078,0.057,0.059
DVU2912,0.063,0.06,0.052,0.037,0.071,0.082,0.06,0.052,0.049,0.075,0.037,0.026,0.026,0.049,0.041,0.022,0.078,0.062,0.057
DVU2913,0.023,0.048,0.031,0.029,0.058,0.081,0.094,0.056,0.044,0.093,0.056,0.044,0.006,0.068,0.054,0.026,0.077,0.058,0.053
DVU2914,0.042,0.056,0.054,0.029,0.07,0.081,0.094,0.038,0.057,0.089,0.051,0.035,0.011,0.057,0.034,0.013,0.076,0.059,0.055
DVU2915,0.01,0.029,0.049,0.024,0.068,0.127,0.093,0.029,0.029,0.151,0.063,0.034,0.01,0.01,0.068,0.005,0.082,0.056,0.062
DVU2916,0.027,0.058,0.032,0.032,0.06,0.095,0.091,0.05,0.05,0.08,0.048,0.035,0.011,0.063,0.043,0.036,0.076,0.057,0.055
DVU2917,0.037,0.055,0.031,0.039,0.063,0.085,0.097,0.043,0.051,0.088,0.05,0.03,0.011,0.06,0.041,0.023,0.078,0.059,0.057
DVU2918,0.023,0.063,0.03,0.053,0.083,0.067,0.07,0.027,0.037,0.08,0.07,0.04,0.027,0.037,0.057,0.023,0.09,0.059,0.065
DVU2919,0.021,0.024,0.019,0.03,0.04,0.064,0.058,0.064,0.012,0.08,0.069,0.069,0.022,0.058,0.082,0.091,0.078,0.056,0.062
DVU2920,0.042,0.056,0.04,0.032,0.06,0.075,0.093,0.042,0.054,0.063,0.045,0.056,0.014,0.075,0.04,0.022,0.078,0.061,0.051
DVU2921,0.08,0.08,0.07,0.021,0.07,0.048,0.064,0.043,0.07,0.064,0.021,0.043,0.032,0.032,0.043,0.016,0.082,0.06,0.06
DVU2922,0.053,0.033,0.053,0.036,0.053,0.066,0.066,0.056,0.066,0.059,0.069,0.046,0.003,0.083,0.053,0.033,0.065,0.054,0.052
DVU2923,0.044,0.049,0.052,0.041,0.056,0.062,0.08,0.031,0.066,0.044,0.074,0.052,0.018,0.074,0.032,0.038,0.072,0.06,0.056
DVU2924,0.06,0.037,0.058,0.037,0.066,0.091,0.056,0.045,0.05,0.078,0.056,0.039,0.014,0.052,0.054,0.025,0.072,0.061,0.049
DVU2925,0.058,0.042,0.046,0.031,0.058,0.101,0.082,0.038,0.05,0.072,0.054,0.047,0.012,0.065,0.04,0.022,0.072,0.061,0.05
DVU2926,0.049,0.039,0.056,0.027,0.058,0.074,0.072,0.056,0.055,0.085,0.044,0.044,0.009,0.063,0.055,0.031,0.071,0.059,0.052
DVU2927,0.083,0.028,0.067,0.035,0.05,0.081,0.076,0.048,0.074,0.076,0.044,0.033,0.004,0.07,0.041,0.024,0.065,0.059,0.043
DVU2928,0.038,0.054,0.044,0.032,0.057,0.077,0.095,0.043,0.063,0.074,0.053,0.044,0.011,0.066,0.042,0.02,0.076,0.058,0.055
DVU2929,0.04,0.058,0.045,0.031,0.061,0.077,0.094,0.041,0.061,0.073,0.05,0.046,0.012,0.066,0.041,0.012,0.077,0.059,0.055
DVU2930,0.041,0.063,0.026,0.031,0.055,0.076,0.092,0.057,0.059,0.076,0.046,0.039,0.006,0.066,0.055,0.024,0.076,0.054,0.058
DVU2931,0.032,0.048,0.038,0.031,0.063,0.066,0.091,0.049,0.047,0.091,0.071,0.041,0.008,0.063,0.05,0.021,0.076,0.057,0.056
DVU2932,0.016,0.051,0.036,0.027,0.061,0.09,0.089,0.05,0.048,0.096,0.073,0.037,0.006,0.053,0.055,0.027,0.075,0.058,0.052
DVU2933,0.023,0.062,0.029,0.034,0.059,0.085,0.103,0.044,0.053,0.092,0.061,0.03,0.012,0.052,0.044,0.02,0.08,0.058,0.058
DVU2934,0.034,0.057,0.041,0.033,0.059,0.08,0.1,0.042,0.062,0.092,0.06,0.028,0.009,0.053,0.042,0.021,0.076,0.057,0.055
DVU2935,0.027,0.064,0.031,0.024,0.049,0.091,0.092,0.055,0.055,0.094,0.071,0.031,0.015,0.039,0.056,0.014,0.078,0.056,0.058
DVU2936,0.022,0.011,0.028,0.061,0.05,0.05,0.072,0.033,0.045,0.078,0.05,0.072,0.011,0.067,0.095,0.05,0.085,0.064,0.055
DVU2937,0.042,0.06,0.049,0.035,0.069,0.073,0.08,0.046,0.061,0.085,0.06,0.025,0.014,0.049,0.042,0.017,0.076,0.059,0.057
DVU2938,0.035,0.061,0.045,0.028,0.07,0.08,0.079,0.05,0.047,0.079,0.07,0.035,0.017,0.059,0.037,0.017,0.077,0.059,0.055
DVU2939,0.016,0.05,0.03,0.025,0.048,0.091,0.101,0.054,0.047,0.11,0.083,0.031,0.01,0.043,0.057,0.015,0.077,0.057,0.056
DVU2940,0.051,0.042,0.06,0.045,0.066,0.06,0.084,0.027,0.063,0.096,0.054,0.024,0.018,0.039,0.039,0.039,0.078,0.058,0.059
DVU2941,0.021,0.054,0.038,0.027,0.056,0.072,0.091,0.046,0.043,0.078,0.067,0.062,0.016,0.062,0.056,0.013,0.082,0.061,0.056
DVU2942,0.028,0.051,0.038,0.037,0.063,0.088,0.099,0.048,0.055,0.092,0.048,0.031,0.008,0.068,0.041,0.016,0.076,0.058,0.055
DVU2943,0.041,0.058,0.045,0.026,0.061,0.07,0.083,0.049,0.052,0.074,0.072,0.045,0.014,0.061,0.045,0.016,0.076,0.059,0.055
DVU2944,0.026,0.064,0.041,0.027,0.063,0.083,0.093,0.043,0.05,0.09,0.06,0.036,0.019,0.046,0.042,0.021,0.081,0.057,0.059
DVU2945,0.032,0.06,0.03,0.029,0.058,0.096,0.098,0.048,0.053,0.087,0.058,0.03,0.008,0.057,0.044,0.025,0.075,0.057,0.053
DVU2946,0.044,0.044,0.071,0.024,0.057,0.057,0.091,0.03,0.067,0.098,0.077,0.04,0.013,0.037,0.044,0.02,0.076,0.057,0.051
DVU2947,0.038,0.06,0.043,0.028,0.062,0.065,0.083,0.055,0.051,0.083,0.063,0.035,0.018,0.056,0.044,0.02,0.078,0.057,0.059
DVU2948,0.031,0.077,0.045,0.03,0.082,0.061,0.088,0.047,0.058,0.091,0.058,0.023,0.012,0.048,0.039,0.015,0.08,0.062,0.052
DVU2949,0.027,0.037,0.021,0.046,0.053,0.064,0.073,0.073,0.025,0.066,0.064,0.046,0.023,0.096,0.046,0.048,0.077,0.06,0.055
DVU2951,0.037,0.063,0.033,0.029,0.053,0.081,0.101,0.047,0.054,0.081,0.047,0.038,0.018,0.057,0.039,0.024,0.079,0.058,0.06
DVU2952,0.017,0.037,0.022,0.037,0.048,0.052,0.07,0.063,0.027,0.099,0.094,0.052,0.021,0.045,0.085,0.028,0.084,0.061,0.057
DVU2953,0.023,0.059,0.035,0.027,0.059,0.09,0.093,0.051,0.048,0.091,0.061,0.036,0.013,0.053,0.047,0.024,0.078,0.055,0.058
DVU2954,0.021,0.062,0.027,0.036,0.065,0.077,0.085,0.055,0.044,0.085,0.063,0.034,0.016,0.057,0.051,0.025,0.081,0.058,0.058
DVU2955,0.035,0.012,0.035,0.023,0.035,0.075,0.064,0.052,0.029,0.081,0.081,0.075,0.006,0.058,0.093,0.075,0.071,0.055,0.047
DVU2956,0.034,0.031,0.053,0.031,0.05,0.06,0.084,0.041,0.054,0.09,0.085,0.046,0.01,0.054,0.053,0.042,0.073,0.056,0.055
DVU2957,0.069,0.063,0.04,0.046,0.057,0.034,0.052,0.023,0.063,0.029,0.052,0.057,0.029,0.04,0.057,0.092,0.08,0.061,0.057
DVU2958,0.024,0.033,0.025,0.031,0.061,0.099,0.078,0.069,0.022,0.091,0.065,0.046,0.007,0.083,0.056,0.028,0.073,0.06,0.05
DVU2959,0.013,0.046,0.027,0.04,0.081,0.044,0.067,0.069,0.017,0.094,0.077,0.044,0.013,0.077,0.064,0.025,0.083,0.059,0.057
DVU2960,0.024,0.048,0.041,0.024,0.058,0.097,0.092,0.046,0.047,0.1,0.067,0.038,0.009,0.047,0.052,0.021,0.075,0.056,0.057
DVU2961,0.021,0.052,0.045,0.038,0.054,0.068,0.092,0.049,0.071,0.08,0.063,0.038,0.009,0.063,0.052,0.021,0.076,0.057,0.05
DVU2962,0.03,0.059,0.042,0.032,0.07,0.067,0.091,0.05,0.051,0.082,0.058,0.035,0.011,0.071,0.035,0.028,0.076,0.06,0.052
DVU2963,0.027,0.061,0.042,0.029,0.061,0.067,0.082,0.05,0.061,0.088,0.078,0.034,0.01,0.044,0.059,0.017,0.077,0.056,0.056
DVU2964,0.027,0.052,0.041,0.027,0.05,0.065,0.098,0.05,0.058,0.098,0.073,0.033,0.01,0.049,0.052,0.027,0.076,0.055,0.059
DVU2965,0.03,0.035,0.046,0.027,0.041,0.089,0.084,0.03,0.051,0.084,0.07,0.059,0.014,0.035,0.068,0.046,0.077,0.057,0.057
DVU2966,0.041,0.055,0.055,0.032,0.055,0.069,0.089,0.037,0.069,0.078,0.068,0.039,0.016,0.048,0.045,0.012,0.077,0.056,0.056
DVU2967,0.029,0.055,0.03,0.03,0.05,0.068,0.102,0.05,0.06,0.094,0.065,0.04,0.005,0.053,0.061,0.016,0.078,0.057,0.057
DVU2968,0.022,0.045,0.039,0.032,0.053,0.054,0.09,0.043,0.053,0.094,0.086,0.047,0.009,0.047,0.066,0.026,0.079,0.058,0.056
DVU2969,0.023,0.05,0.039,0.033,0.056,0.075,0.098,0.038,0.053,0.09,0.073,0.045,0.012,0.052,0.052,0.017,0.08,0.058,0.058
DVU2970,0.025,0.058,0.035,0.023,0.055,0.085,0.101,0.047,0.052,0.096,0.07,0.038,0.009,0.05,0.05,0.017,0.077,0.058,0.055
DVU2971,0.026,0.054,0.029,0.029,0.055,0.066,0.081,0.059,0.044,0.088,0.058,0.051,0.014,0.053,0.072,0.024,0.081,0.058,0.058
DVU2972,0.026,0.047,0.028,0.035,0.054,0.051,0.104,0.036,0.05,0.089,0.085,0.047,0.005,0.058,0.055,0.036,0.079,0.058,0.056
DVU2973,0.06,0.042,0.057,0.033,0.045,0.06,0.086,0.039,0.072,0.06,0.069,0.048,0.015,0.069,0.036,0.033,0.07,0.056,0.054
DVU2974,0.023,0.046,0.023,0.032,0.046,0.073,0.091,0.027,0.046,0.078,0.11,0.05,0.009,0.041,0.059,0.064,0.076,0.057,0.05
DVU2975,0.014,0.044,0.027,0.026,0.039,0.084,0.089,0.052,0.042,0.087,0.093,0.048,0.016,0.049,0.061,0.037,0.076,0.058,0.056
DVU2976,0.028,0.044,0.04,0.03,0.049,0.072,0.096,0.048,0.054,0.096,0.067,0.043,0.012,0.052,0.057,0.02,0.077,0.058,0.058
DVU2977,0.005,0.052,0.028,0.019,0.047,0.094,0.061,0.085,0.024,0.099,0.061,0.042,0.024,0.042,0.08,0.038,0.08,0.061,0.057
DVU2978,0.021,0.067,0.028,0.023,0.058,0.095,0.113,0.051,0.051,0.095,0.051,0.027,0.009,0.06,0.032,0.029,0.077,0.057,0.056
DVU2979,0.027,0.055,0.023,0.036,0.06,0.08,0.094,0.047,0.042,0.08,0.065,0.044,0.011,0.065,0.05,0.023,0.078,0.06,0.058
DVU2980,0.024,0.045,0.029,0.028,0.056,0.081,0.074,0.071,0.027,0.077,0.055,0.051,0.018,0.079,0.053,0.041,0.077,0.056,0.057
DVU2981,0.033,0.064,0.041,0.029,0.071,0.08,0.097,0.034,0.052,0.089,0.062,0.038,0.011,0.048,0.042,0.016,0.08,0.059,0.056
DVU2982,0.022,0.061,0.029,0.025,0.062,0.08,0.103,0.045,0.046,0.096,0.078,0.04,0.008,0.053,0.05,0.011,0.079,0.059,0.054
DVU2983,0.03,0.055,0.024,0.044,0.062,0.055,0.106,0.035,0.046,0.097,0.078,0.035,0.014,0.051,0.049,0.016,0.085,0.061,0.057
DVU2984,0.031,0.059,0.03,0.022,0.055,0.074,0.103,0.048,0.046,0.104,0.066,0.038,0.011,0.043,0.054,0.02,0.08,0.055,0.059
DVU2985,0.023,0.056,0.026,0.029,0.056,0.08,0.107,0.044,0.046,0.098,0.073,0.041,0.008,0.053,0.053,0.016,0.08,0.059,0.055
DVU2986,0.015,0.046,0.029,0.031,0.029,0.044,0.101,0.055,0.057,0.082,0.08,0.052,0.017,0.057,0.063,0.048,0.078,0.06,0.056
DVU2987,0.013,0.04,0.035,0.038,0.048,0.043,0.081,0.038,0.062,0.086,0.07,0.065,0.003,0.04,0.097,0.046,0.081,0.06,0.054
DVU2988,0.029,0.045,0.051,0.032,0.05,0.056,0.108,0.033,0.077,0.094,0.071,0.04,0.001,0.051,0.053,0.021,0.076,0.052,0.059
DVU2989,0.017,0.061,0.036,0.022,0.063,0.087,0.096,0.053,0.047,0.104,0.084,0.022,0.008,0.048,0.041,0.026,0.075,0.056,0.054
DVU2990,0.022,0.057,0.029,0.028,0.057,0.088,0.098,0.048,0.045,0.097,0.073,0.035,0.011,0.051,0.049,0.018,0.078,0.056,0.058
DVU2991,0.029,0.07,0.036,0.037,0.082,0.088,0.074,0.047,0.046,0.079,0.047,0.03,0.016,0.054,0.045,0.021,0.081,0.057,0.06
DVU2992,0.029,0.065,0.022,0.029,0.062,0.088,0.09,0.06,0.042,0.097,0.051,0.029,0.012,0.051,0.056,0.018,0.08,0.059,0.058
DVU2993,0.014,0.059,0.023,0.028,0.057,0.098,0.104,0.051,0.045,0.104,0.058,0.033,0.009,0.049,0.055,0.02,0.08,0.057,0.056
DVU2994,0.024,0.059,0.027,0.023,0.047,0.09,0.109,0.054,0.05,0.11,0.049,0.031,0.012,0.042,0.054,0.025,0.079,0.058,0.056
DVU2995,0.012,0.049,0.03,0.026,0.048,0.07,0.104,0.048,0.044,0.106,0.076,0.045,0.013,0.045,0.06,0.027,0.081,0.057,0.058
DVU2996,0.011,0.041,0.032,0.02,0.044,0.067,0.105,0.039,0.041,0.101,0.089,0.062,0.008,0.046,0.067,0.034,0.08,0.056,0.055
DVU2997,0.012,0.051,0.023,0.033,0.047,0.076,0.094,0.056,0.044,0.106,0.073,0.039,0.015,0.039,0.073,0.016,0.083,0.058,0.06
DVU2998,0.015,0.05,0.03,0.023,0.048,0.073,0.098,0.046,0.042,0.099,0.092,0.048,0.013,0.043,0.061,0.022,0.08,0.057,0.058
DVU2999,0.009,0.052,0.038,0.021,0.051,0.064,0.103,0.037,0.052,0.097,0.1,0.055,0.009,0.042,0.062,0.019,0.08,0.058,0.055
DVU3000,0.014,0.039,0.022,0.026,0.033,0.072,0.106,0.054,0.045,0.108,0.086,0.047,0.01,0.045,0.071,0.028,0.079,0.057,0.057
DVU3001,0.006,0.05,0.029,0.03,0.047,0.075,0.108,0.047,0.047,0.102,0.068,0.047,0.015,0.05,0.059,0.017,0.084,0.057,0.061
DVU3002,0.024,0.052,0.032,0.029,0.049,0.065,0.099,0.051,0.052,0.097,0.078,0.037,0.013,0.05,0.054,0.025,0.079,0.057,0.058
DVU3003,0.03,0.062,0.037,0.035,0.061,0.064,0.096,0.05,0.057,0.094,0.053,0.028,0.016,0.05,0.047,0.022,0.08,0.06,0.059
DVU3004,0.029,0.06,0.032,0.027,0.064,0.085,0.098,0.046,0.048,0.093,0.056,0.038,0.006,0.056,0.049,0.02,0.077,0.059,0.055
DVU3005,0.027,0.057,0.029,0.027,0.051,0.084,0.103,0.048,0.048,0.091,0.074,0.034,0.014,0.054,0.042,0.023,0.078,0.059,0.056
DVU3006,0.017,0.058,0.027,0.027,0.05,0.089,0.109,0.045,0.053,0.096,0.069,0.034,0.01,0.051,0.046,0.029,0.077,0.056,0.057
DVU3007,0.014,0.061,0.027,0.027,0.065,0.088,0.107,0.046,0.039,0.109,0.066,0.032,0.011,0.048,0.046,0.018,0.082,0.057,0.056
DVU3008,0.019,0.053,0.027,0.03,0.059,0.101,0.11,0.047,0.047,0.114,0.063,0.024,0.005,0.047,0.048,0.015,0.078,0.057,0.056
DVU3009,0.028,0.066,0.027,0.026,0.064,0.089,0.101,0.051,0.048,0.101,0.057,0.027,0.007,0.049,0.048,0.019,0.078,0.056,0.057
DVU3010,0.016,0.055,0.033,0.031,0.065,0.091,0.104,0.042,0.042,0.104,0.059,0.035,0.012,0.052,0.044,0.018,0.082,0.055,0.06
DVU3011,0.018,0.054,0.034,0.022,0.053,0.067,0.099,0.054,0.046,0.106,0.071,0.039,0.013,0.046,0.056,0.027,0.08,0.055,0.06
DVU3012,0.017,0.057,0.023,0.025,0.055,0.098,0.094,0.06,0.036,0.101,0.071,0.03,0.014,0.051,0.05,0.027,0.077,0.058,0.056
DVU3013,0.025,0.053,0.035,0.033,0.065,0.078,0.092,0.05,0.046,0.101,0.069,0.03,0.009,0.053,0.051,0.015,0.078,0.059,0.055
DVU3014,0.019,0.058,0.026,0.025,0.054,0.089,0.109,0.055,0.044,0.105,0.063,0.031,0.009,0.055,0.046,0.021,0.078,0.056,0.057
DVU3015,0.026,0.057,0.028,0.027,0.047,0.067,0.091,0.058,0.048,0.087,0.07,0.037,0.017,0.053,0.053,0.04,0.077,0.056,0.062
DVU3016,0.038,0.042,0.041,0.057,0.054,0.046,0.057,0.049,0.058,0.06,0.043,0.048,0.028,0.058,0.068,0.05,0.082,0.06,0.061
DVU3017,0.029,0.056,0.03,0.024,0.044,0.061,0.1,0.046,0.047,0.093,0.09,0.045,0.018,0.041,0.056,0.022,0.081,0.059,0.058
DVU3018,0.028,0.055,0.041,0.03,0.057,0.062,0.089,0.05,0.055,0.087,0.059,0.045,0.014,0.053,0.057,0.023,0.08,0.056,0.059
DVU3019,0.02,0.051,0.032,0.03,0.054,0.066,0.101,0.049,0.047,0.091,0.068,0.044,0.012,0.062,0.05,0.027,0.079,0.058,0.057
DVU3020,0.038,0.062,0.049,0.015,0.049,0.049,0.102,0.042,0.06,0.086,0.075,0.046,0.015,0.044,0.044,0.038,0.078,0.056,0.053
DVU3021,0.012,0.037,0.029,0.031,0.048,0.073,0.093,0.039,0.039,0.097,0.092,0.06,0.009,0.047,0.074,0.022,0.081,0.058,0.057
DVU3022,0.031,0.059,0.034,0.033,0.067,0.081,0.09,0.049,0.049,0.086,0.06,0.034,0.009,0.062,0.045,0.02,0.077,0.058,0.056
DVU3023,0.036,0.057,0.042,0.025,0.065,0.079,0.086,0.051,0.05,0.089,0.061,0.034,0.009,0.057,0.045,0.026,0.075,0.058,0.053
DVU3024,0.073,0.044,0.039,0.029,0.073,0.083,0.078,0.039,0.034,0.093,0.059,0.024,0.01,0.054,0.034,0.049,0.073,0.054,0.056
DVU3025,0.04,0.055,0.042,0.026,0.059,0.089,0.091,0.048,0.054,0.086,0.052,0.039,0.011,0.057,0.045,0.016,0.076,0.059,0.054
DVU3026,0.021,0.033,0.027,0.036,0.061,0.09,0.08,0.064,0.025,0.089,0.059,0.05,0.009,0.083,0.058,0.028,0.076,0.06,0.053
DVU3027,0.04,0.056,0.046,0.026,0.068,0.094,0.098,0.038,0.052,0.086,0.045,0.042,0.008,0.062,0.036,0.016,0.076,0.06,0.051
DVU3028,0.035,0.049,0.044,0.031,0.056,0.072,0.079,0.053,0.058,0.083,0.06,0.044,0.009,0.056,0.063,0.019,0.076,0.058,0.056
DVU3029,0.036,0.059,0.041,0.032,0.071,0.081,0.094,0.046,0.051,0.086,0.046,0.037,0.01,0.066,0.039,0.011,0.078,0.06,0.054
DVU3030,0.037,0.059,0.042,0.031,0.065,0.077,0.095,0.042,0.055,0.083,0.047,0.043,0.012,0.06,0.045,0.013,0.08,0.059,0.055
DVU3031,0.028,0.063,0.029,0.024,0.056,0.074,0.114,0.044,0.048,0.094,0.066,0.043,0.012,0.057,0.043,0.01,0.081,0.058,0.057
DVU3032,0.043,0.045,0.056,0.035,0.056,0.078,0.083,0.053,0.069,0.089,0.041,0.032,0.012,0.057,0.052,0.014,0.075,0.056,0.055
DVU3033,0.042,0.052,0.047,0.029,0.066,0.084,0.088,0.042,0.054,0.093,0.048,0.04,0.007,0.051,0.052,0.015,0.077,0.059,0.054
DVU3034,0.015,0.046,0.046,0.084,0.084,0.038,0.038,0.023,0.061,0.061,0.038,0.054,0.031,0.038,0.092,0.023,0.095,0.067,0.065
DVU3035,0.039,0.059,0.05,0.03,0.075,0.068,0.096,0.032,0.057,0.093,0.064,0.034,0.008,0.05,0.038,0.014,0.078,0.061,0.053
DVU3036,0.009,0.033,0.025,0.026,0.039,0.076,0.096,0.047,0.04,0.107,0.091,0.059,0.006,0.043,0.083,0.028,0.079,0.056,0.058
DVU3037,0.023,0.052,0.037,0.03,0.04,0.061,0.104,0.043,0.065,0.092,0.081,0.039,0.014,0.043,0.055,0.027,0.078,0.056,0.06
DVU3038,0.023,0.016,0.016,0.078,0.07,0.062,0.039,0.039,0.016,0.062,0.093,0.031,0.023,0.07,0.055,0.117,0.074,0.063,0.054
DVU3039,0.024,0.036,0.032,0.039,0.041,0.062,0.089,0.044,0.053,0.092,0.08,0.05,0.011,0.047,0.076,0.029,0.079,0.057,0.058
DVU3040,0.027,0.038,0.017,0.027,0.038,0.045,0.086,0.062,0.021,0.096,0.089,0.062,0.024,0.051,0.075,0.041,0.084,0.058,0.059
DVU3041,0.029,0.038,0.061,0.038,0.081,0.09,0.067,0.049,0.041,0.107,0.067,0.02,0.014,0.052,0.041,0.02,0.075,0.06,0.051
DVU3042,0.027,0.055,0.031,0.034,0.048,0.075,0.096,0.069,0.062,0.082,0.027,0.038,0.01,0.075,0.055,0.024,0.077,0.058,0.056
DVU3043,0.015,0.073,0.018,0.032,0.065,0.091,0.1,0.047,0.044,0.099,0.055,0.03,0.014,0.039,0.056,0.019,0.085,0.058,0.06
