DCC_Twist.Tilt.lag.1,DCC_Twist.Tilt.lag.2,DCC_Tilt.Twist.lag.1,DCC_Tilt.Twist.lag.2
DVU1695,-0.35,-0.02,-0.299,-0.01
DVU1696,-0.297,0.064,-0.248,0.047
DVU1697,-0.31,-0.001,-0.265,-0.025
DVU1698,-0.339,0.069,-0.331,0.065
DVU1699,-0.421,0.035,-0.209,-0.159
DVU1700,-0.247,0.016,-0.268,0.029
DVU1701,-0.303,0.067,-0.369,0.055
DVU4024,-0.334,-0.017,-0.282,-0.028
DVU1702,-0.316,0.032,-0.312,0.104
DVU1703,-0.252,-0.024,-0.284,0.018
DVU1704,-0.258,-0.025,-0.319,0.002
DVU1705,-0.287,-0.047,-0.218,-0.028
DVU1707,-0.274,0.039,-0.261,0.089
DVU1708,-0.252,-0.036,-0.212,-0.038
DVU1709,-0.251,0.023,-0.231,0.001
DVU1710,-0.225,0.015,-0.322,-0.003
DVU1711,-0.126,-0.013,-0.227,0.022
DVU1712,-0.274,0.012,-0.235,0.003
DVU1713,-0.244,-0.058,-0.235,-0.018
DVU1714,-0.319,0.029,-0.333,0.039
DVU1715,-0.378,0.05,-0.285,0.031
DVU1716,-0.349,0.02,-0.262,-0.044
DVU1717,-0.279,-0.014,-0.345,0.027
DVU1718,-0.259,-0.032,-0.253,-0.035
DVU1719,-0.214,-0.027,-0.198,-0.07
DVU1720,-0.315,0.054,-0.199,0.002
DVU1721,-0.305,0.041,-0.233,0
DVU1722,-0.239,0.009,-0.235,0.018
DVU1723,-0.311,0.026,-0.374,0.085
DVU1724,-0.315,0.009,-0.277,-0.024
DVU1725,-0.331,0.062,-0.265,0.007
DVU1726,-0.3,-0.024,-0.228,-0.027
DVU1727,-0.307,-0.024,-0.256,0.009
DVU1728,-0.348,0.048,-0.312,0.016
DVU1729,-0.292,0.043,-0.278,-0.095
DVU1730,-0.203,0.028,-0.307,0.026
DVU1731,-0.265,0.039,-0.239,0.022
DVU1732,-0.263,0.058,-0.32,0.099
DVU1733,-0.301,0.044,-0.206,-0.033
DVU1734,-0.306,-0.041,-0.29,-0.004
DVU1735,-0.202,0.165,-0.313,0.166
DVU1736,-0.188,0.022,-0.232,-0.005
DVU1737,-0.437,0.099,-0.24,0.024
DVU1738,-0.334,0.094,-0.294,0.049
DVU1740,-0.352,0.051,-0.219,0.032
DVU1741,-0.329,0.067,-0.193,0.042
DVU1742,-0.279,-0.032,-0.407,0.004
DVU1743,-0.374,0.072,-0.279,0.083
DVU1744,-0.226,-0.029,-0.265,0.026
DVU1745,-0.23,-0.022,-0.287,-0.004
DVU1746,-0.258,0.027,-0.327,0.041
DVU1747,-0.24,-0.022,-0.281,0.013
DVU1748,-0.336,0.034,-0.331,0.07
DVU1749,-0.32,0.037,-0.323,0.039
DVU1750,-0.267,0.009,-0.322,0.04
DVU1751,-0.311,0.008,-0.36,0.14
DVU1752,-0.318,0.054,-0.266,0.057
DVU1753,-0.34,0.087,-0.353,0.165
DVU1754,-0.282,0.066,-0.309,0.022
DVU1755,-0.268,0,-0.315,0.068
DVU1756,-0.298,0.075,-0.356,0.026
DVU1757,-0.36,0.04,-0.289,0.007
DVU1758,-0.234,-0.018,-0.304,-0.009
DVU1759,-0.25,0.009,-0.211,-0.014
DVU1760,-0.232,-0.038,-0.297,0.051
DVU1761,-0.402,-0.082,-0.275,-0.057
DVU1762,-0.206,-0.067,-0.258,0.022
DVU1763,-0.365,0.023,-0.156,0.001
DVU1764,-0.359,-0.104,-0.264,-0.125
DVU1765,-0.284,-0.007,-0.311,0.029
DVU1766,-0.287,0.022,-0.307,0.038
DVU1767,-0.328,0.05,-0.316,0.059
DVU1768,-0.255,0,-0.295,0.007
DVU1769,-0.266,-0.039,-0.308,-0.001
DVU1770,-0.207,0.01,-0.288,0.03
DVU1771,-0.304,0.035,-0.281,0.038
DVU1772,-0.282,0.013,-0.323,0.032
DVU1773,-0.323,0.101,-0.303,0.144
DVU1774,-0.247,0.015,-0.293,0.019
DVU1775,-0.299,0.033,-0.288,0.022
DVU1776,-0.531,0.177,-0.385,0.101
DVU1777,-0.254,-0.006,-0.266,0.026
DVU1778,-0.283,-0.003,-0.274,0.003
DVU1779,-0.407,0.06,-0.321,0.059
DVU1780,-0.371,0.073,-0.322,0.076
DVU1781,-0.335,0.013,-0.3,0.044
DVU1782,-0.277,0.03,-0.264,0.006
DVU1783,-0.313,-0.017,-0.276,0.029
DVU1784,-0.28,-0.03,-0.28,0.011
DVU1785,-0.241,-0.013,-0.308,-0.008
DVU1786,-0.275,0.026,-0.293,0.014
DVU1787,-0.32,0.017,-0.286,-0.003
DVU1788,-0.188,-0.073,-0.228,-0.02
DVU1789,-0.281,0,-0.233,0.008
DVU1790,-0.252,0.026,-0.237,0.002
DVU1791,-0.202,-0.06,-0.234,0.003
DVU1792,-0.219,-0.011,-0.16,-0.024
DVU1793,-0.267,0.029,-0.179,0.006
DVU1794,-0.286,-0.006,-0.316,0.058
DVU1795,-0.194,-0.065,-0.151,-0.135
DVU1796,-0.183,0.021,-0.173,-0.025
DVU1797,-0.232,0.003,-0.283,0.026
DVU1798,-0.349,0.029,-0.33,0.029
DVU1799,-0.269,0.001,-0.269,0.009
DVU4005,-0.291,0.014,-0.256,0.011
DVU1801,-0.287,0.024,-0.279,0.041
DVU1802,-0.288,0,-0.316,-0.007
DVU1803,-0.309,0.026,-0.279,0.038
DVU1804,-0.324,0.021,-0.26,-0.008
DVU1805,-0.261,0.005,-0.3,0.066
DVU1806,-0.258,-0.02,-0.239,-0.036
DVU1807,-0.246,0.035,-0.325,0.066
DVU1808,-0.32,0.024,-0.317,0.04
DVU1809,-0.244,-0.056,-0.336,0.029
DVU1810,-0.395,0.073,-0.252,0.043
DVU1811,-0.378,0.062,-0.316,0.02
DVU1812,-0.318,0.038,-0.286,0.037
DVU1813,-0.4,0.052,-0.331,0.014
DVU1814,-0.36,0.013,-0.316,0.004
DVU1815,-0.302,0.008,-0.334,0.035
DVU1816,-0.314,0.03,-0.281,-0.034
DVU1817,-0.319,0.058,-0.25,-0.005
DVU1818,-0.285,-0.043,-0.305,-0.05
DVU1819,-0.231,-0.042,-0.284,-0.014
DVU1820,-0.227,-0.014,-0.276,-0.06
DVU1821,-0.371,0.008,-0.307,0.022
DVU1822,-0.311,0.042,-0.305,0.04
DVU1823,-0.286,0.009,-0.305,0.002
DVU1824,-0.272,-0.039,-0.318,0.025
DVU1825,-0.316,0.032,-0.289,0.061
DVU1826,-0.23,0.002,-0.227,-0.09
DVU1827,-0.312,0.041,-0.294,-0.024
DVU1828,-0.281,-0.001,-0.308,0.023
DVU1829,-0.398,0.056,-0.339,0.039
DVU1830,-0.287,0.01,-0.304,0.052
DVU1832,-0.225,-0.037,-0.227,0.067
DVU1833,-0.261,-0.003,-0.275,0.002
DVU1834,-0.259,-0.016,-0.277,-0.031
DVU1835,-0.298,0.013,-0.276,0
DVU1836,-0.274,0.028,-0.277,0.032
DVU1837,-0.321,0.074,-0.337,0.064
DVU1838,-0.242,-0.057,-0.227,-0.062
DVU1839,-0.278,-0.051,-0.266,-0.054
DVU1840,-0.292,0.009,-0.309,0.043
DVU1841,-0.291,0.022,-0.312,0.003
DVU1842,-0.247,-0.025,-0.28,-0.032
DVU1843,-0.237,0.029,-0.193,0
DVU1844,-0.212,-0.036,-0.205,-0.019
DVU1845,-0.293,0.021,-0.239,0.012
DVU1846,-0.27,-0.006,-0.259,-0.031
DVU1847,-0.243,-0.011,-0.263,-0.04
DVU1848,-0.28,0.02,-0.245,0.04
DVU1849,-0.275,0.033,-0.291,0.026
DVU1850,-0.266,-0.01,-0.296,0.022
DVU1851,-0.238,-0.03,-0.251,-0.028
DVU1852,-0.33,0.031,-0.341,0.057
DVU1853,-0.323,0.001,-0.389,0.086
DVU1854,-0.235,0.006,-0.243,-0.045
DVU1855,-0.25,0.013,-0.288,-0.026
DVU1856,-0.244,0.056,-0.297,0.171
DVU1857,-0.266,-0.03,-0.247,-0.018
DVU1858,-0.26,0.008,-0.269,-0.036
DVU1859,-0.194,-0.077,-0.244,-0.037
DVU1860,-0.305,0.038,-0.298,0.04
DVU1861,-0.246,-0.022,-0.259,-0.001
DVU1862,-0.226,-0.026,-0.261,0.002
DVU1863,-0.284,-0.023,-0.269,-0.03
DVU1864,-0.125,-0.122,-0.18,-0.116
DVU1865,-0.363,0.068,-0.328,0.024
DVU1866,-0.363,0.027,-0.249,-0.041
DVU1867,-0.266,-0.032,-0.298,0.006
DVU1868,-0.215,-0.026,-0.275,-0.019
DVU1869,-0.266,-0.052,-0.281,-0.019
DVU1870,-0.347,0,-0.316,0.004
DVU1871,-0.274,-0.033,-0.238,-0.035
DVU1872,-0.233,0.038,-0.222,-0.002
DVU1873,-0.294,-0.007,-0.313,-0.015
DVU1874,-0.239,-0.03,-0.243,-0.024
DVU1875,-0.215,-0.026,-0.235,-0.059
DVU1876,-0.248,0.019,-0.193,-0.029
DVU1877,-0.262,0.032,-0.288,0.049
DVU1878,-0.329,0.057,-0.285,0.023
DVU1879,-0.322,0.049,-0.311,0.04
DVU1880,-0.233,-0.026,-0.243,-0.041
DVU1881,-0.301,0.062,-0.291,0.042
DVU1882,-0.238,-0.007,-0.287,0
DVU1883,-0.274,-0.009,-0.25,0.042
DVU1884,-0.277,0,-0.268,0.05
DVU1885,-0.282,0.031,-0.301,0.026
DVU1886,-0.329,0.082,-0.327,0.037
DVU1887,-0.271,0.018,-0.296,0.046
DVU1888,-0.282,-0.011,-0.3,0
DVU1889,-0.27,-0.023,-0.257,-0.037
DVU1890,-0.229,-0.061,-0.249,-0.027
DVU1891,-0.344,0.002,-0.295,-0.023
DVU1892,-0.343,0.059,-0.286,0.015
DVU1893,-0.227,-0.01,-0.256,-0.003
DVU1894,-0.276,-0.014,-0.306,0.031
DVU1895,-0.249,-0.003,-0.308,-0.004
DVU1896,-0.218,-0.062,-0.259,-0.01
DVU1897,-0.24,-0.015,-0.248,-0.011
DVU1898,-0.302,-0.02,-0.322,0.042
DVU1899,-0.235,-0.042,-0.252,-0.041
DVU1900,-0.286,-0.012,-0.223,-0.066
DVU1901,-0.213,0.028,-0.251,0.024
DVU1902,-0.254,-0.022,-0.24,-0.001
DVU1903,-0.276,0.008,-0.254,-0.007
DVU1904,-0.217,-0.047,-0.26,-0.048
DVU1905,-0.236,0.016,-0.216,0.026
DVU1906,-0.228,0.009,-0.262,0.061
DVU1907,-0.271,-0.005,-0.313,0.002
DVU1908,-0.267,0.028,-0.334,0.049
DVU1909,-0.265,0.005,-0.28,-0.023
DVU1910,-0.29,0.019,-0.321,0.02
DVU1911,-0.181,-0.143,-0.272,-0.088
DVU1912,-0.323,0.038,-0.216,-0.049
DVU1913,-0.233,0.014,-0.3,0.018
DVU1914,-0.282,-0.022,-0.259,-0.002
DVU1915,-0.365,0.091,-0.307,0.037
DVU1916,-0.362,-0.015,-0.324,-0.025
DVU1917,-0.258,-0.031,-0.268,-0.061
DVU1919,-0.29,0.036,-0.291,0.013
DVU1920,-0.548,0.189,-0.433,0.077
DVU1921,-0.266,0.024,-0.276,-0.017
DVU1922,-0.279,0.048,-0.309,0.035
DVU1923,-0.256,-0.049,-0.283,0.042
DVU1924,-0.271,0.033,-0.202,0.009
DVU1925,-0.304,-0.031,-0.265,0.01
DVU1926,-0.261,-0.034,-0.35,0.049
DVU1927,-0.262,0.002,-0.276,0.005
DVU1928,-0.249,-0.027,-0.3,0.014
DVU1929,-0.282,0.071,-0.269,0.035
DVU1930,-0.257,-0.032,-0.276,-0.021
DVU1931,-0.25,0.08,-0.342,0.151
DVU1932,-0.28,-0.029,-0.265,-0.068
DVU1933,-0.3,0.01,-0.311,0.044
DVU1934,-0.326,0.017,-0.296,0.01
DVU1935,-0.239,-0.09,-0.279,-0.078
DVU1936,-0.282,0.006,-0.304,0.062
DVU1937,-0.219,-0.028,-0.298,-0.016
DVU1938,-0.41,0.15,-0.28,0.008
DVU1939,-0.27,-0.001,-0.279,0.022
DVU1940,-0.317,0.031,-0.304,0.046
DVU1941,-0.287,-0.016,-0.254,-0.077
DVU1942,-0.269,0.01,-0.312,0.029
DVU1943,-0.312,0.012,-0.328,-0.037
DVU1944,-0.195,0.058,-0.179,-0.029
DVU1945,-0.318,0.009,-0.292,0.049
DVU1946,-0.326,0.054,-0.322,0.024
DVU1947,-0.261,0.011,-0.252,-0.03
DVU1948,-0.28,-0.053,-0.292,0.005
DVU1949,-0.242,-0.02,-0.275,0.015
DVU1950,-0.303,0.05,-0.278,-0.015
DVU1951,-0.294,-0.016,-0.275,-0.018
DVU1952,-0.262,-0.001,-0.294,0.025
DVU1953,-0.265,-0.053,-0.303,-0.011
DVU1954,-0.296,0.015,-0.317,0.058
DVU1955,-0.223,-0.018,-0.241,0.026
DVU1956,-0.332,-0.015,-0.241,-0.042
DVU1957,-0.304,0.116,-0.376,0.095
DVU1958,-0.288,0.027,-0.308,0.038
DVU1959,-0.268,0.013,-0.3,0.044
DVU1960,-0.308,0.019,-0.268,0.014
DVU1961,-0.311,0.074,-0.276,0.043
DVU1962,-0.268,-0.01,-0.245,-0.013
DVU1963,-0.275,0.024,-0.305,0.097
DVU1964,-0.268,0.022,-0.281,-0.006
DVU1965,-0.185,-0.026,-0.265,0.06
DVU1966,-0.244,0.07,-0.409,0.123
DVU1967,-0.297,0.038,-0.304,0.03
DVU1968,-0.248,-0.066,-0.277,-0.036
DVU1969,-0.273,-0.007,-0.234,-0.013
DVU1970,-0.265,0.003,-0.276,0.004
DVU1971,-0.285,0.073,-0.278,-0.023
DVU1972,-0.437,0.128,-0.397,0.141
DVU1973,-0.288,0.025,-0.239,-0.005
DVU1974,-0.302,0.026,-0.288,0.001
DVU1975,-0.283,-0.006,-0.24,0.018
DVU1976,-0.177,-0.097,-0.252,-0.055
DVU1977,-0.296,-0.083,-0.19,-0.108
DVU1978,-0.308,-0.029,-0.293,-0.021
DVU1979,-0.298,0.008,-0.223,-0.027
DVU1980,-0.246,-0.062,-0.284,0.002
DVU1981,-0.212,-0.046,-0.227,-0.034
DVU1982,-0.296,0.057,-0.266,0.01
DVU1983,-0.306,0.009,-0.331,0.062
DVU1984,-0.276,-0.023,-0.243,0.018
DVU1985,-0.259,-0.011,-0.279,-0.004
DVU1986,-0.302,-0.04,-0.273,-0.075
DVU1987,-0.3,0.018,-0.266,-0.001
DVU1988,-0.257,-0.021,-0.229,-0.016
DVU1989,-0.366,0.027,-0.349,-0.003
DVU1990,-0.305,-0.044,-0.293,-0.034
DVU1991,-0.294,-0.026,-0.324,-0.029
DVU1992,-0.305,-0.022,-0.294,-0.023
DVU1993,-0.288,-0.012,-0.27,-0.028
DVU1994,-0.318,0.02,-0.344,-0.018
DVU1995,-0.287,0.035,-0.297,0.055
DVU1996,-0.286,-0.032,-0.283,0.033
DVU1997,-0.399,0.032,-0.244,0.042
DVU1998,-0.244,0.047,-0.236,0.011
DVU1999,-0.283,0.018,-0.298,0.02
DVU2002,-0.292,0.041,-0.274,0.031
DVU2003,-0.233,-0.054,-0.209,-0.029
DVU2004,-0.322,0.021,-0.276,0.008
DVU2005,-0.329,0.21,-0.352,0.107
DVU2006,-0.383,0.039,-0.322,0.053
DVU2007,-0.295,-0.077,-0.33,0
DVU2008,-0.332,0.016,-0.571,0.159
DVU2009,-0.376,0.065,-0.41,0.124
DVU2010,-0.288,0.006,-0.224,-0.018
DVU2011,-0.159,-0.048,-0.183,-0.038
DVU2012,-0.168,-0.029,-0.175,-0.02
DVU2013,-0.286,-0.032,-0.25,-0.046
DVU2014,-0.307,0.021,-0.274,0.007
DVU2015,-0.286,0.003,-0.354,0.091
DVU2016,-0.248,-0.02,-0.262,0.009
DVU2017,-0.228,-0.046,-0.203,-0.061
DVU2019,-0.213,-0.036,-0.233,-0.046
DVU2020,-0.266,-0.035,-0.211,-0.089
DVU2021,-0.155,-0.031,-0.173,0.007
DVU2022,-0.248,-0.042,-0.242,-0.048
DVU2023,-0.279,-0.032,-0.24,-0.021
DVU2024,-0.234,-0.024,-0.214,-0.068
DVU2025,-0.218,-0.048,-0.226,-0.056
DVU2026,-0.217,-0.049,-0.25,-0.027
DVU2027,-0.255,-0.024,-0.222,-0.085
DVU2028,-0.252,-0.028,-0.265,0.009
DVU2029,-0.233,-0.036,-0.207,-0.009
DVU2030,-0.284,0.039,-0.313,0.031
DVU2031,-0.296,0.084,-0.372,0.095
DVU2032,-0.269,-0.016,-0.315,0.012
DVU2033,-0.263,0.001,-0.296,0.031
DVU2034,-0.346,0.039,-0.303,0.078
DVU2035,-0.342,0.034,-0.308,0.06
DVU2036,-0.259,-0.077,-0.202,-0.08
DVU2037,-0.256,-0.03,-0.293,0
DVU2038,-0.243,0.049,-0.216,-0.011
DVU2039,-0.233,-0.001,-0.289,0.003
DVU2040,-0.29,0.005,-0.303,0.087
DVU2041,-0.265,0.024,-0.27,0.053
DVU2042,-0.262,-0.03,-0.323,0.002
DVU2043,-0.307,0.019,-0.29,0.027
DVU2044,-0.128,-0.18,-0.226,-0.041
DVU2045,-0.312,-0.013,-0.166,-0.024
DVU2046,-0.296,0.105,-0.334,0.022
DVU2047,-0.221,0.075,-0.236,0.11
DVU2048,-0.177,-0.008,-0.255,0.051
DVU2051,-0.322,-0.011,-0.279,-0.026
DVU2052,-0.253,-0.004,-0.305,0.031
DVU2053,-0.272,0.045,-0.329,0.023
DVU2054,-0.247,-0.094,-0.335,0.038
DVU2055,-0.295,-0.002,-0.266,-0.03
DVU2056,-0.399,0.119,-0.352,0.081
DVU2057,-0.283,-0.008,-0.255,-0.035
DVU2058,-0.239,0.002,-0.292,0.085
DVU2059,-0.263,-0.039,-0.306,-0.002
DVU2060,-0.373,0.041,-0.206,-0.034
DVU2061,-0.279,-0.049,-0.305,-0.025
DVU2062,-0.268,0.008,-0.259,0.007
DVU2063,-0.271,0.021,-0.264,0.011
DVU2064,-0.213,-0.025,-0.252,-0.019
DVU2065,-0.283,0.063,-0.253,0.002
DVU2066,-0.3,0.055,-0.295,0.019
DVU2067,-0.338,0.043,-0.306,-0.004
DVU2068,-0.298,0.034,-0.228,-0.024
DVU4011,-0.281,0.041,-0.259,-0.012
DVU2069,-0.313,0.038,-0.285,0.033
DVU2070,-0.267,-0.031,-0.293,0.006
DVU2071,-0.301,0.027,-0.309,0.005
DVU2072,-0.224,-0.043,-0.236,-0.058
DVU2073,-0.225,0.007,-0.272,-0.043
DVU2074,-0.292,-0.041,-0.284,0.012
DVU2075,-0.297,0.038,-0.28,0.045
DVU2076,-0.27,-0.048,-0.27,-0.023
DVU2077,-0.252,-0.007,-0.216,-0.021
DVU2078,-0.294,-0.005,-0.291,0.013
DVU2079,-0.297,0.025,-0.27,0.035
DVU4018,-0.309,0.056,-0.372,0.028
DVU2081,-0.197,0.063,-0.241,0.088
DVU2082,-0.255,-0.015,-0.314,0.011
DVU2083,-0.267,0.026,-0.272,-0.001
DVU2084,-0.308,0.039,-0.308,0.028
DVU2085,-0.232,-0.005,-0.257,0.011
DVU2086,-0.323,0.043,-0.279,0.049
DVU2087,-0.287,0.021,-0.347,0.05
DVU2088,-0.267,0.003,-0.357,0.078
DVU2089,-0.246,-0.033,-0.375,-0.011
DVU2090,-0.278,-0.035,-0.218,-0.055
DVU2091,-0.374,0.02,-0.323,0.022
DVU2092,-0.312,-0.048,-0.264,-0.078
DVU2093,-0.307,0.049,-0.321,0.033
DVU2094,-0.357,0.054,-0.308,0.043
DVU2095,-0.301,-0.042,-0.269,-0.02
DVU2097,-0.329,0.05,-0.305,0.017
DVU2098,-0.312,0.05,-0.322,0.027
DVU2099,-0.276,-0.045,-0.294,-0.001
DVU2100,-0.275,-0.052,-0.285,0.009
DVU2101,-0.305,-0.004,-0.245,0.002
DVU2102,-0.321,0.013,-0.295,-0.001
DVU2103,-0.315,-0.005,-0.341,0.018
DVU2104,-0.34,0.019,-0.282,0.008
DVU2105,-0.354,-0.032,-0.275,-0.027
DVU2106,-0.268,0.002,-0.279,0.001
DVU2107,-0.331,0.023,-0.352,0.044
DVU2108,-0.235,-0.054,-0.331,0.002
DVU2109,-0.28,-0.024,-0.297,-0.016
DVU2110,-0.305,-0.013,-0.328,0.016
DVU2111,-0.282,0.049,-0.271,0.031
DVU2112,-0.293,0.054,-0.242,0.02
DVU2113,-0.283,-0.021,-0.322,-0.008
DVU2114,-0.272,0.01,-0.285,0.037
DVU2115,-0.291,0.107,-0.308,0.109
DVU2116,-0.175,-0.139,-0.379,0.003
DVU2117,-0.302,0.009,-0.267,0.025
DVU2118,-0.229,-0.06,-0.221,-0.07
DVU2119,-0.304,-0.01,-0.293,-0.011
DVU2120,-0.305,0.003,-0.268,-0.06
DVU2121,-0.231,0.005,-0.261,0.031
DVU2122,-0.241,-0.063,-0.257,-0.022
DVU2123,-0.269,0.005,-0.266,0.012
DVU2124,-0.194,-0.084,-0.252,-0.002
DVU2125,-0.284,0.036,-0.273,0.016
DVU2126,-0.228,-0.047,-0.374,0.022
DVU2127,-0.288,-0.049,-0.294,-0.008
DVU2128,-0.331,-0.034,-0.292,0.028
DVU2129,-0.266,-0.017,-0.267,-0.01
DVU2130,-0.332,0.004,-0.365,0.033
DVU2131,-0.278,0,-0.323,-0.039
DVU2132,-0.428,0.112,-0.392,0.058
DVU2133,-0.268,-0.019,-0.278,-0.019
DVU2134,-0.245,0.071,-0.28,0.125
DVU2135,-0.269,-0.03,-0.235,-0.011
DVU2136,-0.292,0.034,-0.273,-0.016
DVU2137,-0.311,0.019,-0.261,-0.011
DVU2138,-0.315,-0.013,-0.26,-0.055
DVU2139,-0.31,0.028,-0.326,0.042
DVU2140,-0.306,0.045,-0.298,-0.002
DVU2141,-0.293,-0.006,-0.268,-0.036
DVU2142,-0.329,0,-0.385,0.019
DVU2143,-0.258,-0.042,-0.295,-0.036
DVU2144,-0.274,-0.049,-0.283,-0.061
DVU2145,-0.333,0.116,-0.293,0.052
DVU2146,-0.292,-0.004,-0.342,0.058
DVU2147,-0.346,0.042,-0.302,0.064
DVU2148,-0.286,0.029,-0.291,-0.008
DVU2149,-0.313,0.042,-0.282,0.03
DVU2150,-0.212,-0.026,-0.228,-0.066
DVU2151,-0.264,0.122,-0.29,0.121
DVU2152,-0.422,-0.007,-0.345,-0.016
DVU2153,-0.354,0.017,-0.355,0.01
DVU2154,-0.359,-0.015,-0.326,-0.041
DVU2155,-0.266,-0.004,-0.357,-0.009
DVU2156,-0.367,0.066,-0.292,0.098
DVU2157,-0.289,0.011,-0.274,0.001
DVU2158,-0.236,0.049,-0.224,-0.038
DVU2159,-0.277,-0.001,-0.25,-0.078
DVU2160,-0.339,0.022,-0.323,0.01
DVU2161,-0.255,0.036,-0.241,0.036
DVU2162,-0.348,-0.019,-0.283,-0.023
DVU2163,-0.257,-0.116,-0.253,-0.088
DVU2164,-0.281,-0.006,-0.304,0.037
DVU2165,-0.315,0.022,-0.279,0.024
DVU2166,-0.287,0.061,-0.317,0.018
DVU2167,-0.241,-0.11,-0.185,-0.12
DVU2168,-0.23,-0.032,-0.255,-0.043
DVU2169,-0.323,0.024,-0.365,0.045
DVU2170,-0.303,0.002,-0.318,0.004
DVU2171,-0.28,0.007,-0.277,0.008
DVU2172,-0.219,-0.002,-0.237,0.054
DVU2173,-0.311,0.088,-0.265,0.194
DVU2174,-0.397,0.06,-0.326,0.092
DVU2175,-0.312,0.02,-0.29,0.021
DVU2176,-0.39,0.043,-0.298,-0.011
DVU2177,-0.352,0.019,-0.287,0.03
DVU2178,-0.284,0.039,-0.313,0.031
DVU2179,-0.233,-0.036,-0.207,-0.009
DVU2180,-0.297,-0.048,-0.303,-0.033
DVU2181,-0.252,-0.007,-0.322,0.006
DVU2182,-0.452,0.137,-0.352,0.142
DVU2183,-0.329,-0.011,-0.279,-0.002
DVU2184,-0.489,-0.01,-0.227,0.005
DVU2185,-0.325,0.025,-0.293,-0.009
DVU2186,-0.31,0.009,-0.196,-0.041
DVU2187,-0.325,0.064,-0.265,0.055
DVU2188,-0.252,0.009,-0.263,0.003
DVU2189,-0.183,-0.05,-0.188,-0.031
DVU2190,-0.264,-0.101,-0.236,-0.038
DVU4014,-0.218,0.009,-0.299,0.022
DVU2191,-0.26,-0.043,-0.237,-0.034
DVU2192,-0.428,0.116,-0.351,0.039
DVU2193,-0.277,-0.016,-0.341,0.044
DVU2194,-0.29,0.009,-0.276,-0.024
DVU2195,-0.272,0.062,-0.33,0.104
DVU2196,-0.279,0.023,-0.261,0.037
DVU2197,-0.33,0.039,-0.276,0.035
DVU2198,-0.335,0.017,-0.206,-0.027
DVU2199,-0.367,-0.007,-0.357,0.026
DVU2200,-0.459,0.033,-0.316,-0.026
DVU2201,-0.266,0.016,-0.302,0.034
DVU2202,-0.273,-0.005,-0.283,0.024
DVU2203,-0.2,-0.065,-0.279,-0.036
DVU2204,-0.219,-0.061,-0.331,-0.006
DVU2205,-0.289,-0.011,-0.365,0.005
DVU2206,-0.284,0.002,-0.23,-0.021
DVU2207,-0.411,-0.015,-0.285,-0.132
DVU2208,-0.312,0.002,-0.207,-0.029
DVU2209,-0.235,0.001,-0.315,0.028
DVU2210,-0.28,0.03,-0.265,0.025
DVU2211,-0.241,0.014,-0.258,0.01
DVU2212,-0.245,0.035,-0.271,-0.003
DVU2213,-0.299,0.055,-0.346,0.049
DVU2214,-0.382,0.101,-0.317,0.113
DVU2215,-0.296,0.016,-0.24,-0.019
DVU2216,-0.271,0.069,-0.311,0.03
DVU2217,-0.309,-0.028,-0.299,0.009
DVU2218,-0.314,-0.008,-0.253,0
DVU2219,-0.262,0.012,-0.186,-0.016
DVU2220,-0.321,0.065,-0.307,0.048
DVU2221,-0.282,0.019,-0.25,0.011
DVU2222,-0.253,-0.058,-0.283,-0.04
DVU2223,-0.246,-0.003,-0.155,-0.076
DVU2224,-0.314,0.029,-0.294,0.07
DVU2225,-0.273,0.012,-0.297,0.028
DVU2226,-0.256,0.014,-0.26,0.035
DVU2227,-0.29,0.03,-0.225,-0.02
DVU2228,-0.256,-0.025,-0.2,-0.076
DVU2229,-0.227,-0.026,-0.302,0
DVU2230,-0.271,0.022,-0.306,0.044
DVU2231,-0.239,-0.012,-0.306,0.009
DVU2232,-0.278,0.028,-0.218,0.028
DVU2233,-0.349,0.062,-0.302,0.026
DVU2234,-0.28,-0.017,-0.304,-0.005
DVU2235,-0.214,-0.166,-0.194,-0.195
DVU2236,-0.248,0.042,-0.148,0.022
DVU2237,-0.384,0.094,-0.235,0.013
DVU2238,-0.228,-0.053,-0.331,0.076
DVU2239,-0.287,0.011,-0.281,0.015
DVU2240,-0.334,0.041,-0.327,0.021
DVU2241,-0.285,-0.001,-0.3,0.051
DVU2242,-0.325,0.014,-0.294,0
DVU2243,-0.317,0.017,-0.268,-0.017
DVU2244,-0.284,0.005,-0.273,0.009
DVU2245,-0.264,0.02,-0.278,0.006
DVU4006,-0.286,0.072,-0.153,0.016
DVU2246,-0.273,0.019,-0.282,0.033
DVU2247,-0.328,0.034,-0.265,-0.019
DVU2248,-0.408,0.047,-0.323,0.052
DVU2249,-0.335,0.12,-0.279,0.125
DVU2250,-0.26,-0.017,-0.303,0.037
DVU2251,-0.28,0.023,-0.266,0.059
DVU2252,-0.219,-0.047,-0.274,-0.041
DVU2253,-0.3,0.044,-0.357,0.038
DVU2254,-0.231,-0.019,-0.298,0.018
DVU2255,-0.257,-0.021,-0.309,0.063
DVU2256,-0.272,0.026,-0.251,0.039
DVU2257,-0.37,0.083,-0.241,0.06
DVU2258,-0.304,-0.018,-0.292,-0.001
DVU2259,-0.288,-0.023,-0.247,-0.024
DVU2260,-0.222,-0.067,-0.233,-0.065
DVU2261,-0.298,0.028,-0.314,0.014
DVU2262,-0.348,0.031,-0.177,-0.024
