kmer_3_AAA,kmer_3_AAC,kmer_3_AAG,kmer_3_AAT,kmer_3_ACA,kmer_3_ACC,kmer_3_ACG,kmer_3_ACT,kmer_3_AGA,kmer_3_AGC,kmer_3_AGG,kmer_3_AGT,kmer_3_ATA,kmer_3_ATC,kmer_3_ATG,kmer_3_ATT,kmer_3_CAA,kmer_3_CAC,kmer_3_CAG,kmer_3_CAT,kmer_3_CCA,kmer_3_CCC,kmer_3_CCG,kmer_3_CCT,kmer_3_CGA,kmer_3_CGC,kmer_3_CGG,kmer_3_CGT,kmer_3_CTA,kmer_3_CTC,kmer_3_CTG,kmer_3_CTT,kmer_3_GAA,kmer_3_GAC,kmer_3_GAG,kmer_3_GAT,kmer_3_GCA,kmer_3_GCC,kmer_3_GCG,kmer_3_GCT,kmer_3_GGA,kmer_3_GGC,kmer_3_GGG,kmer_3_GGT,kmer_3_GTA,kmer_3_GTC,kmer_3_GTG,kmer_3_GTT,kmer_3_TAA,kmer_3_TAC,kmer_3_TAG,kmer_3_TAT,kmer_3_TCA,kmer_3_TCC,kmer_3_TCG,kmer_3_TCT,kmer_3_TGA,kmer_3_TGC,kmer_3_TGG,kmer_3_TGT,kmer_3_TTA,kmer_3_TTC,kmer_3_TTG,kmer_3_TTT
DVU3164,1,13,8,0,13,18,17,13,7,9,7,4,1,14,16,2,10,23,13,26,20,10,19,24,11,32,19,13,9,23,23,18,11,15,6,2,18,30,19,25,10,29,16,13,5,10,16,4,0,10,1,4,21,15,20,11,6,22,26,5,0,20,4,2
DVU3165,1,8,9,1,9,14,21,12,10,12,13,6,0,11,16,3,4,17,16,17,14,16,29,19,25,44,19,15,5,19,21,15,14,26,16,5,19,40,26,20,15,28,19,7,6,13,13,3,0,5,0,6,12,8,27,9,12,21,18,7,0,13,8,2
DVU3166,5,8,6,1,9,14,13,12,8,7,15,2,0,13,8,1,6,13,11,16,7,20,24,11,21,22,17,18,2,16,15,7,9,23,14,2,22,11,21,12,12,26,13,7,4,13,11,3,0,4,1,2,8,17,20,5,8,11,13,4,1,8,2,0
DVU3167,0,6,7,0,8,12,9,5,6,8,11,4,0,11,9,2,6,10,5,15,15,17,17,9,16,18,6,11,6,9,4,5,7,13,16,3,7,22,12,4,10,9,2,6,3,6,9,4,0,5,2,3,6,7,13,6,7,10,8,1,1,6,4,2
DVU3168,1,13,21,1,14,28,27,12,7,21,20,5,3,21,15,0,21,26,20,29,25,45,40,32,33,65,36,29,10,27,24,17,13,28,11,5,36,53,49,20,8,48,25,16,7,26,20,9,1,14,2,3,21,16,47,14,9,24,16,12,0,24,2,3
DVU3169,4,7,11,2,15,21,34,6,6,13,21,2,3,16,22,3,12,35,20,28,31,32,43,23,25,59,40,26,2,18,29,10,8,30,9,10,35,62,44,22,16,55,29,17,4,20,23,9,0,4,2,3,14,14,29,8,11,36,27,11,0,11,11,2
DVU3170,6,9,9,2,14,13,17,13,6,12,13,2,2,11,13,1,9,19,16,16,16,34,29,10,16,35,29,20,6,19,18,9,11,19,7,5,21,33,33,17,11,35,22,15,6,13,22,3,0,10,1,3,9,9,21,12,10,22,19,7,0,8,5,0
DVU3171,1,4,23,1,6,11,5,6,7,5,6,9,1,0,7,0,14,11,2,4,15,8,15,6,5,7,8,7,3,4,9,2,14,8,1,2,6,19,6,5,6,9,2,6,3,5,12,6,0,5,2,0,4,6,1,1,7,15,7,4,0,3,5,6
DVU3172,6,31,24,5,35,64,44,18,17,31,23,11,4,31,39,5,11,48,25,46,27,70,109,57,104,109,57,16,3,45,78,12,47,77,31,24,55,104,62,50,32,49,20,17,7,32,16,6,2,5,3,4,13,25,71,13,26,82,18,17,0,14,10,9
DVU3173,3,1,7,0,3,2,4,1,3,4,7,1,0,4,0,1,5,0,3,4,4,2,2,2,6,2,4,4,1,3,1,3,2,7,5,1,2,3,5,0,5,3,2,6,2,4,4,3,1,2,0,0,3,3,5,5,2,1,3,1,0,5,2,1
DVU3174,2,9,5,1,10,17,20,11,11,5,9,2,1,12,11,2,7,15,11,15,10,21,24,18,23,32,28,19,5,14,19,8,8,25,10,6,20,25,30,12,10,28,17,9,9,10,17,7,1,9,1,4,8,10,28,5,5,22,10,12,0,15,2,3
DVU3175,0,1,1,0,2,0,4,2,0,1,1,0,0,3,5,2,1,3,0,7,0,3,4,7,3,8,7,2,2,9,4,7,1,3,1,1,4,7,5,8,3,9,8,3,1,1,3,2,0,1,1,1,5,4,7,5,0,6,7,2,0,8,3,3
DVU3176,4,21,18,6,13,41,34,15,12,10,19,2,3,28,15,1,18,33,13,30,22,38,49,28,40,52,44,26,10,31,19,16,27,35,12,7,33,38,36,19,15,47,24,29,5,27,32,6,0,14,1,3,26,20,43,14,14,17,28,13,0,17,6,2
DVU3177,0,1,2,2,1,6,4,1,5,4,0,0,2,1,3,0,0,4,3,2,1,3,7,2,6,10,5,3,1,3,2,0,5,4,4,1,6,4,8,3,3,2,1,1,0,2,3,0,0,3,0,0,1,0,5,0,1,5,1,1,0,0,0,0
DVU3178,0,7,9,3,6,10,14,7,6,9,9,1,2,12,5,1,6,15,8,13,8,17,24,14,19,26,19,13,1,11,17,10,12,13,8,2,20,30,17,11,9,26,18,8,1,12,14,0,1,2,0,1,8,6,22,7,2,17,15,5,0,8,3,2
DVU3179,5,9,9,2,11,25,23,7,11,14,9,1,5,24,8,2,9,20,13,27,10,27,44,29,34,55,26,18,7,30,16,9,11,28,12,5,34,42,32,16,6,33,20,7,2,8,16,5,0,9,1,4,14,16,34,10,6,22,11,5,0,12,4,0
DVU3180,6,37,23,9,33,63,62,30,31,37,37,6,9,32,38,6,26,63,53,60,59,65,73,68,74,112,51,39,14,74,60,25,43,67,31,13,68,99,70,52,32,87,63,23,4,34,27,17,0,21,4,2,42,38,71,23,18,53,54,14,0,34,14,7
DVU3181,2,34,51,5,40,67,70,33,30,38,46,16,5,39,39,12,47,57,44,59,47,86,116,64,103,142,80,60,20,67,55,31,40,92,34,22,82,120,120,39,26,106,38,46,13,48,65,15,3,27,2,8,38,40,79,37,29,75,52,19,2,40,16,2
DVU3182,8,37,21,10,33,55,55,14,26,32,49,9,4,39,33,4,38,41,55,58,54,21,65,27,69,87,39,41,7,37,29,14,29,59,40,11,66,70,59,33,22,67,29,31,10,38,34,8,2,20,0,0,39,21,57,13,22,42,32,9,1,16,9,8
DVU3183,4,5,18,4,5,7,6,5,6,8,7,4,1,6,8,1,10,8,2,8,9,8,10,5,12,5,10,6,4,2,11,2,17,5,5,3,10,13,8,6,6,13,2,5,1,8,7,3,1,5,0,0,4,4,9,3,6,11,7,4,0,4,2,0
DVU3184,3,1,5,2,1,5,5,1,1,3,1,1,1,0,3,1,2,2,0,0,1,9,7,4,9,2,5,5,1,1,5,0,6,6,1,0,2,7,6,1,0,5,1,2,3,1,3,2,0,3,1,2,0,0,3,1,3,6,1,1,1,2,0,0
DVU3185,8,17,27,5,24,33,23,11,20,17,10,7,5,25,21,6,20,34,15,33,34,31,38,20,38,39,22,22,11,22,23,13,29,28,9,12,27,43,21,23,11,32,18,17,6,18,26,5,0,12,4,6,17,16,39,15,9,26,28,9,0,22,2,3
DVU3186,3,11,9,0,6,11,26,4,11,16,10,4,0,10,10,3,6,13,21,15,9,17,31,13,16,48,24,20,3,14,19,9,13,16,10,6,34,31,31,20,14,23,17,10,6,13,15,10,1,7,1,1,6,11,20,8,5,29,13,10,1,8,13,5
DVU3187,5,4,9,2,2,7,9,2,4,4,6,1,0,5,3,2,8,5,6,4,8,6,11,3,7,11,8,5,1,3,6,2,6,10,0,3,9,12,7,3,3,10,7,3,2,2,5,3,2,1,0,0,4,3,4,4,5,6,2,3,0,5,2,1
DVU3188,2,7,3,4,8,15,13,4,4,5,5,1,2,12,7,3,8,13,7,15,13,24,32,15,10,22,32,22,3,10,19,13,5,13,5,3,15,30,19,15,8,27,21,14,3,18,19,7,1,7,0,1,7,15,22,11,5,25,12,10,1,15,7,4
DVU3189,2,13,16,4,7,15,21,9,11,14,29,8,2,10,11,4,16,13,23,13,20,49,53,28,24,56,30,33,4,17,44,25,17,18,21,7,27,61,35,36,13,45,33,24,6,29,34,13,0,8,2,2,11,25,34,17,16,44,23,17,0,31,11,10
DVU3190,6,35,33,3,14,45,39,16,23,20,24,14,0,21,18,3,38,16,32,23,33,47,68,37,51,74,34,45,14,41,30,15,32,45,15,11,31,68,50,31,15,47,23,24,9,29,38,16,1,18,2,4,31,25,47,16,14,39,28,9,2,28,4,2
DVU3191,2,8,15,4,16,30,31,2,6,20,20,1,3,7,22,2,13,34,17,18,23,43,54,33,34,55,37,27,1,14,32,16,12,30,15,10,36,61,43,22,18,42,20,9,6,20,13,6,2,7,0,1,7,19,25,6,10,45,12,8,0,16,8,2
DVU3192,2,13,11,6,12,18,22,9,14,12,23,5,3,16,19,0,18,20,21,25,17,36,32,26,15,49,38,25,4,22,33,17,12,25,21,1,35,42,45,28,22,54,33,13,3,23,17,8,0,3,2,5,20,15,28,13,8,35,28,8,0,15,10,4
DVU3193,4,13,9,6,12,24,29,9,9,13,12,6,7,15,17,2,13,23,17,17,15,26,36,19,26,33,45,24,10,15,22,14,13,25,13,10,30,31,41,23,17,48,40,16,6,16,24,10,3,13,1,7,13,15,22,10,9,31,24,10,1,14,11,10
DVU3194,9,21,35,10,23,36,37,9,24,21,20,6,7,22,21,6,31,31,19,33,23,33,58,33,43,67,31,35,5,26,30,15,35,42,15,9,39,61,43,21,24,36,14,17,5,26,27,9,0,11,3,3,29,17,38,13,10,40,26,9,0,23,7,2
DVU3195,4,13,24,5,8,39,30,9,7,21,17,7,5,21,20,7,22,27,17,28,19,41,38,30,32,59,37,29,12,20,25,20,20,33,10,10,46,35,51,25,14,46,38,30,6,16,49,10,0,13,1,9,21,13,38,13,21,31,36,15,0,28,9,7
DVU3196,3,20,16,2,11,22,27,9,10,22,18,4,3,17,12,8,25,18,20,22,19,35,38,23,23,54,28,22,12,24,19,19,13,24,16,5,33,39,38,25,12,38,28,18,4,14,24,8,0,7,2,10,22,19,24,17,14,21,22,6,0,27,8,7
DVU3197,4,14,21,3,8,22,26,5,10,11,18,5,1,16,17,3,22,15,13,22,25,17,29,16,27,34,20,25,10,14,16,10,16,22,10,7,22,34,24,15,9,34,13,12,4,20,14,11,0,10,1,4,17,14,27,14,9,16,17,7,0,22,2,2
DVU3198,5,24,30,3,29,48,40,18,24,33,37,8,2,18,28,2,27,55,39,30,42,51,62,43,44,80,53,31,7,36,42,21,28,45,31,14,57,76,64,35,33,66,41,21,7,21,32,8,2,11,2,2,23,23,42,10,18,53,30,8,1,23,7,3
DVU3199,3,8,7,1,1,8,5,3,5,2,7,3,0,7,9,0,8,4,5,9,10,6,6,9,6,6,11,7,1,8,4,3,8,5,5,5,6,8,12,1,5,14,1,3,0,9,4,1,0,0,1,0,9,9,7,3,7,5,4,1,0,4,0,1
DVU3200,3,9,6,4,8,21,7,7,6,4,13,6,0,3,10,1,6,13,16,9,13,17,18,15,14,21,12,10,1,14,23,5,13,17,7,1,15,18,21,15,12,23,16,6,3,10,15,2,0,4,0,0,8,7,11,6,7,21,16,7,0,5,3,0
DVU3201,1,8,8,2,10,18,25,6,5,7,15,4,4,13,16,2,6,19,10,19,11,39,51,26,29,50,33,27,6,18,26,16,11,23,11,10,25,46,43,22,13,46,19,16,6,17,27,8,1,9,3,3,8,24,20,12,8,33,27,11,0,16,10,2
DVU3202,3,13,10,3,8,16,31,8,9,4,14,2,4,11,9,2,13,15,10,15,11,28,17,26,22,40,26,15,5,15,25,12,13,26,7,4,26,25,34,14,14,33,17,8,5,10,16,3,0,9,2,3,8,13,21,9,6,22,15,9,0,15,2,4
DVU3203,3,6,9,3,2,10,23,3,2,9,12,5,0,7,13,4,7,10,7,13,11,37,33,27,25,45,32,22,2,21,33,15,11,20,11,5,18,46,44,23,10,45,30,17,3,16,25,9,0,2,1,2,6,15,24,18,11,32,28,9,0,19,9,1
DVU3204,7,12,27,5,18,32,26,3,17,16,24,8,3,30,20,3,22,33,19,29,26,38,42,30,35,45,32,31,9,30,21,7,22,22,16,16,36,45,39,25,10,50,23,14,8,19,30,4,0,12,4,5,23,21,36,9,14,34,18,8,1,10,3,2
DVU3205,7,18,20,7,15,40,40,12,9,12,26,9,3,18,18,2,17,40,21,22,24,45,52,36,46,88,36,15,15,34,25,26,28,35,13,5,39,54,59,33,21,55,29,11,4,14,19,5,0,14,3,6,22,18,34,19,5,30,25,7,1,27,5,6
DVU4012,1,4,7,0,0,5,6,4,4,9,7,1,0,1,5,2,5,2,6,4,6,11,9,8,8,20,6,14,3,8,6,6,6,8,7,3,7,13,16,10,7,12,11,1,0,9,7,4,0,1,2,0,4,5,17,1,5,5,7,4,0,9,3,2
DVU3206,4,23,27,5,20,36,30,15,9,27,29,5,1,26,14,1,32,32,28,37,32,41,65,27,35,77,46,34,9,31,25,18,23,33,15,0,48,63,54,24,15,59,35,25,4,34,27,7,0,13,1,0,29,25,43,17,12,26,24,7,0,23,3,1
DVU3207,2,20,30,6,28,43,47,18,23,24,44,12,4,27,37,7,21,48,40,43,42,57,79,36,69,104,38,42,11,36,38,22,35,56,31,19,53,90,73,33,33,63,44,39,4,35,49,12,0,12,3,6,29,24,54,20,16,58,53,7,2,29,10,5
DVU3208,8,7,26,2,9,11,24,5,11,21,12,6,1,8,9,3,21,26,13,10,20,19,39,17,17,44,29,24,2,24,30,9,14,12,10,8,28,51,29,26,10,41,22,14,3,21,22,6,0,4,2,0,13,14,22,17,6,28,24,8,0,13,5,2
DVU3209,1,3,2,0,1,2,5,1,1,1,0,1,1,0,1,0,3,1,0,2,1,3,5,2,1,8,3,1,0,1,2,1,1,2,1,0,4,5,3,1,1,1,0,1,2,0,3,1,1,3,0,0,0,1,0,0,2,3,0,2,1,0,1,0
DVU3210,5,15,24,5,17,26,34,17,12,20,21,12,3,19,20,3,21,34,28,25,29,42,33,32,32,53,42,25,11,27,27,26,23,30,11,9,44,47,44,23,17,53,24,25,9,26,28,8,0,15,3,5,18,21,41,19,12,32,32,9,0,27,10,6
DVU3211,10,2,3,0,0,2,5,0,1,2,3,2,0,0,2,0,2,1,3,0,1,1,3,3,2,2,8,9,1,0,4,2,3,2,2,2,4,4,10,2,3,8,4,5,2,5,12,4,0,2,1,0,1,1,3,2,3,8,5,6,0,2,4,3
DVU3212,10,31,29,6,28,43,37,14,21,15,23,10,6,32,24,3,39,37,17,42,36,44,66,31,50,64,39,46,6,33,21,25,27,43,23,12,41,68,36,23,18,55,32,27,2,39,40,11,0,11,1,4,30,22,60,17,16,34,38,9,2,25,12,2
DVU3213,1,4,4,1,5,3,14,2,8,0,3,3,0,2,10,1,2,6,3,6,3,2,8,5,10,11,11,3,2,4,2,2,7,11,7,4,5,12,8,2,10,8,12,3,2,3,4,3,0,3,1,1,4,1,5,1,1,8,7,3,1,2,3,0
DVU3214,6,25,23,9,28,42,53,18,23,34,49,10,11,29,44,5,29,38,47,45,45,67,100,50,63,115,81,59,13,37,60,39,26,55,40,27,55,125,100,55,39,108,73,52,13,42,72,18,2,23,7,7,31,28,65,26,23,78,69,24,2,42,18,11
DVU3215,0,6,6,1,2,4,13,7,4,7,2,0,1,5,7,1,4,6,3,10,6,3,7,9,13,10,12,9,2,10,9,5,8,12,4,2,4,16,13,7,6,13,13,4,1,6,6,2,1,2,1,0,11,2,11,3,3,10,9,2,0,6,2,0
DVU3216,9,29,27,4,23,43,30,12,15,26,29,11,9,31,26,7,28,31,25,41,39,46,49,36,45,59,45,32,7,39,38,19,31,35,27,22,35,56,54,35,36,51,33,16,5,24,26,11,1,13,2,5,28,25,48,20,20,44,29,7,0,27,10,10
DVU3217,3,8,17,1,5,7,10,3,13,1,17,5,3,4,8,0,5,5,7,4,5,9,10,9,15,6,12,7,0,9,7,4,19,11,12,7,6,13,10,4,11,15,12,7,1,10,10,0,2,1,0,2,5,4,10,4,11,11,4,2,1,0,3,0
DVU3218,3,6,1,1,9,17,13,6,2,4,5,4,2,16,15,1,2,16,10,21,16,17,21,10,19,25,15,12,3,5,11,9,5,18,4,8,17,24,16,8,6,20,17,8,5,9,16,4,1,5,1,3,7,6,21,4,8,16,14,10,0,8,6,7
DVU3219,6,15,15,4,13,24,34,11,7,16,17,4,3,11,18,5,10,30,15,20,25,41,52,26,40,58,33,22,2,20,24,21,22,30,13,10,23,61,43,16,18,35,27,16,6,18,23,6,2,7,1,3,14,18,24,14,11,34,19,10,2,21,9,3
DVU3220,12,27,25,5,17,25,40,14,27,22,19,8,5,20,13,4,17,18,18,29,21,30,45,22,49,45,41,32,8,30,26,13,39,36,30,6,23,47,41,27,15,39,27,26,7,21,32,12,1,15,4,1,21,16,41,14,20,32,20,6,1,21,7,3
DVU3221,4,31,11,3,20,41,38,10,15,33,17,11,5,31,21,2,22,29,41,37,39,24,40,21,39,57,51,30,6,28,28,16,21,38,21,12,42,40,54,36,23,41,28,30,10,22,36,14,2,11,3,6,28,19,45,11,16,41,26,11,1,22,9,5
DVU3222,2,8,14,1,20,27,19,9,10,16,24,7,2,12,22,4,11,27,24,27,23,51,41,41,32,53,38,25,5,30,36,23,12,34,18,8,30,65,45,34,24,64,27,14,3,13,28,9,0,6,2,3,16,13,43,10,6,41,40,7,1,27,8,7
DVU3223,3,16,15,1,15,25,21,9,12,11,22,3,4,16,17,4,19,19,14,20,22,45,47,22,34,49,29,30,13,28,15,14,12,21,19,13,19,53,36,25,8,37,17,26,4,17,39,6,1,14,1,6,16,13,38,14,11,36,20,7,1,20,3,4
DVU3224,3,10,8,1,6,13,21,4,5,10,9,4,2,6,21,2,12,5,11,13,8,23,26,9,23,34,19,15,3,6,15,9,7,21,7,14,21,23,31,14,14,22,19,14,5,9,26,3,0,8,2,2,6,7,13,6,8,23,22,10,2,11,1,0
DVU3225,0,7,6,2,3,3,8,5,8,8,9,2,1,7,4,0,5,4,6,7,7,9,12,12,14,20,8,7,1,15,10,5,10,8,14,1,6,22,13,8,7,9,7,8,1,4,6,7,0,0,2,1,6,6,16,6,4,12,7,1,0,8,4,2
DVU3226,1,7,7,0,5,8,7,2,6,8,9,0,2,2,4,1,6,0,11,6,2,16,16,2,8,18,7,7,0,1,8,4,8,13,5,2,14,9,11,6,8,7,5,5,0,6,6,1,0,2,0,0,2,3,6,3,7,7,4,1,0,5,1,0
DVU3227,6,7,24,2,7,14,10,2,18,8,8,6,3,11,7,5,14,4,6,15,13,27,20,12,20,27,15,8,2,19,19,5,19,18,9,4,7,23,15,21,5,16,8,14,3,15,10,5,0,4,2,4,12,8,25,10,7,15,12,5,2,10,3,7
DVU3228,0,8,11,2,8,6,5,5,8,7,8,1,2,13,8,2,8,5,7,14,9,2,10,5,15,8,4,10,1,6,6,4,13,10,5,6,8,10,9,3,7,5,3,5,1,7,5,4,0,1,1,2,9,8,13,4,5,10,5,1,0,8,2,1
DVU3229,5,10,20,3,6,8,21,9,15,16,17,9,2,9,11,9,11,10,15,19,12,10,19,8,26,34,14,8,4,14,17,12,21,17,20,4,25,24,27,20,11,30,17,10,5,11,6,8,1,7,3,4,12,7,15,10,10,16,20,3,4,10,15,0
DVU3230,7,15,11,2,10,18,22,6,6,12,9,3,0,9,8,2,17,12,8,10,12,16,22,21,22,32,21,18,4,27,24,13,10,23,11,4,12,23,29,25,10,22,15,18,7,12,21,6,1,6,1,3,13,14,20,16,10,23,20,6,0,15,6,5
DVU3231,2,19,11,2,5,19,29,14,9,18,17,3,3,5,10,2,13,15,21,11,11,31,41,21,26,50,47,25,3,25,32,8,17,25,15,5,34,45,49,18,16,49,27,22,5,21,25,8,2,8,1,1,10,9,29,15,11,29,23,9,1,12,5,2
DVU3232,1,30,33,4,23,39,52,15,26,22,31,11,2,48,22,8,33,37,32,62,45,58,58,47,48,91,56,40,7,65,48,28,33,53,23,10,45,64,64,53,29,61,30,36,5,35,43,17,1,9,2,3,51,47,61,33,17,52,39,13,1,44,8,6
DVU3233,6,21,25,1,16,14,27,8,14,13,24,7,3,19,20,2,25,14,19,35,22,27,24,16,19,52,18,19,5,17,20,14,19,21,14,6,27,42,30,18,15,30,17,21,5,20,25,9,3,9,1,1,28,6,27,14,12,22,24,12,1,19,5,3
DVU3234,0,4,8,4,3,13,6,4,7,7,4,3,3,13,21,3,3,12,9,21,14,18,17,24,5,36,14,10,1,17,31,22,10,8,3,13,17,30,15,29,5,22,27,20,3,5,27,7,3,2,1,1,11,12,27,14,18,26,29,9,0,29,3,7
DVU3235,1,5,11,1,5,15,14,6,10,4,7,2,2,10,9,3,7,11,3,13,15,14,19,11,17,27,21,9,5,12,16,7,10,19,9,6,8,21,24,14,11,22,9,9,1,9,11,3,0,5,1,3,6,9,17,9,6,14,14,4,1,10,2,2
DVU3236,2,29,27,3,23,46,37,15,22,22,25,10,1,26,15,2,26,39,27,30,27,63,58,39,59,75,41,22,3,43,40,13,33,46,25,11,52,54,60,33,22,57,33,23,4,15,35,5,0,7,1,0,20,24,42,12,12,45,36,3,0,14,6,2
DVU3237,4,21,12,7,21,41,49,19,15,16,38,17,4,22,43,11,17,36,36,48,32,74,97,46,57,110,83,57,14,33,48,30,23,61,35,15,57,97,105,39,36,99,82,43,8,42,76,19,0,12,4,10,27,37,56,21,26,73,57,28,0,44,17,3
DVU3238,0,2,7,2,5,9,6,2,7,6,8,0,1,5,16,0,4,6,4,12,5,5,13,6,14,14,15,5,1,8,5,6,7,11,10,6,10,14,16,7,6,16,11,8,1,8,5,2,0,3,0,1,6,1,13,5,8,11,7,3,1,4,3,0
DVU3239,0,3,5,1,3,6,13,3,0,5,12,1,0,7,14,1,6,10,8,16,7,18,18,14,7,24,16,26,4,12,24,12,3,7,4,3,19,29,24,25,6,37,18,9,4,12,24,5,0,5,2,1,11,4,18,10,4,31,24,9,0,12,6,2
DVU3240,2,15,19,1,16,29,17,3,9,13,17,12,4,17,17,3,21,21,21,27,25,23,28,19,20,27,29,20,6,16,20,7,14,14,11,7,30,24,30,20,10,35,19,16,8,15,15,19,0,15,0,5,19,19,21,7,8,29,15,9,2,18,9,1
DVU3241,4,14,7,3,7,13,16,4,12,11,9,4,3,10,18,3,11,8,14,19,11,21,15,11,11,22,26,15,3,7,16,10,12,13,14,6,26,17,28,15,12,29,15,12,6,8,23,8,1,5,1,5,8,7,15,6,11,24,18,14,0,11,10,7
DVU3242,1,2,9,2,3,5,2,1,7,4,5,2,1,4,4,2,4,2,5,3,3,7,10,5,7,9,1,8,1,3,4,0,9,3,4,3,5,10,6,2,4,5,1,3,4,5,4,1,1,4,0,2,3,3,7,0,1,5,6,1,1,1,1,1
DVU3243,3,10,23,0,13,31,22,6,26,10,28,10,2,10,10,5,18,19,25,16,20,37,38,25,37,36,37,24,4,13,21,16,15,34,24,8,23,38,47,14,12,52,21,14,5,24,15,13,0,9,2,2,22,14,27,9,7,24,13,9,2,25,7,3
DVU3244,5,5,4,1,2,4,6,3,2,1,6,0,1,3,7,1,4,6,1,7,4,9,16,8,2,10,16,5,1,3,10,5,5,2,3,1,8,18,9,6,3,16,18,9,4,4,11,1,1,2,1,2,4,6,2,2,5,14,6,6,0,4,3,0
DVU3245,6,3,18,4,4,7,13,1,10,9,15,4,2,11,6,4,10,5,8,13,9,8,14,5,17,19,8,10,3,10,3,5,15,11,11,4,12,12,15,9,8,17,7,5,2,9,7,3,0,6,2,1,11,9,12,6,6,3,7,2,2,8,2,2
DVU3246,8,19,16,8,32,38,37,19,19,28,29,6,5,19,19,7,26,44,42,24,32,53,51,33,38,73,37,33,8,26,34,26,17,47,21,11,42,56,64,21,28,50,37,15,11,24,19,12,0,16,4,6,30,22,29,21,11,32,27,12,2,33,10,5
DVU3247,4,18,19,3,19,29,20,8,17,28,18,6,4,17,16,4,22,19,35,26,24,40,54,15,26,47,35,24,11,13,14,6,16,30,13,8,42,50,32,17,11,46,20,16,2,18,21,15,2,9,3,3,17,14,26,4,13,20,20,10,0,13,12,4
DVU3248,10,55,38,13,50,62,75,30,35,30,50,16,13,64,51,19,52,60,63,95,61,67,74,65,77,112,80,76,23,63,51,39,50,72,26,28,80,96,82,43,39,97,57,49,11,76,52,27,4,30,4,10,79,42,114,38,26,62,55,25,1,70,14,14
DVU3249,6,7,13,5,11,9,14,11,8,8,14,4,4,18,14,3,15,14,10,20,11,14,18,10,18,16,23,14,2,8,11,11,10,18,7,11,21,22,21,6,12,27,8,7,6,12,5,4,0,6,5,2,16,8,18,5,8,19,9,2,1,9,8,2
DVU3250,0,8,10,2,4,8,15,5,4,12,10,3,3,17,12,3,9,2,14,25,11,17,20,18,15,37,16,12,2,8,16,15,9,12,5,6,20,29,27,13,10,18,16,7,8,11,8,7,3,10,0,1,15,12,18,5,3,22,9,12,1,14,10,6
DVU3251,1,4,4,1,9,5,10,5,3,7,3,2,0,12,4,4,4,11,9,17,7,18,10,13,4,11,24,14,3,12,12,6,5,8,2,2,15,20,18,8,5,25,19,17,3,4,27,4,0,6,0,0,10,5,15,7,6,18,20,4,0,9,5,2
DVU3252,2,2,2,2,5,3,5,2,3,4,3,1,5,2,3,4,3,7,5,5,4,7,8,4,3,12,3,4,0,0,6,3,3,3,3,3,8,11,9,2,3,5,6,5,0,3,8,4,1,3,1,4,3,2,0,1,3,9,7,4,4,1,6,3
DVU3253,2,9,38,2,13,43,16,8,32,24,17,9,4,22,14,5,22,24,24,25,22,37,47,34,39,48,20,27,17,32,26,11,27,32,20,10,31,37,35,29,9,37,17,7,2,25,15,9,0,15,1,7,29,23,36,15,9,23,16,8,0,24,1,2
DVU3254,2,7,9,3,14,28,23,7,9,12,20,5,2,16,21,6,7,26,23,28,22,38,63,30,27,73,55,26,7,18,40,18,12,30,13,12,35,69,59,29,21,56,33,20,2,25,26,9,0,9,1,1,13,18,36,17,11,51,22,11,0,25,8,4
DVU3255,2,6,8,1,5,9,10,8,4,4,5,2,1,3,9,0,3,10,3,7,4,14,13,6,13,12,7,10,4,10,11,3,12,14,2,3,10,10,9,8,5,9,8,7,2,7,10,3,0,2,3,2,4,4,10,6,9,12,9,2,0,4,2,2
DVU3256,3,13,11,1,12,22,30,8,5,10,18,7,1,13,16,1,11,32,19,17,17,27,33,29,20,49,47,16,4,19,24,25,14,23,7,9,37,41,44,16,17,46,26,15,4,18,19,9,0,4,3,3,13,16,25,19,12,33,13,12,1,23,11,3
DVU3257,1,14,16,5,27,53,49,16,13,22,47,11,4,19,45,6,18,44,43,39,26,107,113,71,50,123,107,61,7,44,98,45,17,71,33,22,64,128,123,79,48,134,95,64,13,30,95,29,0,16,1,7,27,29,56,28,33,115,92,31,0,47,33,19
DVU3258,4,19,15,3,12,33,20,10,11,17,19,4,2,23,20,3,15,26,9,37,20,31,51,28,44,53,34,27,5,30,21,13,22,22,26,5,27,47,58,21,13,42,33,20,4,15,26,11,0,8,1,2,28,19,29,10,8,41,22,5,0,18,9,1
DVU3259,1,11,11,2,10,14,19,11,13,5,13,4,2,4,16,1,9,15,9,8,11,23,21,12,24,24,18,21,9,10,13,15,14,18,14,10,11,21,33,11,15,31,22,13,3,12,20,7,1,10,1,2,9,9,14,13,5,16,28,4,0,19,4,3
DVU3260,5,4,6,3,1,11,4,2,7,4,7,1,3,3,10,2,6,3,5,7,5,12,15,7,12,10,11,5,1,3,6,7,7,8,8,5,11,13,12,7,5,13,8,6,2,6,6,4,1,3,0,3,4,3,7,1,4,16,6,5,1,3,9,4
DVU3261,0,3,7,1,7,7,12,3,3,5,4,2,0,7,14,1,5,12,6,15,9,15,15,16,8,25,22,18,3,18,16,12,6,8,0,4,13,22,23,16,6,23,23,19,6,13,21,9,0,6,2,1,9,11,23,14,1,21,22,10,0,19,3,4
