,DACC_Twist.lag1,DACC_Twist.lag2,DACC_Tilt.lag1,DACC_Tilt.lag2,DACC_Twist.Tilt.lag.1,DACC_Twist.Tilt.lag.2,DACC_Tilt.Twist.lag.1,DACC_Tilt.Twist.lag.2
DVU2700,-0.306,-0.065,-0.185,-0.036,-0.268,-0.044,-0.228,-0.055
DVU2701,-0.349,-0.073,-0.177,0.005,-0.336,-0.008,-0.243,-0.107
DVU2702,-0.359,0,-0.214,0.038,-0.346,0.059,-0.229,0.028
DVU2703,-0.366,0.025,-0.257,-0.013,-0.449,0.082,-0.177,-0.045
DVU2704,-0.306,-0.022,-0.198,-0.006,-0.302,-0.02,-0.222,-0.019
DVU2705,-0.367,0.04,-0.201,0.039,-0.297,0.072,-0.286,0.024
DVU2706,-0.333,0.025,-0.191,-0.016,-0.298,0.035,-0.233,-0.018
DVU2707,-0.376,0.024,-0.223,-0.011,-0.319,0.027,-0.299,0.001
DVU2708,-0.378,0.062,-0.197,0.041,-0.288,0.041,-0.333,0.048
DVU4026,-0.34,0.042,-0.22,-0.003,-0.303,0.047,-0.28,0.019
DVU2710,-0.341,-0.006,-0.211,-0.008,-0.265,-0.019,-0.304,0.028
DVU2711,-0.402,-0.008,-0.248,-0.024,-0.314,0.013,-0.35,0.009
DVU2712,-0.393,0.085,-0.197,0.029,-0.306,0.044,-0.352,0.043
DVU2713,-0.397,0.006,-0.243,-0.031,-0.331,-0.02,-0.345,0.013
DVU2714,-0.392,0.081,-0.194,-0.028,-0.297,0.075,-0.304,0.016
DVU2715,-0.404,0.065,-0.232,0.005,-0.333,0.001,-0.371,0.045
DVU2716,-0.393,0.029,-0.23,-0.003,-0.305,0.028,-0.332,0.015
DVU2717,-0.276,-0.083,-0.175,-0.04,-0.303,-0.019,-0.163,-0.093
DVU2718,-0.462,0.089,-0.261,0.088,-0.461,0.063,-0.397,0.076
DVU2719,-0.384,-0.023,-0.227,-0.038,-0.379,-0.008,-0.259,-0.023
DVU2720,-0.356,-0.006,-0.208,-0.025,-0.247,-0.021,-0.319,0.018
DVU2721,-0.331,-0.02,-0.222,-0.024,-0.306,0.003,-0.245,-0.017
DVU2722,-0.349,0.034,-0.202,0.012,-0.279,0.03,-0.298,0.042
DVU2723,-0.399,0.019,-0.226,0.004,-0.355,0.055,-0.271,-0.002
DVU2724,-0.316,-0.046,-0.186,-0.093,-0.221,-0.088,-0.281,-0.042
DVU2725,-0.392,-0.017,-0.218,0.002,-0.369,0.018,-0.27,-0.032
DVU2727,-0.454,0.119,-0.225,0.048,-0.347,0.034,-0.369,0.12
DVU2728,-0.419,0.084,-0.243,-0.009,-0.326,0.021,-0.353,0.06
DVU2729,-0.356,0.015,-0.216,-0.017,-0.297,-0.004,-0.298,0.046
DVU2730,-0.342,-0.076,-0.227,-0.045,-0.27,-0.08,-0.31,0.002
DVU2731,-0.367,-0.02,-0.217,-0.049,-0.322,-0.076,-0.291,0.014
DVU2732,-0.388,0.071,-0.154,0.027,-0.314,0.048,-0.226,0.03
DVU2733,-0.336,-0.028,-0.207,-0.02,-0.273,-0.038,-0.289,0
DVU4022,-0.412,0.06,-0.198,0.043,-0.275,0.045,-0.361,0.083
DVU2735,-0.359,0.005,-0.195,0.005,-0.262,0.002,-0.292,0.025
DVU2736,-0.311,-0.032,-0.166,-0.053,-0.266,-0.05,-0.251,-0.016
DVU2737,-0.343,-0.034,-0.167,-0.006,-0.303,0.008,-0.229,-0.037
DVU2738,-0.371,-0.031,-0.214,-0.031,-0.269,-0.044,-0.298,0.011
DVU2739,-0.365,0.003,-0.199,-0.002,-0.279,0.003,-0.3,0.019
DVU2740,-0.32,-0.061,-0.201,0.005,-0.257,-0.015,-0.245,-0.033
DVU2741,-0.377,-0.022,-0.202,-0.042,-0.3,-0.018,-0.27,-0.023
DVU2742,-0.36,-0.057,-0.199,0.002,-0.278,-0.034,-0.29,-0.021
DVU2743,-0.365,0,-0.191,0.004,-0.263,0.016,-0.309,0.017
DVU2744,-0.293,-0.104,-0.196,-0.037,-0.214,-0.043,-0.261,-0.071
DVU2745,-0.39,-0.108,-0.289,0.06,-0.351,-0.048,-0.331,0.024
DVU2746,-0.363,-0.01,-0.185,-0.044,-0.288,0.007,-0.273,-0.01
DVU2747,-0.339,0.003,-0.199,0.009,-0.265,0.015,-0.28,0.021
DVU2748,-0.425,0.073,-0.219,0.027,-0.358,0.061,-0.299,0.059
DVU2749,-0.389,0.017,-0.22,-0.027,-0.348,0.039,-0.266,-0.023
DVU2750,-0.368,0.04,-0.201,-0.002,-0.306,0.045,-0.271,0.026
DVU2751,-0.433,0.016,-0.215,0.018,-0.326,0.016,-0.349,0.036
DVU2752,-0.324,-0.047,-0.171,0.033,-0.252,0.012,-0.251,0.011
DVU2753,-0.415,0.055,-0.203,-0.029,-0.331,0.027,-0.308,0.017
DVU2754,-0.433,0.027,-0.215,0.011,-0.334,0.034,-0.335,0.043
DVU2755,-0.315,-0.021,-0.169,0.001,-0.246,0.004,-0.238,-0.012
DVU2756,-0.38,-0.017,-0.203,-0.056,-0.277,-0.045,-0.296,-0.016
DVU2757,-0.361,0.03,-0.206,0.006,-0.263,0.024,-0.326,0.027
DVU2758,-0.356,0.019,-0.186,-0.03,-0.243,-0.02,-0.334,0.018
DVU2759,-0.513,0.233,-0.22,0.288,-0.323,0.119,-0.542,0.286
DVU2760,-0.428,0.059,-0.199,-0.001,-0.31,0.044,-0.344,0.048
DVU2761,-0.345,0.002,-0.178,0.014,-0.25,0.027,-0.265,0.014
DVU2762,-0.338,0.007,-0.172,-0.005,-0.298,0.009,-0.239,-0.014
DVU2763,-0.333,0.007,-0.181,0.011,-0.279,0.027,-0.25,0
DVU2764,-0.383,-0.003,-0.216,0.048,-0.291,-0.006,-0.324,0.043
DVU2765,-0.331,-0.014,-0.175,-0.031,-0.23,-0.026,-0.283,-0.007
DVU2766,-0.437,0.014,-0.2,0.043,-0.308,0.03,-0.357,0.06
DVU2767,-0.377,0.031,-0.186,-0.054,-0.275,-0.006,-0.324,-0.018
DVU2768,-0.367,0.087,-0.184,0.048,-0.268,0.057,-0.327,0.091
DVU2769,-0.305,-0.019,-0.165,-0.026,-0.226,0.012,-0.259,-0.046
DVU2770,-0.4,0.014,-0.195,0.037,-0.287,0.026,-0.317,0.042
DVU2771,-0.339,0.002,-0.179,-0.039,-0.254,0.009,-0.278,-0.02
DVU2772,-0.418,0.02,-0.204,0.019,-0.356,0.033,-0.278,0.026
DVU2773,-0.405,-0.011,-0.207,0.006,-0.314,0.008,-0.311,0.01
DVU2774,-0.369,-0.087,-0.214,-0.055,-0.237,-0.066,-0.319,-0.045
DVU2775,-0.357,-0.13,-0.236,-0.04,-0.284,-0.088,-0.291,-0.047
DVU2776,-0.223,-0.075,-0.14,-0.02,-0.227,-0.022,-0.171,-0.057
DVU2777,-0.396,0.011,-0.204,0.046,-0.369,0.089,-0.241,0.028
DVU2778,-0.343,-0.003,-0.161,0.014,-0.287,0.047,-0.228,0.005
DVU2779,-0.358,-0.001,-0.189,-0.009,-0.3,0.033,-0.275,-0.006
DVU2780,-0.349,-0.036,-0.187,-0.036,-0.26,-0.023,-0.273,-0.036
DVU2781,-0.429,0.09,-0.196,0.081,-0.309,0.075,-0.333,0.122
DVU2782,-0.351,0.034,-0.154,0.091,-0.295,0.059,-0.276,0.056
DVU2783,-0.43,0.032,-0.241,0.004,-0.345,0.046,-0.372,0.01
DVU2784,-0.386,0.003,-0.209,-0.018,-0.312,-0.012,-0.288,0.008
DVU2785,-0.31,0.002,-0.183,0.012,-0.228,0.002,-0.236,0.047
DVU2786,-0.344,-0.082,-0.255,0.071,-0.276,-0.027,-0.258,0.012
DVU2787,-0.428,0.013,-0.185,0.02,-0.314,0.031,-0.33,0.006
DVU2788,-0.44,0.102,-0.181,0.041,-0.325,0.101,-0.3,0.073
DVU2789,-0.353,-0.04,-0.197,-0.077,-0.285,-0.044,-0.26,-0.024
DVU2790,-0.407,0.081,-0.223,0.146,-0.395,0.153,-0.283,0.129
DVU2791,-0.42,0.017,-0.219,-0.019,-0.292,-0.011,-0.335,0.042
DVU2792,-0.369,-0.014,-0.173,0.003,-0.26,-0.022,-0.277,0.018
DVU2793,-0.352,-0.058,-0.227,-0.033,-0.294,0.003,-0.279,-0.048
DVU2794,-0.335,-0.064,-0.176,-0.047,-0.225,-0.055,-0.282,-0.049
DVU2795,-0.319,-0.076,-0.188,-0.065,-0.243,-0.055,-0.245,-0.061
DVU2796,-0.399,0.002,-0.2,0.019,-0.279,0.018,-0.343,0.02
DVU2797,-0.364,0.018,-0.202,0.041,-0.307,0.025,-0.264,0.032
DVU2798,-0.341,-0.056,-0.197,-0.047,-0.24,-0.039,-0.294,-0.036
DVU2799,-0.345,-0.023,-0.186,0.008,-0.246,-0.015,-0.285,0.041
DVU2800,-0.378,-0.043,-0.199,-0.012,-0.337,0.003,-0.254,-0.029
DVU2801,-0.35,-0.003,-0.175,-0.032,-0.286,0,-0.269,-0.019
DVU2802,-0.401,0.08,-0.218,0.034,-0.348,0.08,-0.277,0.068
DVU2803,-0.408,0.03,-0.232,0.023,-0.319,0.049,-0.327,0.044
DVU2804,-0.341,-0.046,-0.181,-0.013,-0.266,-0.017,-0.263,-0.018
DVU2805,-0.356,-0.014,-0.179,-0.043,-0.25,-0.03,-0.286,-0.002
DVU2806,-0.334,-0.039,-0.181,-0.014,-0.282,-0.021,-0.278,-0.016
DVU2807,-0.361,-0.067,-0.194,-0.032,-0.274,-0.03,-0.269,-0.062
DVU2808,-0.356,-0.051,-0.215,-0.056,-0.218,-0.065,-0.325,0.008
DVU2809,-0.453,0.047,-0.238,0.023,-0.338,0.058,-0.378,0.047
DVU2810,-0.359,0.045,-0.18,-0.016,-0.308,0.027,-0.251,0.026
DVU2811,-0.348,-0.034,-0.189,0.019,-0.261,-0.003,-0.269,-0.024
DVU2813,-0.43,0.053,-0.26,0.016,-0.328,0.041,-0.404,0.02
DVU2814,-0.44,0.149,-0.174,0.12,-0.322,0.1,-0.402,0.14
DVU2815,-0.393,0.053,-0.224,-0.016,-0.343,0.031,-0.284,0.006
DVU2816,-0.388,-0.005,-0.201,-0.018,-0.292,0.008,-0.289,0.007
DVU2817,-0.366,-0.031,-0.2,-0.002,-0.282,0.004,-0.288,-0.028
DVU2818,-0.497,0.191,-0.257,0.072,-0.391,0.126,-0.426,0.17
DVU2819,-0.354,0.052,-0.169,-0.036,-0.276,0.006,-0.297,0.02
DVU2820,-0.393,0.053,-0.203,0.003,-0.297,0.017,-0.33,0.055
DVU2821,-0.261,-0.009,-0.071,0.018,-0.205,0.01,-0.14,0.001
DVU2822,-0.283,-0.092,-0.184,-0.049,-0.202,-0.071,-0.255,-0.057
DVU2823,-0.338,-0.047,-0.195,-0.042,-0.221,-0.065,-0.31,0.001
DVU2824,-0.343,-0.007,-0.188,0.007,-0.238,0.001,-0.29,0.008
DVU2825,-0.39,0.014,-0.211,-0.012,-0.283,0.007,-0.32,0.027
DVU2826,-0.428,0.055,-0.22,0.042,-0.285,0.006,-0.352,0.077
DVU2827,-0.372,0.037,-0.204,0.031,-0.277,0.033,-0.296,0.033
DVU2828,-0.383,0.036,-0.225,0.03,-0.318,0.035,-0.301,0.045
DVU2829,-0.267,-0.082,-0.158,-0.08,-0.261,-0.081,-0.218,-0.102
DVU2830,-0.292,-0.035,-0.145,0.022,-0.197,0,-0.236,0.004
DVU2831,-0.36,0.008,-0.259,0.013,-0.351,0.029,-0.304,0.014
DVU2832,-0.359,-0.006,-0.202,0.03,-0.269,0.023,-0.306,0.052
DVU2833,-0.401,0.077,-0.242,0.042,-0.348,0.015,-0.326,0.12
DVU2834,-0.358,0.105,-0.187,0.067,-0.305,0.128,-0.277,0.07
DVU2835,-0.318,-0.027,-0.194,0.009,-0.247,0.002,-0.253,-0.051
DVU2836,-0.288,-0.104,-0.2,-0.067,-0.239,-0.096,-0.228,-0.08
DVU2837,-0.326,-0.049,-0.182,0.002,-0.24,-0.001,-0.258,-0.011
DVU2838,-0.373,0.025,-0.218,0.021,-0.301,0.011,-0.316,0.044
DVU2839,-0.343,-0.047,-0.186,-0.026,-0.281,-0.051,-0.238,-0.032
DVU2840,-0.335,0.024,-0.152,0.046,-0.296,0.02,-0.256,0.051
DVU2841,-0.333,0.003,-0.182,0.008,-0.305,0.034,-0.223,0.011
DVU2842,-0.323,0.001,-0.155,-0.016,-0.237,-0.021,-0.263,0.003
DVU2843,-0.292,0.028,-0.162,-0.003,-0.24,0.02,-0.235,0.039
DVU2844,-0.324,-0.017,-0.169,-0.009,-0.257,-0.003,-0.243,0.003
DVU2845,-0.4,0.034,-0.208,-0.009,-0.306,0.001,-0.331,0.037
DVU2846,-0.487,0.122,-0.234,-0.006,-0.342,0.09,-0.407,0.074
DVU2847,-0.455,0.158,-0.253,0.1,-0.415,0.138,-0.38,0.104
DVU2848,-0.371,-0.01,-0.219,-0.051,-0.34,-0.056,-0.284,0.011
DVU2849,-0.377,-0.056,-0.229,-0.027,-0.299,-0.055,-0.307,-0.006
DVU2850,-0.344,0.052,-0.195,0.013,-0.294,0.037,-0.285,0.046
DVU2851,-0.349,0.012,-0.21,-0.025,-0.297,0.012,-0.28,-0.005
DVU2852,-0.285,-0.071,-0.194,-0.042,-0.272,-0.035,-0.193,-0.071
DVU2853,-0.323,-0.049,-0.199,0,-0.224,-0.012,-0.278,-0.014
DVU2854,-0.342,-0.027,-0.205,0.005,-0.279,0.023,-0.267,-0.012
DVU2855,-0.375,0.044,-0.211,0.014,-0.319,0.036,-0.302,0.022
DVU2856,-0.319,-0.052,-0.21,-0.035,-0.302,0.004,-0.216,-0.056
DVU2857,-0.327,-0.14,-0.187,-0.047,-0.213,-0.119,-0.274,-0.047
DVU2858,-0.361,-0.075,-0.215,0.015,-0.255,-0.013,-0.284,-0.018
DVU2859,-0.374,-0.003,-0.218,-0.029,-0.301,-0.012,-0.304,0.003
DVU2860,-0.283,0.035,-0.151,0.032,-0.191,0.007,-0.227,0.056
DVU2861,-0.355,-0.031,-0.167,-0.007,-0.238,-0.023,-0.277,0.028
DVU2862,-0.297,-0.033,-0.199,-0.003,-0.261,0.02,-0.217,-0.005
DVU2863,-0.338,0.037,-0.166,0.012,-0.269,0.054,-0.245,0.04
DVU2864,-0.394,-0.03,-0.237,0.035,-0.36,0.022,-0.237,0.032
DVU2865,-0.375,0.034,-0.186,0.045,-0.324,0.059,-0.283,0.011
DVU2866,-0.337,0.037,-0.216,0.027,-0.279,0.062,-0.28,0.032
DVU2867,-0.365,0.057,-0.216,-0.015,-0.292,0.043,-0.308,0.035
DVU2868,-0.263,-0.057,-0.168,-0.024,-0.264,-0.005,-0.182,-0.079
DVU2869,-0.283,0.001,-0.174,0.022,-0.217,0.02,-0.24,0.01
DVU2870,-0.378,-0.016,-0.229,-0.017,-0.241,0.011,-0.36,0.005
DVU2871,-0.324,-0.04,-0.197,0.004,-0.267,-0.001,-0.269,-0.011
DVU2872,-0.324,-0.037,-0.183,-0.035,-0.243,-0.022,-0.283,-0.033
DVU2873,-0.362,-0.01,-0.24,-0.059,-0.297,-0.081,-0.369,0.024
DVU2874,-0.332,-0.02,-0.153,0.006,-0.3,0.036,-0.224,-0.045
DVU2875,-0.329,0.003,-0.193,-0.052,-0.287,-0.047,-0.255,0.01
DVU2876,-0.337,0.018,-0.199,-0.011,-0.281,0.011,-0.282,0.016
DVU2877,-0.315,0.013,-0.17,0.018,-0.26,0.023,-0.207,0.017
DVU2878,-0.37,-0.003,-0.214,-0.013,-0.341,0.044,-0.25,-0.025
DVU2879,-0.35,-0.007,-0.191,-0.028,-0.29,0.021,-0.276,-0.031
DVU2880,-0.463,0.22,-0.243,0.108,-0.417,0.259,-0.293,0.094
DVU2881,-0.336,-0.032,-0.192,-0.015,-0.285,-0.006,-0.249,-0.021
DVU2882,-0.345,-0.003,-0.187,0.025,-0.253,0.003,-0.288,0.036
DVU2883,-0.335,-0.052,-0.188,-0.044,-0.26,-0.027,-0.265,-0.059
DVU2884,-0.358,0.045,-0.192,0.015,-0.274,0.031,-0.3,0.042
DVU2885,-0.342,-0.049,-0.193,-0.05,-0.241,-0.023,-0.28,-0.023
DVU2886,-0.403,0.084,-0.213,0.024,-0.289,0.027,-0.337,0.08
DVU2887,-0.354,-0.011,-0.189,-0.03,-0.284,-0.003,-0.261,-0.023
DVU2888,-0.38,0.03,-0.199,0.005,-0.318,0.038,-0.27,0.032
DVU2889,-0.386,0.027,-0.221,-0.025,-0.308,-0.025,-0.318,0.056
DVU2890,-0.386,0.003,-0.21,0.001,-0.348,0.009,-0.272,0.024
DVU2891,-0.382,-0.044,-0.216,0.016,-0.223,-0.017,-0.337,0.029
DVU2892,-0.382,0.019,-0.188,0.013,-0.244,0,-0.314,0.054
DVU2893,-0.431,0.028,-0.216,0.024,-0.382,0.04,-0.266,-0.001
DVU2894,-0.316,-0.003,-0.166,-0.038,-0.24,-0.029,-0.234,0.005
DVU2895,-0.385,0.095,-0.131,-0.013,-0.296,0.049,-0.224,0.01
DVU2896,-0.328,-0.019,-0.183,-0.033,-0.248,-0.022,-0.286,-0.025
DVU2897,-0.405,0.044,-0.22,0.011,-0.315,0.024,-0.338,0.032
DVU2898,-0.313,-0.015,-0.167,-0.003,-0.232,-0.018,-0.272,0.018
DVU2899,-0.36,0.004,-0.202,-0.039,-0.307,-0.004,-0.282,-0.015
DVU2900,-0.373,0.03,-0.191,0.015,-0.294,0.036,-0.281,0.023
DVU2901,-0.334,0.018,-0.184,0.01,-0.251,0.033,-0.252,0.014
DVU2902,-0.377,0.008,-0.199,0.014,-0.271,0.02,-0.307,0.016
DVU2903,-0.392,-0.001,-0.232,0.008,-0.293,0.015,-0.325,0.004
DVU2904,-0.298,-0.031,-0.158,-0.012,-0.203,-0.022,-0.232,-0.012
DVU2905,-0.402,0.046,-0.192,0.024,-0.337,0.066,-0.285,0.036
DVU2906,-0.407,0.06,-0.199,0.044,-0.332,0.077,-0.294,0.06
DVU2907,-0.354,-0.037,-0.166,0.014,-0.293,0.035,-0.233,-0.016
DVU2908,-0.383,0.023,-0.183,0.043,-0.338,0.071,-0.276,0.025
DVU2909,-0.416,-0.029,-0.182,0.072,-0.288,-0.012,-0.342,0.068
DVU2910,-0.375,-0.008,-0.205,-0.007,-0.302,-0.009,-0.287,0.028
DVU2911,-0.368,0.023,-0.198,0.018,-0.326,0.049,-0.24,-0.001
DVU2912,-0.343,-0.024,-0.224,-0.04,-0.248,-0.062,-0.351,0.041
DVU2913,-0.367,-0.032,-0.212,0.015,-0.256,-0.012,-0.311,0.033
DVU2914,-0.323,-0.044,-0.192,-0.019,-0.208,-0.06,-0.286,0.015
DVU2915,-0.407,0.105,-0.192,-0.016,-0.289,0.027,-0.358,0.061
DVU2916,-0.327,0.007,-0.189,0.021,-0.232,-0.005,-0.291,0.06
DVU2917,-0.341,-0.031,-0.193,0.001,-0.258,-0.015,-0.297,0.018
DVU2918,-0.506,0.127,-0.246,0.073,-0.374,0.085,-0.423,0.129
DVU2919,-0.37,0.05,-0.179,0.033,-0.269,0.059,-0.305,0.024
DVU2920,-0.359,-0.105,-0.217,-0.04,-0.254,-0.074,-0.304,-0.033
DVU2921,-0.334,-0.095,-0.243,-0.016,-0.319,-0.096,-0.292,-0.014
DVU2922,-0.235,-0.072,-0.134,-0.018,-0.146,-0.068,-0.17,-0.023
DVU2923,-0.282,-0.064,-0.159,-0.026,-0.199,-0.048,-0.24,-0.003
DVU2924,-0.242,-0.103,-0.151,-0.068,-0.175,-0.097,-0.194,-0.061
DVU2925,-0.28,-0.124,-0.202,-0.05,-0.191,-0.093,-0.252,-0.074
DVU2926,-0.244,-0.107,-0.19,-0.044,-0.18,-0.057,-0.222,-0.068
DVU2927,-0.171,-0.155,-0.156,-0.092,-0.127,-0.133,-0.166,-0.087
DVU2928,-0.34,-0.037,-0.184,-0.014,-0.236,-0.015,-0.268,-0.013
DVU2929,-0.353,-0.048,-0.201,-0.015,-0.24,-0.039,-0.291,-0.008
DVU2930,-0.348,0.015,-0.168,0.082,-0.259,0.069,-0.237,0.063
DVU2931,-0.337,-0.021,-0.182,-0.001,-0.259,-0.013,-0.262,0.011
DVU2932,-0.36,-0.019,-0.174,-0.006,-0.251,-0.02,-0.282,0.011
DVU2933,-0.386,0.019,-0.215,0.023,-0.306,0.027,-0.304,0.039
DVU2934,-0.327,0,-0.175,-0.001,-0.263,0.001,-0.244,0.013
DVU2935,-0.399,0.084,-0.188,0.036,-0.329,0.066,-0.309,0.069
DVU2936,-0.39,-0.065,-0.278,-0.022,-0.334,-0.024,-0.333,-0.038
DVU2937,-0.311,-0.05,-0.185,-0.035,-0.239,-0.046,-0.263,-0.027
DVU2938,-0.355,-0.032,-0.184,-0.03,-0.256,-0.036,-0.288,-0.019
DVU2939,-0.334,0.017,-0.17,0,-0.308,0.006,-0.241,0.021
DVU2940,-0.326,0.015,-0.2,0.01,-0.291,0.021,-0.25,0.039
DVU2941,-0.432,0,-0.243,-0.069,-0.341,-0.021,-0.335,-0.014
DVU2942,-0.33,-0.034,-0.182,-0.01,-0.205,-0.041,-0.287,0.014
DVU2943,-0.335,-0.065,-0.184,-0.036,-0.229,-0.05,-0.306,-0.002
DVU2944,-0.391,0.053,-0.193,0.028,-0.28,0.023,-0.325,0.053
DVU2945,-0.347,-0.002,-0.166,0.002,-0.257,0.01,-0.251,-0.012
DVU2946,-0.316,-0.029,-0.186,-0.007,-0.26,0.039,-0.252,-0.034
DVU2947,-0.345,0.004,-0.188,0.005,-0.273,0.013,-0.262,0.001
DVU2948,-0.379,-0.04,-0.232,-0.025,-0.292,-0.025,-0.309,-0.001
DVU2949,-0.348,0.027,-0.188,-0.024,-0.261,-0.003,-0.297,0.007
DVU2951,-0.343,0.01,-0.194,0.003,-0.26,0.027,-0.302,0.015
DVU2952,-0.414,0.008,-0.24,0.032,-0.403,0.04,-0.291,0.028
DVU2953,-0.382,0.069,-0.174,0.038,-0.277,0.058,-0.295,0.068
DVU2954,-0.415,0.057,-0.198,0.014,-0.321,0.029,-0.326,0.052
DVU2955,-0.297,0.003,-0.142,0.061,-0.186,-0.024,-0.248,0.052
DVU2956,-0.281,-0.031,-0.154,-0.031,-0.23,-0.007,-0.217,-0.026
DVU2957,-0.426,0,-0.221,0.057,-0.272,0.021,-0.374,0.1
DVU2958,-0.301,-0.081,-0.192,-0.068,-0.222,-0.048,-0.257,-0.066
DVU2959,-0.457,0.064,-0.233,0.005,-0.32,0.024,-0.391,0.06
DVU2960,-0.332,0.021,-0.175,0,-0.23,0.007,-0.281,0.034
DVU2961,-0.345,-0.094,-0.16,-0.004,-0.227,-0.048,-0.261,-0.046
DVU2962,-0.341,-0.051,-0.187,-0.04,-0.216,-0.051,-0.297,-0.006
DVU2963,-0.367,0.032,-0.183,0.013,-0.276,0.013,-0.262,0.047
DVU2964,-0.295,0.03,-0.158,0.012,-0.245,-0.003,-0.231,0.034
DVU2965,-0.377,0.019,-0.22,0.035,-0.337,0.035,-0.302,0.05
DVU2966,-0.35,0.022,-0.186,0.018,-0.277,0.016,-0.267,0.05
DVU2967,-0.363,0.003,-0.197,0.008,-0.288,0.013,-0.25,0.009
DVU2968,-0.364,0.02,-0.196,0.005,-0.315,0.047,-0.241,0.003
DVU2969,-0.387,0.026,-0.208,0.009,-0.291,0.025,-0.315,0.03
DVU2970,-0.354,-0.022,-0.201,-0.013,-0.302,0.018,-0.258,-0.032
DVU2971,-0.406,0.008,-0.215,0.009,-0.318,0.016,-0.319,0.005
DVU2972,-0.353,0.004,-0.2,-0.02,-0.285,0.005,-0.26,-0.018
DVU2973,-0.223,-0.116,-0.123,0.039,-0.163,-0.025,-0.17,-0.069
DVU2974,-0.386,0.003,-0.17,0.039,-0.259,-0.023,-0.299,0.056
DVU2975,-0.355,0.012,-0.167,-0.006,-0.287,0.017,-0.271,0.017
DVU2976,-0.328,0.005,-0.18,-0.018,-0.261,0.029,-0.26,-0.01
DVU2977,-0.41,-0.02,-0.222,-0.067,-0.304,-0.082,-0.349,0.041
DVU2978,-0.352,-0.002,-0.202,-0.003,-0.241,-0.004,-0.318,0.025
DVU2979,-0.362,0.016,-0.182,-0.013,-0.239,0.016,-0.293,0.036
DVU2980,-0.4,0.062,-0.195,0.052,-0.291,0.054,-0.327,0.066
DVU2981,-0.372,-0.014,-0.222,-0.022,-0.279,-0.022,-0.32,0.003
DVU2982,-0.379,-0.005,-0.221,-0.024,-0.295,-0.006,-0.295,-0.004
DVU2983,-0.405,-0.002,-0.236,-0.016,-0.342,0.01,-0.305,0.028
DVU2984,-0.384,0.051,-0.2,0.034,-0.32,0.047,-0.295,0.041
DVU2985,-0.397,0.004,-0.221,-0.025,-0.315,-0.007,-0.304,0.009
DVU2986,-0.341,-0.012,-0.197,-0.031,-0.346,0.026,-0.205,-0.047
DVU2987,-0.391,-0.045,-0.239,-0.012,-0.343,0.035,-0.239,-0.025
DVU2988,-0.359,0.076,-0.181,0.019,-0.255,0.026,-0.259,0.082
DVU2989,-0.321,0.008,-0.179,-0.001,-0.256,0.007,-0.267,0.009
DVU2990,-0.361,0.029,-0.175,0.001,-0.286,0.028,-0.274,0.029
DVU2991,-0.432,0.078,-0.197,0.036,-0.299,0.061,-0.351,0.077
DVU2992,-0.37,0.008,-0.199,-0.019,-0.29,0.004,-0.286,0.002
DVU2993,-0.387,0.05,-0.196,0.02,-0.291,0.04,-0.308,0.055
DVU2994,-0.37,0.009,-0.191,-0.018,-0.291,-0.014,-0.29,0.026
DVU2995,-0.384,0.062,-0.205,-0.005,-0.307,0.048,-0.305,0.022
DVU2996,-0.398,0.063,-0.214,0.025,-0.334,0.101,-0.289,0.011
DVU2997,-0.416,0.078,-0.222,0.017,-0.371,0.074,-0.302,0.041
DVU2998,-0.4,0.027,-0.186,0.023,-0.319,0.049,-0.305,0.022
DVU2999,-0.395,0.024,-0.203,-0.001,-0.336,0.052,-0.267,-0.021
DVU3000,-0.368,0.034,-0.197,0.02,-0.323,0.026,-0.26,0.041
DVU3001,-0.42,0.056,-0.225,0.029,-0.342,0.054,-0.344,0.042
DVU3002,-0.354,0.033,-0.187,0.003,-0.309,0.044,-0.257,0.002
DVU3003,-0.325,-0.01,-0.202,-0.015,-0.272,-0.008,-0.261,-0.014
DVU3004,-0.325,-0.043,-0.181,-0.028,-0.231,-0.029,-0.269,-0.03
DVU3005,-0.342,0.011,-0.196,-0.024,-0.283,-0.022,-0.28,0.022
DVU3006,-0.371,0.04,-0.18,0.015,-0.297,0.04,-0.27,0.032
DVU3007,-0.411,0.056,-0.205,0.027,-0.324,0.026,-0.327,0.07
DVU3008,-0.333,-0.014,-0.179,0.003,-0.244,0.005,-0.28,0.012
DVU3009,-0.327,0.01,-0.178,0.04,-0.26,0.028,-0.246,0.007
DVU3010,-0.414,0.102,-0.208,0.051,-0.286,0.079,-0.353,0.085
DVU3011,-0.379,0.096,-0.196,0.042,-0.294,0.082,-0.303,0.075
DVU3012,-0.353,0.018,-0.169,-0.017,-0.264,0.003,-0.294,0.017
DVU3013,-0.339,0,-0.204,-0.014,-0.28,0.004,-0.261,-0.004
DVU3014,-0.361,0.043,-0.191,0.034,-0.282,0.051,-0.279,0.04
DVU3015,-0.35,0.076,-0.179,0.023,-0.305,0.079,-0.229,0.036
DVU3016,-0.399,0.036,-0.203,0.03,-0.295,0.038,-0.302,0.029
DVU3017,-0.384,0.024,-0.214,0.01,-0.345,0.011,-0.296,0.032
DVU3018,-0.383,0.02,-0.193,0.036,-0.281,0.058,-0.273,0.022
DVU3019,-0.367,0.037,-0.199,0.001,-0.296,0.041,-0.272,0.022
DVU3020,-0.365,-0.001,-0.21,0.039,-0.342,0.092,-0.244,-0.03
