kmer_2_AA,kmer_2_AC,kmer_2_AG,kmer_2_AT,kmer_2_CA,kmer_2_CC,kmer_2_CG,kmer_2_CT,kmer_2_GA,kmer_2_GC,kmer_2_GG,kmer_2_GT,kmer_2_TA,kmer_2_TC,kmer_2_TG,kmer_2_TT
DVU2614,24,43,34,19,50,75,65,41,36,76,36,24,10,37,37,10
DVU2615,28,49,42,48,71,72,87,48,47,87,65,38,21,70,43,32
DVU2616,130,210,168,145,238,222,299,181,237,283,237,124,48,225,177,78
DVU2617,33,59,43,57,95,129,125,92,44,141,84,65,20,112,82,39
DVU2618,10,21,6,4,22,23,16,7,8,18,8,2,1,6,6,6
DVU2619,17,59,33,32,64,91,83,41,42,78,33,30,17,51,35,22
DVU2620,35,79,48,38,91,141,133,70,64,136,80,50,10,79,69,37
DVU2621,39,46,51,36,74,88,70,42,48,84,62,35,10,56,47,24
DVU2622,11,10,11,5,9,14,19,6,13,20,34,11,5,4,13,3
DVU2623,15,30,16,18,34,31,41,16,27,41,23,7,3,20,18,7
DVU2624,22,36,26,23,38,32,55,24,37,44,51,26,10,37,26,10
DVU2625,4,6,4,4,7,6,8,10,5,10,4,7,3,9,10,4
DVU2626,15,17,12,6,12,9,19,16,18,17,15,10,5,13,14,8
DVU2627,13,23,21,7,18,19,40,27,25,40,41,28,8,22,32,13
DVU2628,22,31,28,20,28,57,56,40,38,60,60,30,13,33,44,18
DVU2629,12,41,17,32,43,47,55,36,35,63,45,19,13,30,44,19
DVU2630,18,49,50,30,71,112,100,41,48,96,79,46,10,67,40,18
DVU2631,5,20,15,17,16,26,38,13,25,35,57,32,10,12,40,10
DVU2632,11,14,12,7,16,28,33,7,15,35,27,8,1,7,14,1
DVU2633,29,58,46,26,58,62,81,42,60,75,65,40,13,48,48,22
DVU2634,2,19,9,15,21,29,26,16,18,27,11,9,5,17,19,8
DVU2635,38,68,50,42,76,112,133,68,71,136,104,48,14,73,71,29
DVU2636,36,42,53,35,45,93,152,47,72,145,152,94,13,57,106,27
DVU2637,45,72,82,73,84,98,160,73,113,149,175,93,31,96,112,52
DVU2638,16,29,40,38,35,69,120,74,62,132,154,76,10,68,110,55
DVU2639,16,12,18,12,19,35,29,20,16,34,18,15,6,22,19,11
DVU2640,20,60,23,21,55,83,87,57,38,88,52,32,11,51,48,14
DVU2641,24,55,28,26,51,86,93,44,46,81,60,28,12,52,34,14
DVU2642,18,36,19,15,32,39,55,27,32,44,29,22,5,34,25,11
DVU2643,72,146,104,70,147,168,222,116,140,182,129,90,33,157,86,51
DVU2644,29,54,29,34,65,49,60,39,39,57,44,34,13,53,41,31
DVU2645,36,73,49,67,111,115,138,93,51,155,129,87,26,114,107,49
DVU2646,44,53,51,42,77,92,83,62,53,101,93,54,16,68,74,35
DVU2647,21,22,25,19,44,42,30,23,15,39,25,13,6,36,13,16
DVU2648,12,19,16,11,24,29,24,26,18,29,26,18,5,26,25,18
DVU2649,19,16,15,11,17,23,25,16,20,30,13,10,5,12,20,8
DVU2650,24,43,26,28,38,41,53,37,41,43,38,46,18,42,52,35
DVU2651,14,6,4,16,11,4,13,11,10,16,14,8,5,13,17,14
DVU2652,29,31,26,37,32,36,59,32,46,45,36,36,16,47,42,31
DVU2653,13,12,12,12,21,15,14,8,7,20,8,9,8,11,11,19
DVU2654,27,18,10,14,28,26,16,18,10,20,8,10,5,24,13,10
DVU2655,84,90,90,49,125,97,117,81,77,139,99,59,26,94,69,29
DVU2656,7,12,17,7,16,14,21,12,18,29,24,10,2,8,19,8
DVU2657,14,23,17,14,22,30,35,21,26,30,30,24,6,25,28,17
DVU2658,18,36,34,26,36,63,64,42,46,62,58,35,13,44,46,27
DVU2659,15,37,25,41,50,52,73,35,45,78,84,45,8,43,70,27
DVU2660,7,7,10,10,14,3,11,4,7,12,12,17,6,10,16,15
DVU2661,40,116,50,49,117,198,182,117,75,180,121,52,23,120,75,50
DVU2662,32,59,39,32,60,59,73,50,53,73,62,31,18,51,44,28
DVU2663,16,36,15,15,29,28,53,26,31,51,51,35,6,21,49,14
DVU2664,16,47,24,34,47,59,105,53,51,95,94,63,7,63,80,28
DVU2665,10,35,22,29,44,62,84,74,36,115,107,63,7,52,107,37
DVU2666,14,34,22,31,44,57,81,74,33,97,105,65,11,68,91,48
DVU2667,26,50,37,36,67,83,112,40,39,102,83,53,17,67,45,21
DVU2668,54,92,69,52,112,126,153,67,82,155,123,64,19,85,79,35
DVU2669,21,16,17,6,12,17,24,18,22,24,12,8,4,14,14,7
DVU2670,18,14,23,5,15,16,22,19,24,30,19,10,3,12,19,14
DVU2671,92,99,120,66,131,140,175,65,129,162,116,58,25,110,54,17
DVU2672,9,38,15,20,35,46,79,46,29,82,64,37,9,40,54,20
DVU2673,29,76,47,50,87,122,145,61,69,135,102,56,17,82,68,23
DVU2674,21,47,27,24,51,83,81,44,38,85,60,34,9,44,49,22
DVU2675,23,31,40,12,33,42,67,37,46,73,96,53,5,33,64,28
DVU2676,17,20,16,16,21,18,25,10,25,23,17,13,6,13,20,6
DVU2677,55,112,54,60,113,127,180,93,97,142,98,69,16,132,74,41
DVU2678,23,91,49,34,84,150,149,67,82,148,121,43,8,61,75,17
DVU2679,77,165,139,127,183,229,350,152,209,345,338,164,39,175,229,96
DVU2680,18,31,21,16,24,34,54,31,36,39,42,19,7,39,20,15
DVU2681,6,5,10,6,10,19,20,12,9,24,17,10,2,13,13,6
DVU2682,14,33,15,37,44,46,65,46,30,66,56,37,11,56,53,32
DVU2683,30,75,49,74,120,142,158,120,55,185,137,81,22,138,115,49
DVU2684,25,39,34,31,45,72,98,43,47,86,84,85,12,61,86,24
DVU2685,20,16,6,11,19,13,19,15,7,22,10,11,8,15,15,26
DVU2686,60,32,48,49,36,38,60,45,65,72,57,43,28,37,72,40
DVU2687,30,48,25,9,41,33,51,39,36,61,48,22,6,22,42,17
DVU2688,69,151,83,66,138,226,271,91,131,274,166,85,30,75,137,49
DVU2689,32,50,45,28,65,68,86,31,47,99,80,40,10,33,56,15
DVU2690,26,38,26,22,40,56,59,38,35,80,56,19,11,19,49,13
DVU2691,31,46,28,16,40,61,48,28,47,49,46,20,3,21,40,9
DVU2692,7,14,8,10,17,19,29,11,12,30,27,12,3,13,17,7
DVU2693,12,10,21,9,6,16,17,16,26,16,23,13,7,13,18,16
DVU2694,19,25,15,11,27,54,44,25,20,56,46,21,4,15,38,14
DVU2695,27,20,29,15,25,35,37,18,30,52,46,20,9,8,36,9
DVU2696,25,29,25,14,23,47,51,28,30,57,40,32,14,16,44,13
DVU2697,33,24,24,17,23,16,17,26,24,25,12,15,18,17,23,24
DVU2698,3,15,8,18,25,34,40,25,9,51,35,21,7,24,33,14
DVU2699,16,35,21,17,41,83,73,38,20,93,72,32,11,24,52,19
DVU2700,13,26,19,15,20,54,51,32,30,60,22,10,9,17,31,10
DVU2701,4,14,8,0,10,38,24,14,9,28,25,12,3,6,17,6
DVU2702,15,23,10,10,19,19,29,20,20,32,21,12,4,13,25,9
DVU2703,13,10,8,8,11,12,22,11,12,26,34,12,3,8,20,5
DVU2704,22,36,24,12,29,58,65,29,36,70,48,18,7,17,35,12
DVU2705,48,112,84,54,128,188,177,86,101,219,149,64,21,60,123,62
DVU2706,57,114,78,53,118,172,196,100,109,239,174,55,17,61,130,45
DVU2707,57,89,72,34,100,126,135,56,75,161,124,53,19,41,83,25
DVU2708,14,27,22,21,39,56,56,14,24,60,61,23,7,22,29,13
DVU4026,69,19,35,62,41,15,11,30,33,27,17,21,41,36,36,43
DVU2710,40,84,47,32,84,155,156,55,69,160,97,38,9,51,65,18
DVU2711,31,73,36,22,74,112,107,52,43,121,80,42,13,39,64,20
DVU2712,11,25,20,6,20,53,46,12,25,48,25,9,6,5,16,2
DVU2713,6,27,19,14,28,48,56,21,24,68,52,14,8,10,31,5
DVU2714,17,44,27,17,44,84,70,33,34,85,57,27,10,18,49,13
DVU2715,8,13,10,8,8,23,24,6,15,20,16,8,8,5,9,4
DVU2716,41,87,58,38,103,174,182,64,66,202,128,74,15,60,101,28
DVU2717,124,40,59,63,50,23,28,41,68,37,38,40,44,42,58,72
DVU2718,12,12,6,16,11,11,5,11,8,7,7,5,16,8,9,8
DVU2719,30,28,23,18,25,30,37,12,33,33,34,19,10,13,26,3
DVU2720,12,17,26,14,27,31,31,17,26,45,29,8,4,13,22,7
DVU2721,79,104,101,57,142,173,221,79,108,270,264,85,12,68,141,36
DVU2722,36,91,59,26,87,187,169,71,71,186,121,54,18,50,83,31
DVU2723,26,77,50,28,80,113,145,40,70,155,136,57,5,33,87,22
DVU2724,22,41,39,22,54,65,58,25,39,69,80,24,9,27,35,17
DVU2725,54,15,29,41,24,20,15,25,32,24,18,29,30,25,40,28
DVU2727,8,32,16,12,31,40,43,19,19,44,25,14,9,17,19,8
DVU2728,21,84,36,25,83,133,135,50,49,147,111,43,13,37,68,26
DVU2729,12,33,18,14,32,68,84,33,26,94,67,24,8,22,41,17
DVU2730,33,71,38,33,62,77,110,42,59,100,85,40,20,43,52,25
DVU2731,19,43,25,13,33,66,59,25,38,62,54,25,10,12,41,14
DVU2732,13,17,14,7,15,26,17,8,21,18,11,8,2,5,16,2
DVU2733,38,50,43,29,61,74,75,34,46,89,67,30,15,31,48,19
DVU4022,24,70,31,38,91,137,138,51,40,148,98,45,7,62,65,25
DVU2735,47,97,63,51,105,140,147,68,88,148,100,53,18,75,79,19
DVU2736,13,20,15,20,33,48,51,41,15,71,72,19,6,34,40,11
DVU2737,28,55,31,28,47,87,88,42,57,83,74,30,9,39,52,14
DVU2738,91,174,131,95,220,230,274,105,157,267,190,111,23,158,130,49
DVU2739,79,229,108,109,226,299,376,193,180,340,257,147,41,226,183,93
DVU2740,29,49,39,28,46,53,79,49,56,78,56,34,13,47,51,18
DVU2741,25,55,36,43,69,58,71,45,52,71,70,33,13,59,49,18
DVU2742,29,54,32,56,79,79,106,81,43,103,96,71,19,109,80,39
DVU2743,20,44,24,50,66,77,94,65,34,89,87,56,19,92,60,43
DVU2744,57,74,63,43,91,117,124,66,77,112,77,58,12,95,60,31
DVU2745,13,5,2,11,9,1,2,5,4,4,4,6,6,7,10,9
DVU2746,28,62,38,44,82,108,91,51,53,104,87,38,9,58,66,25
DVU2747,111,219,147,113,260,281,325,203,180,350,224,124,39,219,182,67
DVU2748,11,51,33,28,53,58,94,39,50,97,93,41,10,38,60,17
DVU2749,21,66,43,39,62,137,193,91,72,185,159,113,15,95,134,35
DVU2750,25,67,38,31,66,100,165,61,61,164,138,65,9,61,87,31
DVU2751,11,34,15,24,35,46,64,41,26,58,42,39,13,48,43,21
DVU2752,33,37,32,18,34,55,45,33,44,41,31,26,8,34,35,15
DVU2753,23,61,33,26,70,91,101,41,46,114,76,29,4,37,55,20
DVU2754,17,52,29,40,59,91,123,49,47,120,112,65,14,59,81,19
DVU2755,14,38,28,39,50,97,95,48,46,99,99,39,8,56,62,24
DVU2756,30,77,52,45,96,104,126,63,65,136,92,49,13,72,72,26
DVU2757,28,83,46,45,82,135,132,70,69,131,79,43,22,70,66,26
DVU2758,13,61,32,31,59,109,95,58,49,98,54,36,16,53,56,22
DVU2759,3,5,5,13,9,15,11,9,3,13,7,10,12,11,10,10
DVU2760,19,50,14,22,50,84,75,31,26,74,45,25,10,32,36,18
DVU2761,2,9,4,6,9,15,17,21,5,20,14,11,4,18,16,14
DVU2762,8,30,24,27,41,64,95,89,31,119,121,55,9,76,86,45
DVU2763,77,136,126,76,144,261,310,167,159,340,271,147,34,145,211,71
DVU2764,15,32,18,23,40,47,66,28,27,67,47,22,6,35,32,13
DVU2765,21,58,19,18,51,77,77,43,34,62,48,18,9,51,19,21
DVU2766,3,13,9,7,12,16,20,7,14,19,18,6,3,7,10,3
DVU2767,12,48,23,17,51,60,76,46,28,82,44,25,9,43,36,14
DVU2768,20,65,20,33,67,138,104,59,38,115,52,34,12,50,64,25
DVU2769,40,52,41,25,61,85,82,39,47,80,70,35,9,50,40,26
DVU2770,21,29,21,16,28,33,42,17,32,34,22,26,6,24,29,18
DVU2771,26,54,59,33,93,100,100,51,43,122,83,42,10,68,48,33
DVU2772,23,77,51,38,67,103,151,69,86,144,153,104,13,66,132,45
DVU2773,22,59,29,41,69,54,74,66,38,73,78,60,21,77,69,36
DVU2774,36,46,34,39,55,59,81,27,57,58,34,38,6,59,39,15
DVU2775,12,16,14,12,18,15,23,12,20,24,23,20,5,13,26,22
DVU2776,22,20,22,11,16,33,25,27,29,22,23,10,7,26,15,9
DVU2777,12,13,11,16,16,13,26,11,23,28,27,16,2,12,30,10
DVU2778,13,18,18,18,22,19,16,17,27,24,19,7,5,13,24,12
DVU2779,39,75,58,50,85,131,146,74,83,155,152,79,15,75,113,55
DVU2780,24,42,29,38,56,45,86,67,35,87,84,60,18,80,67,57
DVU2781,15,32,28,27,39,47,60,27,37,61,46,37,11,33,47,19
DVU2782,3,6,2,11,6,17,14,14,10,13,14,11,4,15,17,7
DVU2783,13,34,22,36,58,56,85,58,16,101,82,57,17,66,68,31
DVU2784,31,55,42,40,68,98,123,50,57,126,103,59,11,60,78,24
DVU2785,27,42,42,31,52,55,91,38,60,87,48,25,3,52,39,21
DVU2786,11,7,4,9,10,7,3,2,7,5,9,4,3,3,9,5
DVU2787,11,30,15,17,29,42,44,35,22,43,39,31,11,35,37,17
DVU2788,9,27,13,13,24,31,37,27,25,36,22,22,5,25,32,14
DVU2789,12,31,13,27,47,43,42,52,17,65,57,21,7,45,48,24
DVU2790,13,5,7,11,8,4,5,5,8,8,12,11,7,5,16,15
DVU2791,39,69,43,21,74,92,75,31,50,78,47,44,9,33,54,20
DVU2792,54,87,61,32,87,122,133,68,80,111,96,75,12,90,73,24
DVU2793,22,52,28,43,75,96,101,66,37,113,93,48,10,77,70,25
DVU2794,25,32,28,29,49,57,66,25,33,56,49,30,6,52,26,12
DVU2795,22,29,25,31,55,60,63,51,24,81,65,33,5,59,51,17
DVU2796,11,26,19,38,48,44,54,43,22,56,46,33,12,63,39,21
DVU2797,38,54,33,23,53,83,110,56,46,106,69,59,11,59,68,19
DVU2798,22,68,35,31,79,112,129,57,50,120,100,51,5,77,57,17
DVU2799,11,27,27,17,31,23,37,27,33,37,44,23,7,31,29,12
DVU2800,50,99,70,80,110,134,215,97,112,203,227,136,27,120,166,55
DVU2801,39,92,60,51,105,135,128,96,78,158,113,48,20,79,96,36
DVU2802,24,54,35,20,47,59,92,38,52,88,62,27,9,35,41,12
DVU2803,45,90,47,67,115,115,125,107,63,142,108,83,26,115,116,45
DVU2804,58,97,62,40,102,105,105,73,73,95,99,54,24,88,55,27
DVU2805,40,142,72,60,146,242,243,109,117,242,154,79,11,114,123,52
DVU2806,15,43,20,26,47,105,92,50,32,105,67,28,9,41,54,15
DVU2807,14,25,15,12,31,39,50,19,18,50,45,25,3,25,28,11
DVU2808,12,36,21,12,37,64,65,24,28,60,38,29,3,30,32,18
DVU2809,21,32,26,24,45,50,38,14,27,45,25,21,9,20,30,7
DVU2810,29,43,41,38,48,79,99,57,65,118,100,55,9,43,98,25
DVU2811,31,41,41,29,50,71,61,31,51,65,44,33,9,36,48,18
DVU2813,6,4,2,10,2,5,3,7,5,4,0,8,10,4,11,17
DVU2814,4,10,6,10,16,24,17,7,8,18,11,9,3,12,11,7
DVU2815,36,94,90,48,112,128,188,79,94,209,166,97,25,76,123,45
DVU2816,92,188,143,126,254,285,344,186,164,364,303,186,39,232,227,79
DVU2817,42,69,67,33,81,127,156,53,73,150,122,84,14,71,85,26
DVU2818,6,11,12,10,17,18,15,10,11,23,15,19,5,8,26,12
DVU2819,21,34,32,27,38,71,62,45,35,67,43,23,19,44,32,15
DVU2820,34,53,38,41,68,83,94,38,45,91,56,44,18,56,49,28
DVU2821,10,5,13,7,11,17,17,10,14,25,37,13,1,8,21,12
DVU2822,60,70,67,42,95,104,99,57,71,116,53,27,12,65,49,23
DVU2823,37,82,63,93,145,203,173,136,66,192,127,90,26,180,113,49
DVU2824,122,196,132,77,201,285,274,149,166,257,126,111,38,171,128,53
DVU2825,34,68,40,34,72,103,107,54,57,98,57,46,13,67,54,19
DVU2826,30,29,19,25,39,27,25,17,22,28,9,13,12,24,19,18
DVU2827,72,90,91,69,127,111,144,69,95,150,91,67,28,100,77,40
DVU2828,36,91,58,44,93,111,133,81,82,159,81,37,18,57,87,16
DVU2829,13,13,16,7,10,23,27,15,18,25,19,14,7,14,15,6
DVU2830,8,15,31,10,19,25,37,17,33,40,45,23,4,18,28,12
DVU2831,7,8,16,4,16,16,23,6,10,29,19,14,2,8,14,2
DVU2832,17,19,32,22,39,32,49,20,31,57,44,24,3,32,31,9
DVU2833,15,28,22,16,27,19,31,22,28,38,15,10,10,14,24,10
DVU2834,10,18,18,15,25,29,25,27,20,38,28,15,6,21,30,13
DVU2835,15,13,14,14,21,23,22,20,12,31,13,13,7,19,21,14
DVU2836,34,28,25,19,27,29,42,28,37,40,17,23,9,29,33,26
DVU2837,62,81,74,51,86,91,95,62,97,87,51,41,23,75,56,41
DVU2838,114,92,76,118,111,54,72,77,96,85,57,42,80,83,74,106
DVU2839,52,42,37,30,41,25,27,39,42,36,23,16,26,29,30,29
DVU2840,60,19,44,58,35,17,22,44,48,40,63,44,38,42,66,61
DVU2841,55,58,72,60,65,74,85,81,95,102,100,68,30,71,108,75
DVU2842,53,58,68,47,70,90,74,74,78,86,92,52,25,74,74,61
DVU2843,27,21,24,26,36,23,28,26,28,38,39,11,7,31,25,20
DVU2844,47,53,53,45,73,74,52,60,58,79,53,31,20,53,63,49
DVU2845,24,40,18,23,44,42,40,23,30,43,20,13,7,24,28,9
DVU2846,11,8,12,14,18,7,7,7,8,17,11,9,8,7,15,14
DVU2847,9,17,17,11,19,28,37,21,14,47,29,20,13,13,27,7
DVU2848,18,39,24,19,30,63,60,27,40,60,54,25,11,18,42,9
DVU2849,37,56,43,35,65,61,92,28,55,94,80,41,13,35,56,24
DVU2850,12,36,25,18,38,72,71,40,32,86,70,28,8,27,51,12
DVU2851,17,50,46,29,61,114,137,56,49,151,125,61,14,53,79,19
DVU2852,9,27,22,9,25,45,56,32,29,64,58,24,4,22,39,11
DVU2853,13,47,25,16,42,69,82,37,40,72,71,28,6,42,33,15
DVU2854,28,57,67,38,74,101,139,56,76,153,114,58,12,59,81,20
DVU2855,14,62,49,34,62,131,162,66,63,166,121,70,20,62,88,29
DVU2856,53,89,86,46,104,101,166,80,102,169,186,74,14,92,94,34
DVU2857,9,18,17,9,22,27,21,15,19,26,20,13,2,14,21,7
DVU2858,14,22,27,11,29,20,48,15,26,44,36,21,5,26,16,5
DVU2859,43,98,60,47,113,170,151,88,72,185,136,71,20,69,117,23
DVU2860,5,13,13,5,14,29,19,10,15,25,13,6,1,5,15,3
DVU2861,9,40,21,20,33,65,69,38,41,60,44,25,7,40,36,9
DVU2862,8,20,19,10,25,30,31,21,22,41,29,15,2,16,28,9
DVU2863,26,29,41,26,36,45,58,33,48,56,65,29,12,42,34,13
DVU2864,3,9,8,2,7,13,17,9,12,19,13,9,1,5,14,2
DVU2865,12,26,22,14,27,42,48,24,27,51,38,18,8,22,26,5
DVU2866,8,23,17,23,30,53,63,39,27,72,55,28,6,37,47,20
DVU2867,14,20,18,12,23,42,51,38,21,55,43,39,6,37,46,23
DVU2868,14,19,20,9,15,42,37,17,30,40,40,15,3,10,28,8
DVU2869,35,67,56,23,58,120,111,75,69,109,78,39,18,68,51,27
DVU2870,10,21,15,16,28,40,54,19,19,51,29,19,4,29,21,8
DVU2871,40,73,71,43,86,155,152,70,85,176,122,48,15,59,87,37
DVU2872,36,100,87,48,117,161,186,108,93,196,180,86,25,115,102,60
DVU2873,11,16,12,10,17,22,35,18,12,39,22,13,8,15,18,7
DVU2874,22,16,21,19,17,23,34,28,26,37,53,31,12,26,40,23
DVU2875,16,11,13,12,15,5,14,13,16,21,23,11,5,10,21,12
DVU2876,66,118,96,79,135,173,202,103,119,222,171,79,40,100,121,62
DVU2877,47,40,58,26,49,53,62,39,67,77,58,31,8,33,55,19
DVU2878,43,86,62,57,84,98,133,89,100,143,141,68,21,77,116,40
DVU2879,48,79,77,39,102,163,166,93,75,202,164,87,18,80,121,42
DVU2880,9,9,3,13,12,6,9,5,9,10,8,5,4,7,12,7
DVU2881,67,95,99,61,99,139,183,109,130,188,128,85,25,108,122,47
DVU2882,32,106,45,59,115,186,175,100,81,173,119,50,14,111,84,46
DVU2883,42,101,51,28,83,161,188,88,86,174,114,70,11,84,91,37
DVU2884,52,101,76,39,95,161,166,81,95,161,104,63,26,80,77,26
DVU2885,28,69,47,39,85,137,141,76,62,154,103,54,8,79,82,29
DVU2886,22,59,32,23,64,90,100,45,39,97,77,50,11,53,54,23
DVU2887,15,58,26,30,63,90,113,76,45,123,106,48,7,71,76,21
DVU2888,15,44,29,28,43,68,97,49,48,101,96,53,10,44,76,26
DVU2889,5,18,11,21,24,51,67,38,20,72,66,39,6,39,53,18
DVU2890,26,73,20,23,50,96,120,54,54,102,89,41,11,49,58,12
DVU2891,18,44,21,17,45,37,42,29,28,38,19,13,8,34,17,9
DVU2892,30,52,51,24,62,82,87,39,55,81,54,48,10,55,46,24
DVU2893,12,32,17,19,32,27,49,12,33,43,37,13,3,18,23,7
DVU2894,47,74,54,37,77,109,121,56,80,112,87,41,8,68,58,20
DVU2895,13,31,19,6,25,24,35,13,31,28,31,9,0,14,14,9
DVU2896,136,246,172,88,262,403,363,180,197,382,252,108,48,177,152,64
DVU2897,23,63,32,30,70,123,126,57,44,136,83,48,11,54,70,19
DVU2898,34,75,58,21,72,110,118,63,65,114,85,36,16,64,40,30
DVU2899,22,56,29,33,56,95,85,64,47,101,78,36,15,48,70,25
DVU2900,27,89,36,27,81,156,164,74,61,157,96,53,10,73,71,24
DVU2901,33,70,42,21,67,103,121,68,59,118,71,38,7,68,52,15
DVU2902,34,98,42,37,91,159,168,63,76,148,110,60,10,76,74,22
DVU2903,43,109,60,53,111,127,157,78,87,152,77,57,23,85,80,29
DVU2904,47,72,53,40,88,113,122,69,67,124,79,44,9,83,61,23
DVU2905,19,53,34,40,52,107,161,53,58,144,158,87,16,69,95,32
DVU2906,33,97,51,40,92,122,181,68,80,170,163,81,17,74,98,36
DVU2907,11,28,17,21,25,52,55,28,34,47,50,34,7,33,43,9
DVU2908,8,48,19,29,58,84,73,57,28,108,78,27,10,32,71,22
DVU2909,13,37,18,15,33,56,39,24,26,34,31,20,10,25,24,8
DVU2910,11,37,17,23,39,52,72,46,32,73,61,26,7,47,41,21
DVU2911,25,41,39,21,47,55,87,36,47,92,85,55,7,37,68,19
DVU2912,17,16,14,10,19,22,16,14,13,20,10,7,7,13,11,6
DVU2913,28,59,39,36,72,100,117,70,55,115,70,54,8,85,67,32
DVU2914,55,74,71,39,93,107,125,50,76,118,67,46,14,76,45,17
DVU2915,2,6,10,5,14,26,19,6,6,31,13,7,2,2,14,1
DVU2916,30,63,35,35,66,104,99,55,55,88,52,38,12,69,47,39
DVU2917,43,63,36,45,72,98,112,49,59,101,57,35,13,69,47,27
DVU2918,7,19,9,16,25,20,21,8,11,24,21,12,8,11,17,7
DVU2919,14,16,13,20,27,43,39,43,8,54,46,46,15,39,55,61
DVU2920,62,83,59,47,88,111,137,62,80,93,66,82,21,111,59,32
DVU2921,15,15,13,4,13,9,12,8,13,12,4,8,6,6,8,3
DVU2922,16,10,16,11,16,20,20,17,20,18,21,14,1,25,16,10
DVU2923,30,33,35,28,38,42,54,21,45,30,50,35,12,50,22,26
DVU2924,31,19,30,19,34,47,29,23,26,40,29,20,7,27,28,13
DVU2925,50,36,40,27,50,87,71,33,43,62,47,41,10,56,35,19
DVU2926,31,25,36,17,37,47,46,36,35,54,28,28,6,40,35,20
DVU2927,38,13,31,16,23,37,35,22,34,35,20,15,2,32,19,11
DVU2928,192,276,224,164,290,389,481,216,319,375,270,221,54,336,211,100
DVU2929,208,296,233,160,314,397,483,213,312,377,255,236,62,337,210,64
DVU2930,22,34,14,17,30,41,50,31,32,41,25,21,3,36,30,13
DVU2931,86,130,104,85,170,180,246,133,128,247,194,112,21,172,137,56
DVU2932,18,58,41,31,69,102,101,57,54,109,83,42,7,60,63,31
DVU2933,40,106,49,58,101,146,176,76,90,158,104,52,21,89,76,34
DVU2934,60,99,71,58,103,140,174,74,109,160,104,49,15,92,74,36
DVU2935,25,60,29,22,46,85,86,51,51,87,66,29,14,36,52,13
DVU2936,4,2,5,11,9,9,13,6,8,14,9,13,2,12,17,9
DVU2937,70,101,82,59,115,123,134,77,102,142,101,42,24,83,71,29
DVU2938,51,89,65,40,101,116,115,73,68,114,101,51,25,86,53,24
DVU2939,18,55,33,27,53,100,110,59,51,120,91,34,11,47,62,16
DVU2940,17,14,20,15,22,20,28,9,21,32,18,8,6,13,13,13
DVU2941,8,20,14,10,21,27,34,17,16,29,25,23,6,23,21,5
DVU2942,44,81,60,59,100,141,158,77,87,146,77,50,13,108,65,26
DVU2943,28,40,31,18,42,48,57,34,36,51,50,31,10,42,31,11
DVU2944,42,102,65,44,101,133,150,69,80,144,97,58,30,74,67,33
DVU2945,34,63,32,31,61,101,103,51,56,92,61,32,8,60,46,26
DVU2946,13,13,21,7,17,17,27,9,20,29,23,12,4,11,13,6
DVU2947,98,155,110,73,160,166,214,140,132,214,162,90,45,145,113,52
DVU2948,33,81,47,32,86,64,93,49,61,96,61,24,13,51,41,16
DVU2949,12,16,9,20,23,28,32,32,11,29,28,20,10,42,20,21
DVU2951,78,135,71,62,114,173,215,101,115,173,100,80,38,122,83,52
DVU2952,22,48,29,48,63,67,91,82,35,129,122,67,27,59,111,37
DVU2953,44,113,67,52,114,173,180,98,93,176,117,69,25,103,91,47
DVU2954,43,130,56,75,135,160,178,115,92,178,132,71,34,120,107,53
DVU2955,6,2,6,4,6,13,11,9,5,14,14,13,1,10,16,13
DVU2956,43,39,67,39,63,76,107,52,69,114,108,58,13,69,67,53
DVU2957,12,11,7,8,10,6,9,4,11,5,9,10,5,7,10,16
DVU2958,29,40,31,38,74,121,95,84,27,111,80,56,8,102,68,34
DVU2959,7,24,14,21,42,23,35,36,9,49,40,23,7,40,33,13
DVU2960,43,85,72,42,101,170,162,80,83,176,118,67,15,82,92,36
DVU2961,9,22,19,16,23,29,39,21,30,34,27,16,4,27,22,9
DVU2962,64,125,89,69,150,144,195,106,108,174,124,75,24,152,74,60
DVU2963,13,29,20,14,29,32,39,24,29,42,37,16,5,21,28,8
DVU2964,22,42,33,22,41,53,80,41,47,80,59,27,8,40,42,22
DVU2965,11,13,17,10,15,33,31,11,19,31,26,22,5,13,25,17
DVU2966,23,31,31,18,31,39,50,21,39,44,38,22,9,27,25,7
DVU2967,40,76,42,42,70,95,142,69,83,131,91,55,7,74,85,22
DVU2968,32,67,58,47,79,80,133,64,79,139,128,70,13,70,98,39
DVU2969,57,124,95,81,139,185,241,94,131,221,180,110,29,129,127,42
DVU2970,84,192,116,75,182,283,337,158,173,318,234,128,29,167,165,55
DVU2971,29,61,33,33,62,75,92,67,50,100,66,58,16,60,82,27
DVU2972,19,35,21,26,40,38,77,27,37,66,63,35,4,43,41,27
DVU2973,20,14,19,11,15,20,29,13,24,20,23,16,5,23,12,11
DVU2974,5,10,5,7,10,16,20,6,10,17,24,11,2,9,13,14
DVU2975,18,57,35,33,50,108,115,67,54,112,119,62,20,63,79,48
DVU2976,39,61,55,41,67,99,132,66,74,132,93,59,16,72,78,28
DVU2977,1,11,6,4,10,20,13,18,5,21,13,9,5,9,17,8
DVU2978,16,52,22,18,45,74,88,40,40,74,40,21,7,47,25,23
DVU2979,22,45,19,29,49,65,76,38,34,65,53,36,9,53,41,19
DVU2980,22,42,27,26,52,75,68,66,25,71,51,47,17,73,49,38
