C3s,A3s,G3s,CAI,CBI,Fop,Nc,GC3s,GC,L_sym,L_aa,Gravy,Aromo,X
DVU2690,0.5,0.0966,0.4184,0.263,0.24,0.552,44.43,0.765,0.653,183,195,-0.722051,0.076923,NA
DVU2691,0.5915,0.1259,0.4328,0.301,0.205,0.529,33.07,0.835,0.638,170,177,-0.118079,0.028249,NA
DVU2692,0.4531,0.0769,0.5323,0.25,0.185,0.514,36.96,0.838,0.667,74,78,-0.28718,0.038462,NA
DVU2693,0.3443,0.1667,0.5,0.215,-0.041,0.39,56.72,0.649,0.561,77,79,-0.381013,0.088608,NA
DVU2694,0.459,0.1429,0.4196,0.234,0.15,0.493,38.18,0.746,0.676,138,144,-0.260417,0.076389,NA
DVU2695,0.4804,0.1466,0.4595,0.245,0.09,0.466,40.6,0.763,0.633,131,138,-0.483333,0.050725,NA
DVU2696,0.4444,0.1606,0.4242,0.202,0.161,0.487,44.47,0.744,0.634,156,162,0.07037,0.049383,NA
DVU2697,0.3765,0.3372,0.2222,0.222,0,0.417,55.49,0.463,0.47,108,112,-0.229465,0.089286,NA
DVU2698,0.4907,0.0889,0.475,0.244,0.239,0.536,41.73,0.812,0.664,112,120,0.621667,0.125,NA
DVU2699,0.5657,0.0732,0.4037,0.221,0.148,0.497,38.96,0.841,0.701,195,215,-0.131628,0.093023,NA
DVU2700,0.5537,0.1009,0.3524,0.267,0.193,0.526,39.19,0.782,0.669,133,139,-0.017266,0.057554,NA
DVU2701,0.5455,0.0328,0.4426,0.249,0.209,0.514,36.84,0.875,0.741,72,72,-0.045833,0.041667,NA
DVU2702,0.5278,0.2027,0.3889,0.335,0.349,0.614,39.26,0.75,0.616,88,93,-0.227957,0.075269,NA
DVU2703,0.5536,0.1017,0.375,0.342,0.284,0.582,36.12,0.776,0.653,67,71,-0.019718,0.028169,NA
DVU2704,0.6071,0.0896,0.4242,0.281,0.201,0.536,33.06,0.849,0.682,166,172,-0.411047,0.063953,NA
DVU2705,0.5877,0.11,0.4325,0.288,0.204,0.533,34.91,0.834,0.664,529,558,-0.259677,0.087814,NA
DVU2706,0.5273,0.1143,0.4531,0.31,0.314,0.599,36.31,0.809,0.678,549,572,-0.29493,0.064685,NA
DVU2707,0.568,0.1354,0.4385,0.274,0.206,0.539,35.93,0.824,0.665,397,416,-0.640865,0.081731,NA
DVU2708,0.5507,0.1212,0.3852,0.236,0.139,0.497,46.18,0.783,0.685,157,162,-0.25,0.049383,NA
DVU4026,0.2086,0.437,0.1667,0.192,-0.098,0.363,43.3,0.281,0.365,171,178,-0.148315,0.089888,NA
DVU2710,0.6044,0.1284,0.3703,0.277,0.173,0.52,33.62,0.834,0.703,373,386,0.047668,0.051813,NA
DVU2711,0.6911,0.0558,0.4062,0.393,0.433,0.669,28.3,0.922,0.681,293,309,-0.126214,0.100324,NA
DVU2712,0.6444,0.125,0.3448,0.37,0.366,0.642,29.31,0.83,0.725,106,109,-0.761468,0.036697,NA
DVU2713,0.5366,0.1271,0.386,0.246,0.134,0.5,37.33,0.809,0.723,136,143,0.051049,0.055944,NA
DVU2714,0.6279,0.1065,0.3598,0.288,0.309,0.586,31.95,0.843,0.691,198,209,-0.189952,0.07177,NA
DVU2715,0.5918,0.1304,0.3864,0.278,0.219,0.534,38.47,0.793,0.656,58,61,-0.991803,0.065574,NA
DVU2716,0.5833,0.0642,0.4286,0.272,0.192,0.516,32.51,0.878,0.7,467,473,0.236152,0.031712,NA
DVU2717,0.213,0.4651,0.1347,0.185,-0.083,0.381,52.82,0.272,0.394,265,275,-0.269818,0.069091,NA
DVU2718,0.2955,0.4,0.2188,0.143,-0.066,0.354,50.29,0.417,0.427,48,50,-0.344,0.12,NA
DVU2719,0.6042,0.1895,0.4111,0.343,0.22,0.546,34.08,0.798,0.599,119,124,-0.397581,0.064516,NA
DVU2720,0.6477,0.1124,0.3133,0.348,0.212,0.552,32.13,0.79,0.651,105,109,-0.231193,0.045872,NA
DVU2721,0.5871,0.0766,0.4359,0.298,0.183,0.537,33.78,0.867,0.692,609,646,-0.000155,0.032508,NA
DVU2722,0.6078,0.1056,0.3701,0.273,0.211,0.537,33.56,0.833,0.706,438,446,-0.239462,0.065022,NA
DVU2723,0.5769,0.1016,0.4237,0.254,0.168,0.507,33.54,0.859,0.709,355,374,-0.254545,0.048128,NA
DVU2724,0.5476,0.1163,0.4724,0.257,0.136,0.51,39.82,0.837,0.663,202,208,-0.220192,0.048077,NA
DVU2725,0.2857,0.354,0.2727,0.203,-0.026,0.403,52.26,0.424,0.416,144,149,0.071812,0.073826,NA
DVU2727,0.5534,0.1771,0.2826,0.222,0.123,0.482,39.96,0.728,0.664,114,118,-0.233898,0.050847,NA
DVU2728,0.5573,0.0967,0.4236,0.282,0.224,0.539,32.78,0.861,0.708,345,353,0.012181,0.053824,NA
DVU2729,0.5647,0.0755,0.4416,0.257,0.27,0.567,34.1,0.877,0.724,187,197,0.004061,0.086294,NA
DVU2730,0.5255,0.1154,0.3744,0.263,0.204,0.542,43.48,0.761,0.648,284,296,-0.219257,0.050676,NA
DVU2731,0.4533,0.1216,0.4406,0.244,0.064,0.451,38.81,0.757,0.674,173,179,-0.126816,0.055866,NA
DVU2732,0.6038,0.2553,0.2826,0.232,0.226,0.556,44.92,0.714,0.621,63,66,-0.971212,0,NA
DVU2733,0.5049,0.1701,0.3862,0.228,0.119,0.485,41.79,0.753,0.637,235,249,-0.329719,0.076305,NA
DVU4022,0.6326,0.1362,0.2917,0.311,0.305,0.587,33.87,0.811,0.7,339,356,0.106742,0.053371,NA
DVU2735,0.6974,0.1091,0.3811,0.318,0.329,0.601,31.59,0.873,0.654,411,432,-0.320602,0.064815,NA
DVU2736,0.5782,0.0857,0.4264,0.269,0.254,0.553,29.47,0.881,0.69,159,169,0.970414,0.094675,NA
DVU2737,0.5762,0.1364,0.4263,0.203,0.137,0.479,36.93,0.842,0.667,240,254,-0.22126,0.043307,NA
DVU2738,0.6667,0.1151,0.3278,0.304,0.205,0.543,35.05,0.819,0.646,766,801,-0.077154,0.053683,NA
DVU2739,0.5952,0.1093,0.3275,0.246,0.195,0.524,38.67,0.791,0.654,998,1028,-0.039786,0.067121,NA
DVU2740,0.533,0.0984,0.453,0.259,0.199,0.517,40.15,0.806,0.624,232,241,-0.086307,0.045643,NA
DVU2741,0.5673,0.0825,0.4678,0.318,0.262,0.564,38.82,0.822,0.612,241,255,-0.048235,0.078431,NA
DVU2742,0.5852,0.0547,0.4793,0.275,0.273,0.556,35.49,0.882,0.613,338,358,0.830727,0.106145,NA
DVU2743,0.6082,0.0638,0.4203,0.276,0.281,0.564,35.11,0.871,0.619,287,306,1.09183,0.130719,NA
DVU2744,0.7508,0.0453,0.3774,0.363,0.271,0.584,28.85,0.894,0.625,368,385,-0.095325,0.096104,NA
DVU2745,0.3571,0.3889,0.2,0.214,0.042,0.452,60.23,0.419,0.365,31,32,-0.075,0.125,NA
DVU2746,0.5448,0.1789,0.2876,0.227,0.139,0.492,46.02,0.721,0.651,301,314,0.110191,0.038217,NA
DVU2747,0.636,0.1077,0.3981,0.276,0.287,0.571,36.26,0.846,0.64,961,1014,-0.195661,0.080868,NA
DVU2748,0.4009,0.1389,0.4833,0.234,0.116,0.478,45.13,0.763,0.68,249,257,0.050195,0.054475,NA
DVU2749,0.4749,0.0844,0.3766,0.222,0.088,0.456,43.91,0.749,0.693,471,486,0.259671,0.041152,NA
DVU2750,0.4593,0.0912,0.4389,0.289,0.247,0.554,40.93,0.778,0.702,383,389,0.057841,0.046272,NA
DVU2751,0.4483,0.1458,0.4135,0.247,0.23,0.527,51.99,0.731,0.627,182,186,0.662366,0.080645,NA
DVU2752,0.6923,0.0569,0.4034,0.322,0.227,0.549,33.57,0.852,0.595,162,173,-0.301734,0.092486,NA
DVU2753,0.5082,0.1598,0.3645,0.245,0.187,0.524,41.4,0.757,0.687,267,275,-0.333091,0.04,NA
DVU2754,0.4754,0.0775,0.4593,0.233,0.14,0.487,38.71,0.8,0.683,310,325,0.113538,0.055385,NA
DVU2755,0.5668,0.0648,0.4138,0.222,0.121,0.478,38.46,0.836,0.682,268,280,0.229286,0.060714,NA
DVU2756,0.6444,0.0978,0.3843,0.324,0.328,0.603,35.44,0.841,0.654,358,372,-0.084677,0.067204,NA
DVU2757,0.6469,0.1056,0.3885,0.267,0.209,0.536,33.29,0.851,0.659,362,375,-0.0112,0.082667,NA
DVU2758,0.6397,0.1174,0.302,0.274,0.256,0.552,35.3,0.811,0.664,270,280,0.037857,0.096429,NA
DVU2759,0.2889,0.2051,0.4412,0.199,0.22,0.521,29.42,0.583,0.535,48,48,0.5375,0.0625,NA
DVU2760,0.516,0.1386,0.3228,0.204,0.17,0.505,41.32,0.747,0.672,198,203,-0.175862,0.039409,NA
DVU2761,0.4,0.1,0.36,0.149,0.029,0.368,55.85,0.702,0.612,57,61,0.965574,0.098361,NA
DVU2762,0.4513,0.0769,0.4726,0.199,0.185,0.497,43.02,0.812,0.669,292,306,0.89085,0.107843,NA
DVU2763,0.5046,0.1033,0.4245,0.234,0.177,0.511,40.11,0.782,0.673,863,891,-0.281594,0.065095,NA
DVU2764,0.6312,0.1176,0.2969,0.238,0.203,0.519,38.08,0.784,0.665,162,172,-0.046512,0.052326,NA
DVU2765,0.6911,0.1053,0.3121,0.31,0.335,0.612,36.31,0.854,0.657,206,208,-0.063942,0.096154,NA
DVU2766,0.5,0.1111,0.4773,0.266,0.184,0.529,36.26,0.843,0.673,51,55,-0.154545,0.072727,NA
DVU2767,0.5269,0.141,0.4094,0.294,0.285,0.58,39.72,0.795,0.672,200,204,-0.081372,0.083333,NA
DVU2768,0.5353,0.1538,0.3163,0.221,0.181,0.505,41.09,0.739,0.679,287,298,-0.218121,0.053691,NA
DVU2769,0.6782,0.1212,0.3717,0.287,0.181,0.527,33.7,0.849,0.64,245,260,-0.105,0.115385,NA
DVU2770,0.5755,0.1771,0.3846,0.233,0.171,0.504,51.84,0.768,0.588,125,132,-0.000758,0.075758,NA
DVU2771,0.6235,0.123,0.3595,0.291,0.287,0.589,42.05,0.809,0.658,304,321,-0.213396,0.084112,NA
DVU2772,0.3911,0.1096,0.4585,0.206,0.049,0.431,46.95,0.727,0.664,425,440,0.037046,0.054545,NA
DVU2773,0.5312,0.1085,0.4688,0.225,0.19,0.513,43,0.822,0.593,275,288,0.695139,0.131944,NA
DVU2774,0.6893,0.0899,0.3742,0.332,0.302,0.584,34.96,0.841,0.601,214,227,-0.135683,0.048458,NA
DVU2775,0.2716,0.2432,0.4493,0.213,0.095,0.449,55.42,0.596,0.564,89,91,0.424176,0.054945,NA
DVU2776,0.8182,0.1067,0.3333,0.4,0.405,0.66,28.29,0.86,0.587,100,105,-0.406667,0.12381,NA
DVU2777,0.3649,0.2295,0.3833,0.2,-0.015,0.439,50.65,0.61,0.602,82,88,-0.395455,0.079545,NA
DVU2778,0.4848,0.1613,0.4068,0.287,0.255,0.568,51.4,0.691,0.559,81,90,-0.456667,0.044444,NA
DVU2779,0.4675,0.0741,0.4457,0.25,0.127,0.49,43.51,0.763,0.654,435,461,-0.218438,0.099783,NA
DVU2780,0.5,0.0909,0.4126,0.264,0.185,0.514,43.99,0.766,0.595,278,291,0.662543,0.130584,NA
DVU2781,0.439,0.1633,0.4029,0.234,0.14,0.486,53.35,0.699,0.626,183,188,-0.062766,0.037234,NA
DVU2782,0.44,0.0909,0.3077,0.28,0.305,0.577,43.34,0.654,0.605,52,54,0.792593,0.037037,NA
DVU2783,0.5146,0.0698,0.4112,0.279,0.287,0.566,36.04,0.813,0.643,251,266,1.029323,0.093985,NA
DVU2784,0.6229,0.0886,0.315,0.256,0.127,0.485,36.92,0.808,0.669,328,341,0.314076,0.038123,NA
DVU2785,0.5967,0.132,0.4,0.316,0.338,0.603,38.04,0.786,0.64,229,237,-0.481856,0.042194,NA
DVU2786,0.3846,0.4167,0.2381,0.163,0.047,0.433,NA,0.5,0.479,30,32,-0.621875,0.0625,NA
DVU2787,0.4599,0.1094,0.3917,0.242,0.217,0.52,46.04,0.743,0.623,148,152,0.341447,0.065789,NA
DVU2788,0.4904,0.1209,0.4205,0.234,0.2,0.517,39.4,0.746,0.619,118,120,-0.225833,0.041667,NA
DVU2789,0.6323,0.0809,0.352,0.309,0.319,0.59,34.63,0.855,0.625,166,183,0.868306,0.147541,NA
DVU2790,0.1842,0.3667,0.2759,0.229,0,0.409,61,0.341,0.442,44,46,-0.152174,0.130435,NA
DVU2791,0.6545,0.1637,0.3394,0.322,0.173,0.545,44.91,0.791,0.632,253,259,-0.473745,0.065637,NA
DVU2792,0.6388,0.0929,0.3927,0.264,0.215,0.529,35.05,0.847,0.642,393,401,-0.001746,0.049875,NA
DVU2793,0.5978,0.0884,0.4035,0.273,0.292,0.566,36.09,0.871,0.659,295,318,0.822641,0.08805,NA
DVU2794,0.7355,0.0573,0.3669,0.264,0.221,0.546,29.23,0.902,0.637,183,191,0.188481,0.068063,NA
DVU2795,0.6359,0.0559,0.4717,0.314,0.308,0.583,31.45,0.91,0.646,211,223,0.78565,0.085202,NA
DVU2796,0.6087,0.069,0.4297,0.277,0.252,0.542,36.22,0.864,0.604,177,191,1.146597,0.104712,NA
DVU2797,0.627,0.0933,0.3991,0.297,0.237,0.555,32.98,0.838,0.656,290,295,0.195593,0.040678,NA
DVU2798,0.62,0.0993,0.3192,0.236,0.172,0.515,36.27,0.83,0.691,324,336,0.105059,0.053571,NA
DVU2799,0.4486,0.1327,0.4815,0.199,0.069,0.439,49.13,0.758,0.614,132,138,-0.223913,0.050725,NA
DVU2800,0.4322,0.1179,0.4266,0.22,0.124,0.473,46.91,0.738,0.649,611,633,0.398104,0.039494,NA
DVU2801,0.5118,0.1545,0.3884,0.247,0.187,0.515,41.9,0.765,0.646,421,444,-0.003604,0.076577,NA
DVU2802,0.5677,0.1694,0.3596,0.25,0.198,0.532,41.79,0.779,0.671,222,231,-0.228139,0.038961,NA
DVU2803,0.6729,0.0772,0.4251,0.366,0.372,0.625,31.32,0.891,0.61,421,469,0.507249,0.181237,NA
DVU2804,0.7573,0.057,0.4407,0.345,0.343,0.625,29.87,0.918,0.611,368,385,-0.355325,0.127273,NA
DVU2805,0.6055,0.1262,0.3209,0.277,0.197,0.529,37.89,0.795,0.685,635,648,-0.047222,0.055556,NA
DVU2806,0.5642,0.1204,0.3284,0.214,0.159,0.49,38.01,0.795,0.704,239,249,0.400402,0.032129,NA
DVU2807,0.5455,0.1217,0.3929,0.22,0.128,0.47,41.82,0.821,0.676,134,136,0.300735,0.029412,NA
DVU2808,0.6013,0.1314,0.2857,0.281,0.194,0.533,40.2,0.788,0.68,165,169,0.133728,0.065089,NA
DVU2809,0.6106,0.134,0.4149,0.27,0.092,0.5,45.48,0.794,0.613,136,144,-0.603472,0.055556,NA
DVU2810,0.4247,0.1488,0.4538,0.254,0.146,0.492,44.03,0.739,0.656,295,315,0.093333,0.057143,NA
DVU2811,0.655,0.0455,0.4621,0.269,0.09,0.476,38.78,0.861,0.618,208,219,-0.301826,0.068493,NA
DVU2813,0.25,0.3333,0.2778,0.244,-0.024,0.4,34.8,0.4,0.344,30,32,1.378125,0.1875,NA
DVU2814,0.4375,0.1463,0.3846,0.193,0.12,0.472,36.92,0.679,0.637,53,57,-1.140351,0.105263,NA
DVU2815,0.3948,0.1116,0.4862,0.249,0.092,0.471,43.65,0.752,0.667,524,536,-0.015299,0.05597,NA
DVU2816,0.5689,0.0689,0.4642,0.282,0.251,0.557,34.59,0.864,0.65,1021,1070,0.278037,0.078505,NA
DVU2817,0.4583,0.1126,0.4375,0.245,0.094,0.46,43.12,0.772,0.676,413,417,-0.039089,0.031175,NA
DVU2818,0.3833,0.1875,0.2979,0.251,-0.042,0.418,49.56,0.552,0.593,67,72,-0.263889,0.097222,NA
DVU2819,0.6,0.1625,0.3378,0.246,0.184,0.513,40.41,0.772,0.634,197,202,0.00396,0.084158,NA
DVU2820,0.6395,0.1015,0.382,0.306,0.264,0.571,37.8,0.816,0.622,266,278,-0.091367,0.097122,NA
DVU2821,0.3,0.1667,0.45,0.151,-0.046,0.391,61,0.652,0.653,69,73,-0.453425,0.041096,NA
DVU2822,0.7597,0.0745,0.3517,0.357,0.311,0.605,29,0.875,0.617,319,336,-0.289286,0.071429,NA
DVU2823,0.7135,0.0641,0.3227,0.289,0.271,0.556,30.36,0.894,0.638,556,591,1.066667,0.099831,NA
DVU2824,0.7732,0.084,0.3678,0.386,0.382,0.644,27.17,0.897,0.632,793,828,-0.376087,0.105072,NA
DVU2825,0.6794,0.094,0.3349,0.312,0.279,0.58,34.44,0.837,0.644,300,307,-0.1557,0.068404,NA
DVU2826,0.3918,0.3684,0.2442,0.166,0,0.402,52.06,0.527,0.506,112,118,-0.427119,0.042373,NA
DVU2827,0.607,0.1186,0.4142,0.303,0.237,0.55,39.38,0.798,0.602,460,473,-0.32389,0.065539,NA
DVU2828,0.5872,0.1101,0.37,0.294,0.293,0.582,38.19,0.802,0.657,378,394,-0.360152,0.043147,NA
DVU2829,0.5231,0.0923,0.5246,0.202,0.137,0.474,45.71,0.846,0.629,78,80,-0.3325,0.075,NA
DVU2830,0.3438,0.0882,0.55,0.21,0.107,0.475,41.2,0.746,0.656,118,121,-0.686777,0.049587,NA
DVU2831,0.46,0.1455,0.5094,0.254,0.151,0.492,41.9,0.82,0.688,61,64,-0.151563,0.046875,NA
DVU2832,0.5537,0.0968,0.4912,0.253,0.172,0.521,40.16,0.842,0.643,146,153,-0.199346,0.03268,NA
DVU2833,0.4889,0.2759,0.2469,0.222,0.195,0.519,45.43,0.615,0.581,104,109,-0.072477,0.055046,NA
DVU2834,0.3737,0.2045,0.3855,0.249,0.069,0.455,49.53,0.627,0.613,110,112,0.333929,0.0625,NA
DVU2835,0.2676,0.1579,0.411,0.187,0.025,0.407,50.18,0.57,0.574,86,90,-0.434445,0.022222,NA
DVU2836,0.4098,0.232,0.2437,0.249,0.145,0.493,54.14,0.549,0.547,144,148,-0.157432,0.047297,NA
DVU2837,0.6085,0.1731,0.3686,0.322,0.221,0.551,46.18,0.737,0.569,350,357,-0.440896,0.095238,NA
DVU2838,0.3288,0.3648,0.2313,0.192,-0.043,0.393,55.72,0.428,0.445,435,445,-0.333708,0.096629,NA
DVU2839,0.4148,0.3651,0.2222,0.219,0.071,0.461,56.09,0.491,0.477,167,174,-0.424713,0.091954,NA
DVU2840,0.2265,0.3171,0.3444,0.224,-0.066,0.383,56.39,0.419,0.446,222,233,-0.088841,0.150215,NA
DVU2841,0.3179,0.1993,0.3776,0.217,0.014,0.424,54.19,0.557,0.56,384,399,-0.260652,0.087719,NA
DVU2842,0.433,0.1648,0.3865,0.252,0.124,0.493,52.38,0.646,0.573,345,358,-0.451117,0.100559,NA
DVU2843,0.4561,0.2929,0.2584,0.208,0.13,0.492,46.61,0.586,0.561,128,136,-0.311029,0.102941,NA
DVU2844,0.4726,0.2153,0.3061,0.27,0.138,0.495,52.36,0.625,0.556,275,287,-0.288153,0.097561,NA
DVU2845,0.625,0.2059,0.2935,0.29,0.198,0.536,40.64,0.739,0.599,138,142,-0.467606,0.056338,NA
DVU2846,0.3721,0.3415,0.2703,0.167,0.029,0.44,55.74,0.52,0.491,50,57,0.012281,0.122807,NA
DVU2847,0.4835,0.0964,0.5063,0.219,0.255,0.538,34.17,0.808,0.657,104,109,-0.53211,0.110092,NA
DVU2848,0.443,0.1216,0.4437,0.259,0.109,0.474,39.04,0.746,0.669,173,179,-0.169274,0.055866,NA
DVU2849,0.4405,0.1835,0.3756,0.255,0.133,0.5,50.38,0.686,0.635,258,271,-0.260148,0.051661,NA
DVU2850,0.4859,0.1111,0.4371,0.254,0.216,0.532,38.55,0.791,0.7,201,208,-0.154327,0.067308,NA
DVU2851,0.4675,0.0855,0.4644,0.225,0.119,0.471,40.38,0.817,0.712,344,353,0.121246,0.042493,NA
DVU2852,0.5294,0.0873,0.4472,0.251,0.18,0.507,34.87,0.836,0.703,152,158,-0.070253,0.075949,NA
DVU2853,0.6162,0.0419,0.4012,0.254,0.157,0.51,35.11,0.869,0.692,206,212,-0.17783,0.051887,NA
DVU2854,0.5405,0.1048,0.4181,0.259,0.158,0.506,38.46,0.807,0.682,362,377,-0.193634,0.045093,NA
DVU2855,0.5042,0.0862,0.4169,0.222,0.11,0.473,38.73,0.809,0.703,387,399,-0.123058,0.047619,NA
DVU2856,0.5803,0.0663,0.4775,0.27,0.176,0.528,36.7,0.871,0.66,464,496,-0.173992,0.08871,NA
DVU2857,0.5942,0.087,0.3731,0.29,0.347,0.605,33.75,0.815,0.632,81,86,-0.140698,0.034884,NA
DVU2858,0.6771,0.06,0.4574,0.249,0.031,0.445,31.42,0.908,0.656,119,121,-0.160331,0.066116,NA
DVU2859,0.6024,0.0604,0.4127,0.301,0.241,0.556,33.94,0.859,0.675,468,487,0.090349,0.069815,NA
DVU2860,0.4906,0.1509,0.4118,0.187,0.135,0.467,32.72,0.783,0.693,60,63,-0.538095,0.015873,NA
DVU2861,0.5767,0.068,0.3857,0.27,0.165,0.505,38.15,0.813,0.674,182,185,-0.108108,0.037838,NA
DVU2862,0.625,0.1098,0.3766,0.33,0.319,0.602,31.66,0.816,0.657,103,108,-0.253704,0.092593,NA
DVU2863,0.4586,0.0843,0.513,0.222,0.074,0.45,44.26,0.791,0.624,191,197,-0.408629,0.071066,NA
DVU2864,0.525,0.0256,0.5526,0.246,0.145,0.468,37.61,0.894,0.695,47,47,-0.27234,0.021277,NA
DVU2865,0.6348,0.0571,0.4554,0.237,0.119,0.489,36.55,0.908,0.674,131,136,-0.006618,0.066176,NA
DVU2866,0.5597,0.036,0.3636,0.294,0.245,0.552,36.88,0.787,0.67,174,182,-0.056594,0.071429,NA
DVU2867,0.5683,0.0684,0.4505,0.275,0.204,0.526,39.33,0.849,0.64,152,162,0.689506,0.148148,NA
DVU2868,0.4639,0.125,0.4,0.304,0.172,0.526,38.08,0.728,0.681,114,115,-0.473043,0.008696,NA
DVU2869,0.6741,0.0496,0.4167,0.281,0.167,0.512,32.07,0.886,0.658,324,334,-0.193114,0.098802,NA
DVU2870,0.5636,0.0762,0.4,0.301,0.22,0.545,34.87,0.829,0.68,123,127,0.302362,0.047244,NA
DVU2871,0.5667,0.0889,0.3699,0.266,0.152,0.512,38.64,0.794,0.679,418,439,-0.118907,0.061503,NA
DVU2872,0.5506,0.0824,0.3995,0.265,0.247,0.558,42.1,0.794,0.663,539,566,-0.318198,0.090106,NA
DVU2873,0.4267,0.1772,0.4054,0.233,0.261,0.552,43.32,0.713,0.652,87,91,-0.121978,0.065934,NA
DVU2874,0.2623,0.2054,0.4312,0.151,-0.022,0.393,54.22,0.585,0.585,135,142,-0.217606,0.084507,NA
DVU2875,0.3333,0.18,0.5102,0.177,0.107,0.471,61,0.643,0.542,70,72,-0.754167,0.069444,NA
DVU2876,0.5424,0.1046,0.4524,0.285,0.21,0.541,39.29,0.793,0.639,593,628,-0.534873,0.105096,NA
DVU2877,0.435,0.1347,0.5211,0.272,0.05,0.447,46.24,0.749,0.604,235,240,-0.655,0.054167,NA
DVU2878,0.4613,0.129,0.4195,0.242,0.115,0.478,46.23,0.732,0.631,425,452,-0.171239,0.070796,NA
DVU2879,0.4895,0.1034,0.409,0.267,0.203,0.53,41.86,0.757,0.676,494,518,-0.304247,0.07722,NA
DVU2880,0.3636,0.3636,0.3636,0.303,-0.082,0.436,NA,0.513,0.5,39,42,-0.776191,0.142857,NA
DVU2881,0.5342,0.0943,0.4455,0.253,0.141,0.496,42.04,0.787,0.63,536,561,-0.346346,0.081996,NA
DVU2882,0.5254,0.136,0.3156,0.241,0.113,0.476,42.34,0.733,0.668,487,498,0.064659,0.048193,NA
DVU2883,0.581,0.0779,0.3861,0.256,0.236,0.536,36.99,0.838,0.685,463,469,-0.098294,0.042644,NA
DVU2884,0.6987,0.096,0.3776,0.302,0.238,0.56,32.4,0.867,0.66,450,467,-0.292934,0.092077,NA
DVU2885,0.5872,0.0915,0.3841,0.277,0.253,0.553,38.62,0.837,0.681,380,397,0.176071,0.055416,NA
DVU2886,0.5708,0.108,0.3762,0.234,0.178,0.517,41.15,0.809,0.67,267,279,-0.261649,0.075269,NA
DVU2887,0.5338,0.1288,0.3961,0.238,0.198,0.515,36.5,0.839,0.686,299,322,0.740062,0.07764,NA
DVU2888,0.4008,0.1096,0.486,0.21,0.099,0.457,42.04,0.753,0.672,267,275,0.030182,0.047273,NA
DVU2889,0.4878,0.0993,0.3793,0.206,0.182,0.491,35.07,0.799,0.689,169,182,1.006593,0.087912,NA
DVU2890,0.5968,0.1382,0.3555,0.238,0.239,0.544,37.65,0.826,0.692,270,292,-0.231507,0.089041,NA
DVU2891,0.7105,0.1524,0.3125,0.312,0.322,0.599,35.85,0.81,0.602,137,139,-0.382014,0.043165,NA
DVU2892,0.6651,0.101,0.3788,0.309,0.223,0.543,34.02,0.836,0.635,256,266,-0.248872,0.082707,NA
DVU2893,0.66,0.134,0.3222,0.26,0.173,0.526,36.88,0.819,0.653,116,125,-0.3568,0.032,NA
DVU2894,0.6631,0.1241,0.3793,0.282,0.251,0.553,34.74,0.84,0.651,338,349,-0.195702,0.048711,NA
DVU2895,0.3953,0.2564,0.4026,0.169,0.227,0.551,45.38,0.663,0.65,98,100,-1.441,0.01,NA
DVU2896,0.5872,0.1384,0.3867,0.263,0.198,0.53,38.88,0.802,0.665,1040,1076,-0.412732,0.075279,NA
DVU2897,0.5274,0.1324,0.3596,0.224,0.139,0.484,38.83,0.786,0.695,318,329,0.066565,0.036474,NA
DVU2898,0.6594,0.1236,0.3655,0.255,0.19,0.534,36.39,0.848,0.664,322,333,-0.205105,0.105105,NA
DVU2899,0.6049,0.055,0.4316,0.322,0.305,0.588,33.99,0.842,0.654,272,286,-0.10979,0.104895,NA
DVU2900,0.5961,0.1356,0.3269,0.24,0.172,0.505,38.78,0.812,0.703,388,399,0.134586,0.052632,NA
DVU2901,0.6333,0.0988,0.4,0.26,0.237,0.542,33.57,0.873,0.677,308,317,-0.092114,0.050473,NA
DVU2902,0.6792,0.0667,0.3704,0.285,0.236,0.55,33.3,0.889,0.69,407,422,-0.074408,0.063981,NA
DVU2903,0.6842,0.0839,0.4,0.369,0.369,0.63,32.55,0.866,0.638,419,442,-0.293213,0.09276,NA
DVU2904,0.692,0.0865,0.3579,0.277,0.232,0.548,32.87,0.856,0.647,347,364,-0.176099,0.065934,NA
DVU2905,0.4506,0.0823,0.4545,0.273,0.215,0.535,38.51,0.789,0.697,374,392,0.215561,0.071429,NA
DVU2906,0.464,0.109,0.4863,0.209,0.125,0.478,41.23,0.809,0.682,450,467,-0.262741,0.059957,NA
DVU2907,0.4295,0.0859,0.4435,0.232,0.141,0.475,43.07,0.744,0.659,160,164,-0.159756,0.036585,NA
DVU2908,0.4344,0.2184,0.355,0.174,0.048,0.403,45.69,0.723,0.683,231,250,0.5932,0.068,NA
DVU2909,0.5714,0.1364,0.3302,0.196,0.105,0.462,40.62,0.762,0.64,130,137,-0.283212,0.036496,NA
DVU2910,0.5922,0.1043,0.3667,0.246,0.24,0.536,35.57,0.839,0.663,192,201,0.764179,0.074627,NA
DVU2911,0.4612,0.0743,0.5663,0.277,0.172,0.506,37.39,0.834,0.663,247,253,-0.135573,0.063241,NA
DVU2912,0.8148,0.0833,0.2955,0.44,0.316,0.623,28.05,0.826,0.568,69,71,-0.7,0.098592,NA
DVU2913,0.6113,0.1119,0.3534,0.293,0.26,0.553,35.64,0.821,0.65,318,335,0.356119,0.083582,NA
DVU2914,0.721,0.0819,0.3885,0.331,0.258,0.571,31.63,0.865,0.637,347,357,-0.461344,0.05042,NA
